seed,backbone_objective,head_objective,case,optimizer,reg_lambda,scaling_mode,budget_unit,budget_limit,objective_evals,selected_epoch,train_task_ce,val_task_ce,train_total_objective,val_total_objective,analog_test_ba,lif_test_ba,analog_to_lif_gap_pp,legacy_l2_wholecount_probe_test_ba,legacy_l2_fixed250_probe_test_ba,weight_norm_raw
11,tsce,tsce,C0_adam100,adam,0.0,none,epochs,100,,80.0,1.5542314052581787,2.0327234268188477,1.5542314052581787,2.0327234268188477,0.5037524975024974,0.47540237540237534,2.8350122100122057,0.6151737151737151,0.637722693972694,5.602990752691336
11,tsce,tsce,C1_adam500,adam,0.0,none,epochs,500,,341.0,1.402061939239502,2.1552791595458984,1.402061939239502,2.1552791595458984,0.5342789155289155,0.4787753912753912,5.550352425352428,0.6151737151737151,0.637722693972694,10.272233336157292
11,tsce,tsce,C2_lbfgs_noreg,lbfgs,0.0,none,full_objective_evaluations,100,100.0,,1.3784607648849487,2.250880479812622,1.3784607648849487,2.250880479812622,0.5039238539238539,0.3426684426684426,16.125541125541126,0.6151737151737151,0.637722693972694,13.706648575099411
11,tsce,tsce,C3_lbfgs_reg,lbfgs,0.001,none,full_objective_evaluations,100,65.0,,1.393994927406311,2.14855694770813,1.442783236503601,2.19734525680542,0.5283265345765346,0.3685592185592185,15.976731601731602,0.6151737151737151,0.637722693972694,9.878090548079914
11,tsce,tsce,C4_scale_lbfgs_reg,lbfgs,0.01,scale_only,full_objective_evaluations,100,64.0,,1.4049022197723389,2.1168861389160156,1.4735753536224365,2.1855592727661133,0.5267031579531579,0.36594377844377846,16.075937950937945,0.6151737151737151,0.637722693972694,9.253484224960305
11,tsce,tsce,Ref_scale_lbfgs_converged,lbfgs,0.01,scale_only,full_objective_evaluations,5000,56.0,,1.4049031734466553,2.116804838180542,1.473575472831726,2.1854770183563232,0.5267031579531579,0.36594377844377846,16.075937950937945,0.6151737151737151,0.637722693972694,9.253644197105034
11,tsce,wcce,C0_adam100,adam,0.0,none,epochs,100,,92.0,0.88169926404953,1.5084813833236694,0.88169926404953,1.5084813833236694,0.5512418137418137,0.5261897824397824,2.5052031302031263,0.6151737151737151,0.637722693972694,8.386280229810932
11,tsce,wcce,C1_adam500,adam,0.0,none,epochs,500,,195.0,0.5879678130149841,1.3874391317367554,0.5879678130149841,1.3874391317367554,0.5399683649683649,0.49218906093906095,4.777930402930392,0.6151737151737151,0.637722693972694,13.115703998593375
11,tsce,wcce,C2_lbfgs_noreg,lbfgs,0.0,none,full_objective_evaluations,100,100.0,,0.014963509514927864,158.69039916992188,0.014963509514927864,158.69039916992188,0.5003531191031191,0.31748390498390494,18.286921411921416,0.6151737151737151,0.637722693972694,4859.654286355528
11,tsce,wcce,C3_lbfgs_reg,lbfgs,0.0001,none,full_objective_evaluations,100,100.0,,0.14738629758358002,1.6483324766159058,0.23807093501091003,1.739017128944397,0.5075681263181262,0.3802523865023864,12.731573981573979,0.6151737151737151,0.637722693972694,42.58747544611463
