backbone_objective,head_objective,case,optimizer,scaling_mode,reg_lambda_mean,reg_lambda_std,train_task_ce_mean,train_task_ce_std,val_task_ce_mean,val_task_ce_std,analog_test_ba_mean,analog_test_ba_std,lif_test_ba_mean,lif_test_ba_std,analog_to_lif_gap_pp_mean,analog_to_lif_gap_pp_std,legacy_l2_wholecount_probe_test_ba_mean,legacy_l2_wholecount_probe_test_ba_std,legacy_l2_fixed250_probe_test_ba_mean,legacy_l2_fixed250_probe_test_ba_std,weight_norm_raw_mean,weight_norm_raw_std
tsce,tsce,C0_adam100,adam,none,0.0,0.0,1.658719261487325,0.10183190294051787,2.034461736679077,0.009937180589586,0.46633967883967875,0.03422498240853687,0.43692811817811816,0.03413015357044831,2.9411560661560627,1.844200452142962,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,5.324761719183543,0.5038991603580197
tsce,tsce,C1_adam500,adam,none,0.0,0.0,1.5711297988891602,0.1466690256560015,2.0892030398050943,0.06491814739845252,0.4788681226181226,0.04856909138672785,0.454313973063973,0.03819837168255475,2.4554149554149567,4.755486734081561,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,8.493041974563486,3.248964866320475
tsce,tsce,C2_lbfgs_noreg,lbfgs,none,0.0,0.0,1.4780583381652832,0.1363719147848517,2.208592255910238,0.06902006476148717,0.47382501757501755,0.03579588330395078,0.36711182336182335,0.04715950016140582,10.671319421319415,8.171104328528948,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,13.404623562117848,0.2938905070202685
tsce,tsce,C3_lbfgs_reg,lbfgs,none,0.0037,0.005474486277268398,1.521324634552002,0.19622585085439545,2.1381526788075766,0.09601739604407387,0.4769156769156769,0.0548875252732114,0.36019975394975395,0.016085027924806563,11.671592296592292,5.9572114272376,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,9.066443736058822,4.054140184197398
tsce,tsce,C4_scale_lbfgs_reg,lbfgs,scale_only,0.007,0.005196152422706632,1.493711034456889,0.13839375192477807,2.135179281234741,0.07731258296151516,0.4820344007844007,0.04187528173470111,0.380309274059274,0.03869131757018012,10.172512672512669,7.340231991848828,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,10.30163011848193,1.9079559031472388
tsce,tsce,Ref_scale_lbfgs_converged,lbfgs,scale_only,0.007,0.005196152422706632,1.4937079350153606,0.1383960628851573,2.135212262471517,0.07742111294238942,0.4845596533096533,0.041532327980902006,0.380309274059274,0.03869131757018012,10.425037925037921,7.471566814917004,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,10.302857654016348,1.9099449720021628
tsce,wcce,C0_adam100,adam,none,0.0,0.0,1.0702674587567647,0.19676665023168508,1.5767709414164226,0.0690982454705769,0.5110734173234173,0.043052542954045384,0.4973010785510785,0.05086081881309831,1.3772338772338761,2.1290154994220556,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,7.569321588885612,0.7143500313459658
tsce,wcce,C1_adam500,adam,none,0.0,0.0,0.5677977999051412,0.07941622056065333,1.368849794069926,0.018397047254712733,0.509815416065416,0.03278108499718697,0.48428099678099673,0.019542871746160012,2.553441928441926,1.9323963222017615,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,18.234040218176798,5.041051200686701
tsce,wcce,C2_lbfgs_noreg,lbfgs,none,0.0,0.0,0.018746372933189075,0.00481158936176596,682.7737833658854,973.023733441619,0.45751470751470746,0.050383194246848326,0.32185869685869684,0.023424882995423255,13.565601065601065,4.233474316188999,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,21446.844413414077,29703.150227231476
tsce,wcce,C3_lbfgs_reg,lbfgs,none,0.0036999999999999997,0.005474486277268398,0.5489532202482224,0.4920503692798778,1.5362152655919392,0.11290195474918732,0.5056862119362119,0.0031354339737270018,0.3933649683649683,0.012004589177456918,11.232124357124354,1.4553745322787817,0.5961214711214712,0.03179651432247856,0.5819994819994819,0.04825785705615101,23.244246314473543,17.71962563302731
