contrast,backbone_objective,head_objective,left_case,right_case,analog_delta_pp_count,analog_delta_pp_mean,analog_delta_pp_std,lif_delta_pp_count,lif_delta_pp_mean,lif_delta_pp_std
C1_minus_C0_extra_adam_budget,tsce,tsce,C1_adam500,C0_adam100,3,1.2528443778443792,1.5981313214149448,3,1.7385854885854848,2.724431670877083
C2_minus_C0_lbfgs_vs_adam100,tsce,tsce,C2_lbfgs_noreg,C0_adam100,3,0.7485338735338724,1.4919361606650146,3,-6.98162948162948,6.462497814044165
C3_minus_C2_regularization,tsce,tsce,C3_lbfgs_reg,C2_lbfgs_noreg,3,0.3090659340659367,1.9947085747740851,3,-0.6912069412069398,3.9731913284454454
C4_minus_C3_feature_scaling,tsce,tsce,C4_scale_lbfgs_reg,C3_lbfgs_reg,3,0.5118723868723863,1.709366104097259,3,2.0109520109520087,2.9722019174209175
Ref_minus_C4_convergence_budget,tsce,tsce,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,3,0.2525252525252523,0.4373865675678979,3,0.0,0.0
C1_minus_C0_extra_adam_budget,tsce,wcce,C1_adam500,C0_adam100,3,-0.12580012580012215,1.0296555441042599,3,-1.3020081770081717,3.170212503516223
C2_minus_C0_lbfgs_vs_adam100,tsce,wcce,C2_lbfgs_noreg,C0_adam100,3,-5.355870980870979,5.950007567763523,3,-17.544238169238167,7.329674510282348
C3_minus_C2_regularization,tsce,wcce,C3_lbfgs_reg,C2_lbfgs_noreg,3,4.81715044215044,5.108810203723436,3,7.150627150627151,2.065923764621941
C4_minus_C3_feature_scaling,tsce,wcce,C4_scale_lbfgs_reg,C3_lbfgs_reg,3,2.911186036186038,1.163072814616183,3,1.8836487586487596,0.5454747008292499
Ref_minus_C4_convergence_budget,tsce,wcce,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,3,0.0,0.0,3,0.0,0.0
C1_minus_C0_extra_adam_budget,wcce,tsce,C1_adam500,C0_adam100,3,2.6031144781144784,2.2063652788477888,3,0.43109668109668026,0.8052554936606281
C2_minus_C0_lbfgs_vs_adam100,wcce,tsce,C2_lbfgs_noreg,C0_adam100,3,1.709494209494211,1.3705378241631991,3,-9.425135050135049,0.4604963800871629
C3_minus_C2_regularization,wcce,tsce,C3_lbfgs_reg,C2_lbfgs_noreg,3,0.4438848188848173,0.3852147687459342,3,3.314625189625186,4.877869174625323
C4_minus_C3_feature_scaling,wcce,tsce,C4_scale_lbfgs_reg,C3_lbfgs_reg,3,-0.5621693121693139,0.6712181670268543,3,-0.815966440966435,2.4496628840773202
Ref_minus_C4_convergence_budget,wcce,tsce,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,3,0.2136752136752166,0.37009632640361134,3,0.15956265956265833,0.27637063335334017
C1_minus_C0_extra_adam_budget,wcce,wcce,C1_adam500,C0_adam100,3,0.832292707292707,0.40466707511315886,3,-2.0617114367114406,3.3682512351115315
C2_minus_C0_lbfgs_vs_adam100,wcce,wcce,C2_lbfgs_noreg,C0_adam100,3,-1.9213656713656715,3.395108906749497,3,-15.005827505827513,3.372272201445234
C3_minus_C2_regularization,wcce,wcce,C3_lbfgs_reg,C2_lbfgs_noreg,3,2.2047165797165778,1.9912617111544206,3,9.313834313834313,3.514388484905354
C4_minus_C3_feature_scaling,wcce,wcce,C4_scale_lbfgs_reg,C3_lbfgs_reg,3,0.07432382432382607,5.132137848016523,3,-2.0087782587782503,2.968565948803421
Ref_minus_C4_convergence_budget,wcce,wcce,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,3,-0.6493506493506477,0.6780283596396993,3,0.6435693935693912,0.6197000964186989
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,C0_adam100,C0_adam100,3,4.473373848373847,1.4537040289257492,3,6.037296037296034,5.233828196252982
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,C1_adam500,C1_adam500,3,3.0947293447293465,2.510513513143187,3,2.9967023717023777,5.210055221308549
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,C2_lbfgs_noreg,C2_lbfgs_noreg,3,-1.6310310060310027,5.965246317204034,3,-4.525312650312652,2.576848003264149
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,C3_lbfgs_reg,C3_lbfgs_reg,3,2.8770535020535006,5.201333722961976,3,3.316521441521438,2.1340660773827844
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,C4_scale_lbfgs_reg,C4_scale_lbfgs_reg,3,5.276367151367153,2.7954160287009855,3,3.1892181892181886,3.0648730069584533
wcce_minus_tsce_objective,tsce,wcce_minus_tsce,Ref_scale_lbfgs_converged,Ref_scale_lbfgs_converged,3,5.0238418988419005,2.7801044758213385,3,3.1892181892181886,3.0648730069584533
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,C0_adam100,C0_adam100,3,7.4072455322455335,2.72240694707302,3,3.785890035890038,4.254559682304471
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,C1_adam500,C1_adam500,3,5.636423761423763,4.385295727490114,3,1.2930819180819175,1.8677601703475222
wcce_minus_tsce_objective,wcce,wcce_minus_tsce,C2_lbfgs_noreg,C2_lbfgs_noreg,3,3.776385651385651,1.5934581229742053,3,-1.794802419802427,3.6221435462611016
