seed,backbone_objective,head_objective,case,reg_lambda
11,tsce,tsce,C3_lbfgs_reg,0.001
11,tsce,tsce,C4_scale_lbfgs_reg,0.01
11,tsce,tsce,Ref_scale_lbfgs_converged,0.01
11,tsce,wcce,C3_lbfgs_reg,0.0001
11,tsce,wcce,C4_scale_lbfgs_reg,0.001
11,tsce,wcce,Ref_scale_lbfgs_converged,0.001
11,wcce,tsce,C3_lbfgs_reg,0.01
11,wcce,tsce,C4_scale_lbfgs_reg,0.01
11,wcce,tsce,Ref_scale_lbfgs_converged,0.01
11,wcce,wcce,C3_lbfgs_reg,0.01
11,wcce,wcce,C4_scale_lbfgs_reg,0.0001
11,wcce,wcce,Ref_scale_lbfgs_converged,0.0001
23,tsce,tsce,C3_lbfgs_reg,0.01
23,tsce,tsce,C4_scale_lbfgs_reg,0.01
23,tsce,tsce,Ref_scale_lbfgs_converged,0.01
23,tsce,wcce,C3_lbfgs_reg,0.01
23,tsce,wcce,C4_scale_lbfgs_reg,0.01
23,tsce,wcce,Ref_scale_lbfgs_converged,0.01
23,wcce,tsce,C3_lbfgs_reg,0.0001
23,wcce,tsce,C4_scale_lbfgs_reg,0.001
23,wcce,tsce,Ref_scale_lbfgs_converged,0.001
23,wcce,wcce,C3_lbfgs_reg,0.001
23,wcce,wcce,C4_scale_lbfgs_reg,0.0001
23,wcce,wcce,Ref_scale_lbfgs_converged,0.0001
37,tsce,tsce,C3_lbfgs_reg,0.0001
37,tsce,tsce,C4_scale_lbfgs_reg,0.001
37,tsce,tsce,Ref_scale_lbfgs_converged,0.001
37,tsce,wcce,C3_lbfgs_reg,0.001
37,tsce,wcce,C4_scale_lbfgs_reg,0.01
37,tsce,wcce,Ref_scale_lbfgs_converged,0.01
37,wcce,tsce,C3_lbfgs_reg,0.001
37,wcce,tsce,C4_scale_lbfgs_reg,0.01
37,wcce,tsce,Ref_scale_lbfgs_converged,0.01
37,wcce,wcce,C3_lbfgs_reg,0.001
37,wcce,wcce,C4_scale_lbfgs_reg,0.1
37,wcce,wcce,Ref_scale_lbfgs_converged,0.1
