contrast,backbone_objective,head_objective,seed,left_case,right_case,analog_delta_pp,lif_delta_pp
C1_minus_C0_extra_adam_budget,tsce,tsce,11,C1_adam500,C0_adam100,3.052641802641809,0.3373015873015861
C1_minus_C0_extra_adam_budget,tsce,tsce,23,C1_adam500,C0_adam100,0.7058913308913284,4.8784548784548685
C1_minus_C0_extra_adam_budget,tsce,tsce,37,C1_adam500,C0_adam100,0.0,0.0
C2_minus_C0_lbfgs_vs_adam100,tsce,tsce,11,C2_lbfgs_noreg,C0_adam100,0.017135642135646112,-13.273393273393275
C2_minus_C0_lbfgs_vs_adam100,tsce,tsce,23,C2_lbfgs_noreg,C0_adam100,-0.23656898656899128,-0.3609584859584791
C2_minus_C0_lbfgs_vs_adam100,tsce,tsce,37,C2_lbfgs_noreg,C0_adam100,2.4650349650349623,-7.31053668553669
C3_minus_C2_regularization,tsce,tsce,11,C3_lbfgs_reg,C2_lbfgs_noreg,2.4402680652680697,2.589077589077593
C3_minus_C2_regularization,tsce,tsce,23,C3_lbfgs_reg,C2_lbfgs_noreg,-1.5130702630702597,-5.109126984126988
C3_minus_C2_regularization,tsce,tsce,37,C3_lbfgs_reg,C2_lbfgs_noreg,0.0,0.4464285714285754
C4_minus_C3_feature_scaling,tsce,tsce,11,C4_scale_lbfgs_reg,C3_lbfgs_reg,-0.16233766233766378,-0.2615440115440071
C4_minus_C3_feature_scaling,tsce,tsce,23,C4_scale_lbfgs_reg,C3_lbfgs_reg,2.4555305805305796,5.374486624486624
C4_minus_C3_feature_scaling,tsce,tsce,37,C4_scale_lbfgs_reg,C3_lbfgs_reg,-0.7575757575757569,0.9199134199134096
Ref_minus_C4_convergence_budget,tsce,tsce,11,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,0.0,0.0
Ref_minus_C4_convergence_budget,tsce,tsce,23,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,0.0,0.0
Ref_minus_C4_convergence_budget,tsce,tsce,37,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,0.7575757575757569,0.0
C1_minus_C0_extra_adam_budget,tsce,wcce,11,C1_adam500,C0_adam100,-1.1273448773448824,-3.4000721500721474
C1_minus_C0_extra_adam_budget,tsce,wcce,23,C1_adam500,C0_adam100,0.9298340548340611,2.3448773448773497
C1_minus_C0_extra_adam_budget,tsce,wcce,37,C1_adam500,C0_adam100,-0.17988955488954517,-2.8508297258297177
C2_minus_C0_lbfgs_vs_adam100,tsce,wcce,11,C2_lbfgs_noreg,C0_adam100,-5.088869463869461,-20.87058774558775
C2_minus_C0_lbfgs_vs_adam100,tsce,wcce,23,C2_lbfgs_noreg,C0_adam100,0.4561410811410871,-9.141206016206016
C2_minus_C0_lbfgs_vs_adam100,tsce,wcce,37,C2_lbfgs_noreg,C0_adam100,-11.434884559884562,-22.620920745920735
C3_minus_C2_regularization,tsce,wcce,11,C3_lbfgs_reg,C2_lbfgs_noreg,0.7215007215007119,6.276848151848147
C3_minus_C2_regularization,tsce,wcce,23,C3_lbfgs_reg,C2_lbfgs_noreg,3.1881313131313096,5.665168165168167
C3_minus_C2_regularization,tsce,wcce,37,C3_lbfgs_reg,C2_lbfgs_noreg,10.541819291819298,9.509865134865137
C4_minus_C3_feature_scaling,tsce,wcce,11,C4_scale_lbfgs_reg,C3_lbfgs_reg,4.2297979797979774,1.3145188145188225
C4_minus_C3_feature_scaling,tsce,wcce,23,C4_scale_lbfgs_reg,C3_lbfgs_reg,2.031232656232662,2.4019036519036474
C4_minus_C3_feature_scaling,tsce,wcce,37,C4_scale_lbfgs_reg,C3_lbfgs_reg,2.472527472527475,1.9345238095238082
Ref_minus_C4_convergence_budget,tsce,wcce,11,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,0.0,0.0
Ref_minus_C4_convergence_budget,tsce,wcce,23,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,0.0,0.0
Ref_minus_C4_convergence_budget,tsce,wcce,37,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,0.0,0.0
C1_minus_C0_extra_adam_budget,wcce,tsce,11,C1_adam500,C0_adam100,5.08276445776446,0.9559884559884657
C1_minus_C0_extra_adam_budget,wcce,tsce,23,C1_adam500,C0_adam100,0.8567821067821058,0.8333333333333304
C1_minus_C0_extra_adam_budget,wcce,tsce,37,C1_adam500,C0_adam100,1.8697968697968692,-0.49603174603175537
C2_minus_C0_lbfgs_vs_adam100,wcce,tsce,11,C2_lbfgs_noreg,C0_adam100,0.778735153735155,-9.785145410145402
C2_minus_C0_lbfgs_vs_adam100,wcce,tsce,23,C2_lbfgs_noreg,C0_adam100,3.283313908313912,-9.584027084027086
C2_minus_C0_lbfgs_vs_adam100,wcce,tsce,37,C2_lbfgs_noreg,C0_adam100,1.0664335664335667,-8.90623265623266
C3_minus_C2_regularization,wcce,tsce,11,C3_lbfgs_reg,C2_lbfgs_noreg,0.6906288156288132,8.915737040737037
C3_minus_C2_regularization,wcce,tsce,23,C3_lbfgs_reg,C2_lbfgs_noreg,0.0,0.0
C3_minus_C2_regularization,wcce,tsce,37,C3_lbfgs_reg,C2_lbfgs_noreg,0.6410256410256387,1.0281385281385225
C4_minus_C3_feature_scaling,wcce,tsce,11,C4_scale_lbfgs_reg,C3_lbfgs_reg,0.14499389499389448,-3.6383755133755025
C4_minus_C3_feature_scaling,wcce,tsce,23,C4_scale_lbfgs_reg,C3_lbfgs_reg,-0.6410256410256499,0.7575757575757569
C4_minus_C3_feature_scaling,wcce,tsce,37,C4_scale_lbfgs_reg,C3_lbfgs_reg,-1.1904761904761862,0.43290043290044045
Ref_minus_C4_convergence_budget,wcce,tsce,11,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,0.0,0.0
Ref_minus_C4_convergence_budget,wcce,tsce,23,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,0.6410256410256499,0.47868797868797497
Ref_minus_C4_convergence_budget,wcce,tsce,37,Ref_scale_lbfgs_converged,C4_scale_lbfgs_reg,0.0,0.0
C1_minus_C0_extra_adam_budget,wcce,wcce,11,C1_adam500,C0_adam100,1.2797619047619002,-2.2057803307803328
C1_minus_C0_extra_adam_budget,wcce,wcce,23,C1_adam500,C0_adam100,0.7251082251082286,1.3762626262626143
C1_minus_C0_extra_adam_budget,wcce,wcce,37,C1_adam500,C0_adam100,0.4920079920079923,-5.3556166056166035
C2_minus_C0_lbfgs_vs_adam100,wcce,wcce,11,C2_lbfgs_noreg,C0_adam100,1.7969530469530537,-11.564338439338451
C2_minus_C0_lbfgs_vs_adam100,wcce,wcce,23,C2_lbfgs_noreg,C0_adam100,-2.704725829725829,-15.148809523809541
