reference,mean_test_ba,source
fixed250_linear,0.5491064491064491,notebooks/artifacts/experiment_4_0_fixed250_temporal_snn/fixed250_stateful_decoder_v1/baseline/fixed250_linear.json
continuous_rnn128_sum_logits,0.524110889110889,notebooks/artifacts/experiment_4_2_continuous_recurrent_controls/continuous_controls_v1/runs.csv
local128_ff128,0.41338508713508715,Exp4.0.3 finalized runs
local128_rsnn128,0.44337398712398707,Exp4.0.3 finalized runs
rsnn128_multispike_reused,0.40763986013986014,Exp4.0.3 finalized runs
rsnn128_rsnn128,0.3943459318459318,Exp4.0.3 finalized runs
rsnn176_capacity,0.41612068487068476,Exp4.0.3 finalized runs
