condition,seed,fully_spiking_ba,baseline_fully_spiking_ba,fully_spiking_delta_vs_baseline,state_probe_ba,baseline_state_probe_ba,state_probe_delta_vs_baseline
rsnn176_capacity,11,0.4417624042624042,0.3855443167943167,0.056218087468087485,0.4698315573315573,0.4409874847374848,0.028844072594072512
rsnn176_capacity,23,0.3979340104340104,0.3986686924186924,-0.0007346819846820174,0.34550380175380174,0.4244359806859807,-0.07893217893217896
rsnn176_capacity,37,0.41102300477300474,0.4060307747807747,0.004992229992230035,0.4942862692862693,0.5564574314574314,-0.06217116217116214
rsnn176_capacity,53,0.4642912642912642,0.4504793817293817,0.013811882561882538,0.46258741258741254,0.4724990287490287,-0.009911616161616177
rsnn176_capacity,71,0.36559274059274055,0.3974761349761349,-0.031883394383394326,0.46010031635031634,0.4167811355311355,0.04331918081918085
local128_rsnn128,11,0.4874042624042623,0.3855443167943167,0.1018599456099456,0.44237845487845484,0.4409874847374848,0.0013909701409700603
local128_rsnn128,23,0.40229908979908974,0.3986686924186924,0.003630397380397332,0.4961233211233211,0.4244359806859807,0.07168734043734037
local128_rsnn128,37,0.4073086635586635,0.4060307747807747,0.0012778887778888137,0.4647838272838272,0.5564574314574314,-0.0916736041736042
local128_rsnn128,53,0.46761294261294256,0.4504793817293817,0.017133560883560883,0.523238566988567,0.4724990287490287,0.05073953823953825
local128_rsnn128,71,0.45224497724497725,0.3974761349761349,0.05476884226884238,0.4817002442002442,0.4167811355311355,0.06491910866910872
rsnn128_rsnn128,11,0.4077283827283827,0.3855443167943167,0.022184065934065966,0.4820949883449883,0.4409874847374848,0.04110750360750354
rsnn128_rsnn128,23,0.41156551781551776,0.3986686924186924,0.012896825396825351,0.4303994616494616,0.4244359806859807,0.005963480963480872
rsnn128_rsnn128,37,0.3912531912531913,0.4060307747807747,-0.014777583527583404,0.45630341880341874,0.5564574314574314,-0.10015401265401269
rsnn128_rsnn128,53,0.39179015429015424,0.4504793817293817,-0.05868922743922744,0.42383588633588637,0.4724990287490287,-0.048663142413142346
rsnn128_rsnn128,71,0.36939241314241317,0.3974761349761349,-0.02808372183372171,0.4038967976467976,0.4167811355311355,-0.012884337884337904
local128_ff128,11,0.43289280164280153,0.3855443167943167,0.047348484848484806,0.07154650904650905,0.4409874847374848,-0.3694409756909757
local128_ff128,23,0.3621017871017871,0.3986686924186924,-0.03656690531690532,0.15563325563325564,0.4244359806859807,-0.26880272505272507
local128_ff128,37,0.41703921078921075,0.4060307747807747,0.01100843600843604,0.14669289044289044,0.5564574314574314,-0.40976454101454096
local128_ff128,53,0.4349664224664224,0.4504793817293817,-0.015512959262959258,0.15558122433122432,0.4724990287490287,-0.31691780441780437
local128_ff128,71,0.4199252136752136,0.3974761349761349,0.02244907869907875,0.2519355644355644,0.4167811355311355,-0.16484557109557108
