condition,valid_count_balanced_accuracy_mean,valid_count_balanced_accuracy_std,valid_count_macro_f1_mean,valid_count_macro_f1_std,state_probe_balanced_accuracy_mean,state_probe_balanced_accuracy_std,state_probe_macro_f1_mean,state_probe_macro_f1_std,state_tail_event_fraction_mean,state_tail_event_fraction_std,output_tail_event_fraction_mean,output_tail_event_fraction_std
local128_ff128,0.41338508713508715,0.029717030879379575,0.39955214450793675,0.03422631078967757,0.15627788877788878,0.06407528913266147,0.15076675181535446,0.06048506108719528,1.062176266863738e-06,2.3750983367942753e-06,0.002017213298408123,0.0001802327470394325
local128_rsnn128,0.44337398712398707,0.03739231647110617,0.4363343174455493,0.03957034924799476,0.4816448828948829,0.030683099421271204,0.47527673219317934,0.028128670160824248,0.7683771783358431,0.011388463961199191,0.7765305811411715,0.03679029809029368
rsnn128_multispike_reused,0.40763986013986003,0.025049001781167653,0.39530695363630297,0.02345706491044854,0.4622322122322123,0.056853965117086014,0.45480339422924543,0.0581650284177871,0.8153757555844032,0.01425270897214655,0.7891150499043399,0.024714205769669824
rsnn128_rsnn128,0.3943459318459318,0.016691159872524054,0.3751351461862919,0.02680999723197132,0.4393061105561105,0.030382035082287876,0.4296765231802634,0.02973093370903249,0.751849848113648,0.00495140424984636,0.7750593794535284,0.018818735645743014
rsnn176_capacity,0.41612068487068476,0.0383657305335013,0.39549476642110387,0.04288137446888486,0.44646187146187144,0.05803422985544865,0.43837361736067876,0.05504501613065243,0.8154406848019116,0.013387476201656643,0.800332738601998,0.013192293846508156
