variant,coding,objective,rotation,seed,probe,source,state,aggregation,feature_dim,selected_C,selected_val_ba,probe_seed,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_action0_accuracy,test_action0_balanced_accuracy,test_action0_macro_f1,test_action1_accuracy,test_action1_balanced_accuracy,test_action1_macro_f1
postencode_mask,mm,l2_wcce,0,37,input__events__whole_count,input,events,whole_count,30,0.1,0.4598096348096348,733928576,"[{""C"": 0.001, ""val_ba"": 0.3034188034188034}, {""C"": 0.01, ""val_ba"": 0.38593940781440783}, {""C"": 0.1, ""val_ba"": 0.4598096348096348}, {""C"": 1.0, ""val_ba"": 0.4502608502608502}, {""C"": 10.0, ""val_ba"": 0.3973228160728161}]",0.6588235294117647,0.6484503504004652,0.6501724821191205,0.48520710059171596,0.4598096348096348,0.4492913742726336,0.41379310344827586,0.4066306446821153,0.4024094173835049,0.3894736842105263,0.3770833333333334,0.36400133682742375,0.4430379746835443,0.4459325396825396,0.4354377104377105
postencode_mask,mm,l2_wcce,0,37,input__events__fixed250_count,input,events,fixed250_count,480,0.1,0.5976662226662227,2227490530,"[{""C"": 0.001, ""val_ba"": 0.4389003357753358}, {""C"": 0.01, ""val_ba"": 0.5629079254079254}, {""C"": 0.1, ""val_ba"": 0.5976662226662227}, {""C"": 1.0, ""val_ba"": 0.5884646603396603}, {""C"": 10.0, ""val_ba"": 0.5657960095460095}]",1.0,1.0,1.0,0.6035502958579881,0.5976662226662227,0.5919785147108986,0.6666666666666666,0.6578262831939302,0.6593279579800227,0.6,0.586574074074074,0.5890929790310594,0.7468354430379747,0.7513888888888888,0.7457403163285518
postencode_mask,mm,l2_wcce,0,37,l1__syn_current__whole_mean,l1,syn_current,whole_mean,128,10.0,0.5361239454989455,128395802,"[{""C"": 0.001, ""val_ba"": 0.3159149877899878}, {""C"": 0.01, ""val_ba"": 0.4303835053835054}, {""C"": 0.1, ""val_ba"": 0.4774548368298368}, {""C"": 1.0, ""val_ba"": 0.5194416694416694}, {""C"": 10.0, ""val_ba"": 0.5361239454989455}]",0.8960784313725491,0.8979688863957058,0.8984226719290748,0.5443786982248521,0.5361239454989455,0.5340394914100103,0.5057471264367817,0.49621712029800263,0.4912593802396435,0.49473684210526314,0.48587962962962955,0.4801020050590989,0.5189873417721519,0.5096230158730158,0.49929514929514934
postencode_mask,mm,l2_wcce,0,37,l1__syn_current__fixed250_ordered_mean,l1,syn_current,fixed250_ordered_mean,2048,0.1,0.7005085192585193,3039617022,"[{""C"": 0.001, ""val_ba"": 0.6501536657786658}, {""C"": 0.01, ""val_ba"": 0.694481906981907}, {""C"": 0.1, ""val_ba"": 0.7005085192585193}, {""C"": 1.0, ""val_ba"": 0.6900918525918526}, {""C"": 10.0, ""val_ba"": 0.6572927072927072}]",1.0,1.0,1.0,0.7041420118343196,0.7005085192585193,0.7031890057202169,0.6954022988505747,0.6998697381050322,0.6914302409691738,0.6736842105263158,0.6756944444444445,0.6664293495175847,0.7215189873417721,0.7373015873015872,0.7257159507159509
postencode_mask,mm,l2_wcce,0,37,l1__pre_reset__whole_mean,l1,pre_reset,whole_mean,128,10.0,0.5632752664002664,1512930536,"[{""C"": 0.001, ""val_ba"": 0.306353021978022}, {""C"": 0.01, ""val_ba"": 0.4267399267399267}, {""C"": 0.1, ""val_ba"": 0.4889627733377733}, {""C"": 1.0, ""val_ba"": 0.521919746919747}, {""C"": 10.0, ""val_ba"": 0.5632752664002664}]",1.0,1.0,1.0,0.5680473372781065,0.5632752664002664,0.5633174171059834,0.47701149425287354,0.4686404486036839,0.4678034661435249,0.43157894736842106,0.41643518518518513,0.4116476765599572,0.5316455696202531,0.533234126984127,0.5137935593817947
postencode_mask,mm,l2_wcce,0,37,l1__pre_reset__fixed250_ordered_mean,l1,pre_reset,fixed250_ordered_mean,2048,0.01,0.6968493312243312,726057870,"[{""C"": 0.001, ""val_ba"": 0.6266303141303141}, {""C"": 0.01, ""val_ba"": 0.6968493312243312}, {""C"": 0.1, ""val_ba"": 0.6904390748140748}, {""C"": 1.0, ""val_ba"": 0.668911297036297}, {""C"": 10.0, ""val_ba"": 0.6609883172383172}]",0.984313725490196,0.9837695964085782,0.9841305498840277,0.6982248520710059,0.6968493312243312,0.6960024331379758,0.6896551724137931,0.6912975912975913,0.6818303807983087,0.631578947368421,0.6340277777777777,0.6239379084967319,0.759493670886076,0.7685515873015872,0.754536667036667
postencode_mask,mm,l2_wcce,0,37,l1__spike__whole_mean,l1,spike,whole_mean,128,0.01,0.4867035742035742,132802751,"[{""C"": 0.001, ""val_ba"": 0.3875551531801531}, {""C"": 0.01, ""val_ba"": 0.4867035742035742}, {""C"": 0.1, ""val_ba"": 0.4717369436119436}, {""C"": 1.0, ""val_ba"": 0.4480783105783106}, {""C"": 10.0, ""val_ba"": 0.4093267843267843}]",0.7274509803921568,0.716697997815945,0.7431419935379058,0.5029585798816568,0.4867035742035742,0.48448129203368984,0.5,0.4887416301019243,0.4858400457471665,0.43157894736842106,0.41759259259259257,0.42625363056948723,0.5822784810126582,0.5808531746031746,0.558360852110852
postencode_mask,mm,l2_wcce,0,37,l1__spike__fixed250_ordered_mean,l1,spike,fixed250_ordered_mean,2048,1.0,0.6482420357420356,3695663858,"[{""C"": 0.001, ""val_ba"": 0.5328078171828171}, {""C"": 0.01, ""val_ba"": 0.6164977383727384}, {""C"": 0.1, ""val_ba"": 0.6371309246309246}, {""C"": 1.0, ""val_ba"": 0.6482420357420356}, {""C"": 10.0, ""val_ba"": 0.6201801670551671}]",1.0,1.0,1.0,0.6449704142011834,0.6482420357420356,0.6432570791283632,0.5862068965517241,0.589611756707345,0.5817957891415114,0.5578947368421052,0.5553240740740741,0.5406658879762594,0.620253164556962,0.6278769841269841,0.6201558131124695
postencode_mask,mm,l2_wcce,0,37,l1__post_reset__whole_mean,l1,post_reset,whole_mean,128,0.1,0.5222329753579753,812873048,"[{""C"": 0.001, ""val_ba"": 0.345054945054945}, {""C"": 0.01, ""val_ba"": 0.4826749639249639}, {""C"": 0.1, ""val_ba"": 0.5222329753579753}, {""C"": 1.0, ""val_ba"": 0.5146547896547897}, {""C"": 10.0, ""val_ba"": 0.5217934842934843}]",0.8333333333333334,0.8301890562037787,0.833959806769719,0.5384615384615384,0.5222329753579753,0.5273053358224926,0.4942528735632184,0.4887749097307921,0.4915562619585608,0.47368421052631576,0.4662037037037037,0.47280677655677655,0.5189873417721519,0.5178571428571429,0.5043029704213914
postencode_mask,mm,l2_wcce,0,37,l1__post_reset__fixed250_ordered_mean,l1,post_reset,fixed250_ordered_mean,2048,1.0,0.6836815961815962,3751458926,"[{""C"": 0.001, ""val_ba"": 0.6202200577200577}, {""C"": 0.01, ""val_ba"": 0.6791808885558885}, {""C"": 0.1, ""val_ba"": 0.6776185619935621}, {""C"": 1.0, ""val_ba"": 0.6836815961815962}, {""C"": 10.0, ""val_ba"": 0.6781260406260406}]",1.0,1.0,1.0,0.6863905325443787,0.6836815961815962,0.6851394013429872,0.7011494252873564,0.7010339537913067,0.6923276190467383,0.631578947368421,0.6282407407407408,0.6170892274220446,0.7848101265822784,0.7971230158730158,0.7831516522692995
postencode_mask,mm,l2_wcce,0,37,l1__spike__whole_count,l1,spike,whole_count,128,0.1,0.533528971028971,3151387115,"[{""C"": 0.001, ""val_ba"": 0.4111759768009768}, {""C"": 0.01, ""val_ba"": 0.5070162476412476}, {""C"": 0.1, ""val_ba"": 0.533528971028971}, {""C"": 1.0, ""val_ba"": 0.47962592962592954}, {""C"": 10.0, ""val_ba"": 0.4431675962925963}]",0.8901960784313725,0.8879713863716018,0.8953431747812876,0.5443786982248521,0.533528971028971,0.5244895371483392,0.5459770114942529,0.5313292712189771,0.5231782146132746,0.5263157894736842,0.5113425925925926,0.508078472668256,0.569620253164557,0.5607142857142857,0.5363234913234913
postencode_mask,mm,l2_wcce,0,37,l1__spike__fixed250_count,l1,spike,fixed250_count,2048,0.1,0.646235014985015,3099842787,"[{""C"": 0.001, ""val_ba"": 0.531642316017316}, {""C"": 0.01, ""val_ba"": 0.6324699605949605}, {""C"": 0.1, ""val_ba"": 0.646235014985015}, {""C"": 1.0, ""val_ba"": 0.6269508269508269}, {""C"": 10.0, ""val_ba"": 0.5998178904428905}]",0.9882352941176471,0.9877901470378827,0.9885532413500311,0.6449704142011834,0.646235014985015,0.6382011022409574,0.632183908045977,0.6346595194021665,0.6247993475278178,0.5789473684210527,0.5750000000000001,0.5580350125973695,0.6962025316455697,0.7030753968253968,0.6988313042879607
postencode_mask,mm,l2_wcce,0,37,l2__syn_current__whole_mean,l2,syn_current,whole_mean,128,0.1,0.49044462481962486,2158263319,"[{""C"": 0.001, ""val_ba"": 0.45913981851481855}, {""C"": 0.01, ""val_ba"": 0.44921502109002115}, {""C"": 0.1, ""val_ba"": 0.49044462481962486}, {""C"": 1.0, ""val_ba"": 0.4831550394050394}, {""C"": 10.0, ""val_ba"": 0.4688828532578533}]",0.9196078431372549,0.9214388168315497,0.9226907616928087,0.4970414201183432,0.49044462481962486,0.4770669288166485,0.4827586206896552,0.4801032096987979,0.47097139698761215,0.42105263157894735,0.4118055555555556,0.40082416312393426,0.5569620253164557,0.562202380952381,0.5411364181664694
