variant,coding,objective,rotation,seed,probe,source,state,aggregation,feature_dim,selected_C,selected_val_ba,probe_seed,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_action0_accuracy,test_action0_balanced_accuracy,test_action0_macro_f1,test_action1_accuracy,test_action1_balanced_accuracy,test_action1_macro_f1
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,input__events__whole_count,input,events,whole_count,30,0.1,0.4598096348096348,3854372766,"[{""C"": 0.001, ""val_ba"": 0.3034188034188034}, {""C"": 0.01, ""val_ba"": 0.38593940781440783}, {""C"": 0.1, ""val_ba"": 0.4598096348096348}, {""C"": 1.0, ""val_ba"": 0.4502608502608502}, {""C"": 10.0, ""val_ba"": 0.3973228160728161}]",0.6588235294117647,0.6484503504004652,0.6501724821191205,0.48520710059171596,0.4598096348096348,0.4492913742726336,0.41379310344827586,0.4066306446821153,0.4024094173835049,0.3894736842105263,0.3770833333333334,0.36400133682742375,0.4430379746835443,0.4459325396825396,0.4354377104377105
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,input__events__fixed250_count,input,events,fixed250_count,480,0.1,0.5976662226662227,1863387974,"[{""C"": 0.001, ""val_ba"": 0.4389003357753358}, {""C"": 0.01, ""val_ba"": 0.5629079254079254}, {""C"": 0.1, ""val_ba"": 0.5976662226662227}, {""C"": 1.0, ""val_ba"": 0.5884646603396603}, {""C"": 10.0, ""val_ba"": 0.5657960095460095}]",1.0,1.0,1.0,0.6035502958579881,0.5976662226662227,0.5919785147108986,0.6666666666666666,0.6578262831939302,0.6593279579800227,0.6,0.586574074074074,0.5890929790310594,0.7468354430379747,0.7513888888888888,0.7457403163285518
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1__syn_current__whole_mean,l1,syn_current,whole_mean,128,1.0,0.5170246420246419,857369416,"[{""C"": 0.001, ""val_ba"": 0.3422428266178266}, {""C"": 0.01, ""val_ba"": 0.4296550671550671}, {""C"": 0.1, ""val_ba"": 0.4794046231546231}, {""C"": 1.0, ""val_ba"": 0.5170246420246419}, {""C"": 10.0, ""val_ba"": 0.5138521201021201}]",0.7745098039215687,0.7789455413293099,0.7776064003707231,0.5266272189349113,0.5170246420246419,0.5196901898415763,0.47126436781609193,0.4592877302436125,0.45944201720517513,0.4631578947368421,0.4488425925925925,0.44834108810081347,0.4810126582278481,0.4719246031746031,0.46345136345136345
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1__syn_current__fixed250_ordered_mean,l1,syn_current,fixed250_ordered_mean,2048,0.01,0.7077030608280609,3842935889,"[{""C"": 0.001, ""val_ba"": 0.6034295565545565}, {""C"": 0.01, ""val_ba"": 0.7077030608280609}, {""C"": 0.1, ""val_ba"": 0.6677249833499834}, {""C"": 1.0, ""val_ba"": 0.6533019064269064}, {""C"": 10.0, ""val_ba"": 0.651752761127761}]",0.9725490196078431,0.971325858506387,0.9721706023698258,0.7159763313609467,0.7077030608280609,0.7033709160562543,0.6724137931034483,0.6729215229215231,0.6646420213440587,0.631578947368421,0.6247685185185184,0.6183756423888003,0.7215189873417721,0.7338293650793649,0.7247238872238873
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1__pre_reset__whole_mean,l1,pre_reset,whole_mean,128,1.0,0.5429556554556554,874957324,"[{""C"": 0.001, ""val_ba"": 0.33858363858363855}, {""C"": 0.01, ""val_ba"": 0.4532394688644689}, {""C"": 0.1, ""val_ba"": 0.503038628038628}, {""C"": 1.0, ""val_ba"": 0.5429556554556554}, {""C"": 10.0, ""val_ba"": 0.540538628038628}]",0.9098039215686274,0.9114363670782035,0.9124508768869369,0.5562130177514792,0.5429556554556554,0.5406955094002297,0.4885057471264368,0.47948160907719733,0.48098762519601634,0.47368421052631576,0.46041666666666664,0.4561919970008205,0.5063291139240507,0.5099206349206349,0.4985785456373692
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1__pre_reset__fixed250_ordered_mean,l1,pre_reset,fixed250_ordered_mean,2048,0.01,0.6824054417804418,426594477,"[{""C"": 0.001, ""val_ba"": 0.6131021756021756}, {""C"": 0.01, ""val_ba"": 0.6824054417804418}, {""C"": 0.1, ""val_ba"": 0.6653419497169497}, {""C"": 1.0, ""val_ba"": 0.668530081030081}, {""C"": 10.0, ""val_ba"": 0.5930226023976023}]",0.9764705882352941,0.9742711161654172,0.9757289125075143,0.6863905325443787,0.6824054417804418,0.6825721601913748,0.7011494252873564,0.7011015128662188,0.6930798845611763,0.6631578947368421,0.6618055555555554,0.6550377010903327,0.7468354430379747,0.7546626984126982,0.7411270102446572
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1__spike__whole_mean,l1,spike,whole_mean,128,0.1,0.5345862470862471,630004072,"[{""C"": 0.001, ""val_ba"": 0.38755515318015316}, {""C"": 0.01, ""val_ba"": 0.47429376179376176}, {""C"": 0.1, ""val_ba"": 0.5345862470862471}, {""C"": 1.0, ""val_ba"": 0.5338515651015651}, {""C"": 10.0, ""val_ba"": 0.5022543428793428}]",0.8568627450980392,0.8535326012028115,0.8691589732768619,0.5384615384615384,0.5345862470862471,0.5196185627313813,0.5402298850574713,0.532345513963161,0.528350556330096,0.5157894736842106,0.4974537037037037,0.5034806515198672,0.569620253164557,0.5753968253968255,0.5546324590442238
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1__spike__fixed250_ordered_mean,l1,spike,fixed250_ordered_mean,2048,0.1,0.6671044233544233,3195806523,"[{""C"": 0.001, ""val_ba"": 0.568407634032634}, {""C"": 0.01, ""val_ba"": 0.6503385503385504}, {""C"": 0.1, ""val_ba"": 0.6671044233544233}, {""C"": 1.0, ""val_ba"": 0.6489250333000333}, {""C"": 10.0, ""val_ba"": 0.5691156066156066}]",0.9666666666666667,0.9656301562855636,0.9687090785764078,0.6745562130177515,0.6671044233544233,0.6642273375911588,0.6781609195402298,0.6759931041181041,0.6704725267285605,0.6210526315789474,0.6131944444444445,0.6008189386865858,0.7468354430379747,0.7594246031746031,0.7465500594177065
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1__post_reset__whole_mean,l1,post_reset,whole_mean,128,0.1,0.5489690864690864,3446306864,"[{""C"": 0.001, ""val_ba"": 0.3202686202686203}, {""C"": 0.01, ""val_ba"": 0.47077401764901766}, {""C"": 0.1, ""val_ba"": 0.5489690864690864}, {""C"": 1.0, ""val_ba"": 0.5323634698634698}, {""C"": 10.0, ""val_ba"": 0.509931388056388}]",0.8568627450980392,0.8580904939697128,0.8598074211009646,0.5621301775147929,0.5489690864690864,0.5460086314572674,0.47701149425287354,0.46827780063074176,0.47515128632570547,0.49473684210526314,0.47893518518518513,0.47896976377172235,0.45569620253164556,0.45982142857142855,0.4586618446912565
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1__post_reset__fixed250_ordered_mean,l1,post_reset,fixed250_ordered_mean,2048,0.1,0.6806807775557776,3143840455,"[{""C"": 0.001, ""val_ba"": 0.5908303502053501}, {""C"": 0.01, ""val_ba"": 0.6705540986790987}, {""C"": 0.1, ""val_ba"": 0.6806807775557776}, {""C"": 1.0, ""val_ba"": 0.6658608752358753}, {""C"": 10.0, ""val_ba"": 0.6334585553335553}]",1.0,1.0,1.0,0.6863905325443787,0.6806807775557776,0.6783591936428423,0.7068965517241379,0.7057979398052927,0.6991745167984763,0.6526315789473685,0.6525462962962963,0.6491494258522122,0.7721518987341772,0.7784722222222222,0.7670819376701731
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1__spike__whole_count,l1,spike,whole_count,128,0.1,0.5636495448995449,878976743,"[{""C"": 0.001, ""val_ba"": 0.4039606227106227}, {""C"": 0.01, ""val_ba"": 0.46061473248973245}, {""C"": 0.1, ""val_ba"": 0.5636495448995449}, {""C"": 1.0, ""val_ba"": 0.5454205516705516}, {""C"": 10.0, ""val_ba"": 0.5022543428793428}]",0.8745098039215686,0.8705636918482491,0.8848007415798352,0.5680473372781065,0.5636495448995449,0.5481563998051924,0.5402298850574713,0.5287130353306824,0.5257942865927164,0.5473684210526316,0.5298611111111112,0.5274598967087861,0.5316455696202531,0.5248015873015873,0.5111659775552964
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l1__spike__fixed250_count,l1,spike,fixed250_count,2048,0.1,0.6432092213342213,1254248721,"[{""C"": 0.001, ""val_ba"": 0.5389072732822733}, {""C"": 0.01, ""val_ba"": 0.6332254551004551}, {""C"": 0.1, ""val_ba"": 0.6432092213342213}, {""C"": 1.0, ""val_ba"": 0.6293834637584638}, {""C"": 10.0, ""val_ba"": 0.5472406066156066}]",0.9647058823529412,0.9636921717894396,0.9667482942626823,0.650887573964497,0.6432092213342213,0.6408849718312922,0.6781609195402298,0.6756867315690845,0.6707844467209125,0.631578947368421,0.6270833333333333,0.6143391252137381,0.7341772151898734,0.7475198412698411,0.7331329210005681
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,l2__syn_current__whole_mean,l2,syn_current,whole_mean,128,0.1,0.5475174131424131,644262815,"[{""C"": 0.001, ""val_ba"": 0.49946754634254636}, {""C"": 0.01, ""val_ba"": 0.5446269008769008}, {""C"": 0.1, ""val_ba"": 0.5475174131424131}, {""C"": 1.0, ""val_ba"": 0.5195297757797758}, {""C"": 10.0, ""val_ba"": 0.5087318931068932}]",0.8941176470588236,0.8911935614245076,0.8964750674745822,0.5502958579881657,0.5475174131424131,0.5375436956350935,0.5057471264367817,0.4910342108871521,0.48950561421149663,0.5368421052631579,0.5229166666666667,0.5245228377000823,0.46835443037974683,0.44613095238095246,0.4139278152225722
