condition,seed,ablation,replicate,test_balanced_accuracy,test_accuracy,test_macro_f1,test_loss,fusion_firing_fraction
what_when_fusion_lif,11,ordered,0,0.45516219891219883,0.4657534246575342,0.45519825739280656,3.5367965306321234,0.2222440098989397
what_when_fusion_lif,11,when_zero,0,0.1697219447219447,0.15753424657534246,0.14143562030075188,17.17588414231392,0.17118124585818423
what_when_fusion_lif,11,when_shuffle,0,0.4710712898212898,0.4794520547945205,0.46396912515192085,4.133514195272367,0.24490103648939696
what_when_fusion_lif,11,when_shuffle,1,0.4577165889665889,0.4657534246575342,0.45224231534146697,3.96913499701513,0.24447908900762094
what_when_fusion_lif,11,when_shuffle,2,0.47259754134754134,0.4794520547945205,0.4631328905013115,4.123853846772076,0.2444771475314778
what_when_fusion_lif,11,when_shuffle,3,0.4848020035520035,0.4931506849315068,0.4716502174549467,3.919958330180547,0.2441043841119947
what_when_fusion_lif,11,when_shuffle,4,0.4246108058608058,0.4315068493150685,0.4230125251092993,4.141946139400953,0.24418463179257788
what_when_fusion_lif,11,when_circular_shift,0,0.4037864912864913,0.410958904109589,0.4060899899025412,5.223180685957817,0.25890037379887343
what_when_fusion_lif,23,ordered,0,0.5291368353868353,0.547945205479452,0.5150674264084981,2.8558052402653105,0.24095272117296224
what_when_fusion_lif,23,when_zero,0,0.3462787212787213,0.3835616438356164,0.2890926214082896,7.3669776132662,0.19531832442842942
what_when_fusion_lif,23,when_shuffle,0,0.45107253857253854,0.4657534246575342,0.44555037957211874,3.834133076341185,0.2723450960901259
what_when_fusion_lif,23,when_shuffle,1,0.4430749805749805,0.4520547945205479,0.43609150270457775,3.811526598995679,0.27289841679092114
what_when_fusion_lif,23,when_shuffle,2,0.4388472638472638,0.4520547945205479,0.438171979040114,3.716505899821242,0.27250818008614974
what_when_fusion_lif,23,when_shuffle,3,0.43506632256632255,0.4520547945205479,0.438174429962286,3.725251713844195,0.2725140045145792
what_when_fusion_lif,23,when_shuffle,4,0.44649725274725266,0.4520547945205479,0.4382932564511512,3.7402577465527678,0.2726977975894632
what_when_fusion_lif,23,when_circular_shift,0,0.4576423576423576,0.4657534246575342,0.45487835020794787,4.355249705379957,0.2869844733681246
what_when_fusion_lif,37,ordered,0,0.4780455655455655,0.4863013698630137,0.47265423500041853,2.8800648042600447,0.24858272241550697
what_when_fusion_lif,37,when_zero,0,0.32245670995670994,0.3287671232876712,0.28450082053023235,6.921757293074099,0.19314645978296885
what_when_fusion_lif,37,when_shuffle,0,0.4464306526806527,0.4657534246575342,0.4326287268350087,3.7798129173174297,0.26514157244035785
what_when_fusion_lif,37,when_shuffle,1,0.4610632423132423,0.4794520547945205,0.45224120800971535,3.556382316432587,0.2654010830848244
what_when_fusion_lif,37,when_shuffle,2,0.4649954212454212,0.4863013698630137,0.45861247688097423,3.621093318886953,0.2653997887673956
what_when_fusion_lif,37,when_shuffle,3,0.4266656954156954,0.4452054794520548,0.41911694055357523,3.787135659831844,0.26520111104208083
what_when_fusion_lif,37,when_shuffle,4,0.4684426684426684,0.4794520547945205,0.45801571253026024,3.625538806392722,0.2659233401673294
what_when_fusion_lif,37,when_circular_shift,0,0.43211094461094457,0.4452054794520548,0.4390730073382603,3.6333522861951018,0.28263815544234594
what_when_fusion_lif,53,ordered,0,0.5082625707625708,0.5273972602739726,0.5042718185390599,3.731169792070781,0.23517424101225978
what_when_fusion_lif,53,when_zero,0,0.29404137529137525,0.3150684931506849,0.2725416732668949,6.900909188675554,0.18581609302518223
what_when_fusion_lif,53,when_shuffle,0,0.45757437007437013,0.4726027397260274,0.43582504772940256,4.55654212873276,0.25507825443174287
what_when_fusion_lif,53,when_shuffle,1,0.4152763902763903,0.4246575342465753,0.40775048363022653,4.571264123263425,0.2553112315689198
what_when_fusion_lif,53,when_shuffle,2,0.411495448995449,0.4246575342465753,0.3992327754103116,4.597501999711337,0.2552646361414844
what_when_fusion_lif,53,when_shuffle,3,0.3972860472860473,0.410958904109589,0.3862876515339091,4.586786083979149,0.2542699531974818
what_when_fusion_lif,53,when_shuffle,4,0.44007797757797756,0.4520547945205479,0.43262427044396357,4.511436958835549,0.25467119160039764
what_when_fusion_lif,53,when_circular_shift,0,0.4462135087135087,0.4657534246575342,0.426683125968023,4.054836665114311,0.2713394114479788
what_when_fusion_lif,71,ordered,0,0.42452339327339333,0.4452054794520548,0.41410780326314045,3.851315785760749,0.17716681680748841
what_when_fusion_lif,71,when_zero,0,0.3994893994893995,0.4246575342465753,0.35888343300624004,6.127960178950062,0.14935905400927768
what_when_fusion_lif,71,when_shuffle,0,0.3991744366744367,0.4246575342465753,0.3870548806032677,4.092157102610967,0.19017405980781976
what_when_fusion_lif,71,when_shuffle,1,0.4077824952824953,0.4383561643835616,0.3886648745519714,3.9499108040169495,0.1896077959327369
what_when_fusion_lif,71,when_shuffle,2,0.3907800532800532,0.4178082191780822,0.3761294261294262,4.024301228457934,0.18988672133863485
what_when_fusion_lif,71,when_shuffle,3,0.4127178377178376,0.4383561643835616,0.39797710006723147,4.063844733042259,0.18985759919648773
what_when_fusion_lif,71,when_shuffle,4,0.436512099012099,0.4657534246575342,0.4279842763458818,4.0249910093333625,0.18976893845261764
what_when_fusion_lif,71,when_circular_shift,0,0.3890817515817515,0.410958904109589,0.3740821856881343,4.144808305452948,0.2065627070907886
