condition,fusion_mode,seed,split,fusion_firing_fraction
what_only_lif,lif,11,train,0.16221624453581657
what_only_lif,lif,11,val,0.1403239125186551
what_only_lif,lif,11,test,0.16932260603048377
what_only_lif,lif,23,train,0.18690961696283517
what_only_lif,lif,23,val,0.16427579887630586
what_only_lif,lif,23,test,0.19124899043240556
what_only_lif,lif,37,train,0.1498709322190028
what_only_lif,lif,37,val,0.1381957246949346
what_only_lif,lif,37,test,0.15656775492876077
what_only_lif,lif,53,train,0.17446093527559584
what_only_lif,lif,53,val,0.1523344910455623
what_only_lif,lif,53,test,0.1843095075381047
what_only_lif,lif,71,train,0.13579228566164772
what_only_lif,lif,71,val,0.11248326529716443
what_only_lif,lif,71,test,0.1421891826126574
when_only_lif,lif,11,train,0.2263435924598456
when_only_lif,lif,11,val,0.20576963172680185
when_only_lif,lif,11,test,0.22069406477799866
when_only_lif,lif,23,train,0.24369852467047415
when_only_lif,lif,23,val,0.2226511061364235
when_only_lif,lif,23,test,0.2323817511597084
when_only_lif,lif,37,train,0.24476519189542265
when_only_lif,lif,37,val,0.2257298799490826
when_only_lif,lif,37,test,0.23475617648277006
when_only_lif,lif,53,train,0.2063340301388447
when_only_lif,lif,53,val,0.1904347456325169
when_only_lif,lif,53,test,0.19612468418654738
when_only_lif,lif,71,train,0.177263422839868
when_only_lif,lif,71,val,0.16192882538846456
when_only_lif,lif,71,test,0.17492958913187542
what_elapsed_lif,lif,11,train,0.17978851411894753
what_elapsed_lif,lif,11,val,0.1641688065139145
what_elapsed_lif,lif,11,test,0.18430044731610337
what_elapsed_lif,lif,23,train,0.20400442473244343
what_elapsed_lif,lif,23,val,0.18777639693617768
what_elapsed_lif,lif,23,test,0.20376633428595095
what_elapsed_lif,lif,37,train,0.18251105398027032
what_elapsed_lif,lif,37,val,0.1724312231147397
what_elapsed_lif,lif,37,test,0.18642571653412857
what_elapsed_lif,lif,53,train,0.1880957477766426
what_elapsed_lif,lif,53,val,0.1711932666139935
what_elapsed_lif,lif,53,test,0.19301702804009277
what_elapsed_lif,lif,71,train,0.16166092857621384
what_elapsed_lif,lif,71,val,0.1430138102449302
what_elapsed_lif,lif,71,test,0.1626342207173625
what_resetwhen_lif,lif,11,train,0.16223116112851088
what_resetwhen_lif,lif,11,val,0.14076422724080415
what_resetwhen_lif,lif,11,test,0.16992316931742876
what_resetwhen_lif,lif,23,train,0.186901373582662
what_resetwhen_lif,lif,23,val,0.16370174370116758
what_resetwhen_lif,lif,23,test,0.19106002008780648
what_resetwhen_lif,lif,37,train,0.16751843900212707
what_resetwhen_lif,lif,37,val,0.15276177464665086
what_resetwhen_lif,lif,37,test,0.1736566279406892
what_resetwhen_lif,lif,53,train,0.17634382798499337
what_resetwhen_lif,lif,53,val,0.15309989794574663
what_resetwhen_lif,lif,53,test,0.18677582939860835
what_resetwhen_lif,lif,71,train,0.14418797209707404
what_resetwhen_lif,lif,71,val,0.11918194737073128
what_resetwhen_lif,lif,71,test,0.15052458685387674
what_when_linear,linear,11,train,
what_when_linear,linear,11,val,
what_when_linear,linear,11,test,
what_when_linear,linear,23,train,
what_when_linear,linear,23,val,
what_when_linear,linear,23,test,
what_when_linear,linear,37,train,
what_when_linear,linear,37,val,
what_when_linear,linear,37,test,
what_when_linear,linear,53,train,
what_when_linear,linear,53,val,
what_when_linear,linear,53,test,
what_when_linear,linear,71,train,
what_when_linear,linear,71,val,
what_when_linear,linear,71,test,
what_when_fusion_lif,lif,11,train,0.22362903428408729
what_when_fusion_lif,lif,11,val,0.20153040229128258
what_when_fusion_lif,lif,11,test,0.2222440098989397
what_when_fusion_lif,lif,23,train,0.25134183910596747
what_when_fusion_lif,lif,23,val,0.22893622157843913
what_when_fusion_lif,lif,23,test,0.24095272117296224
what_when_fusion_lif,lif,37,train,0.2547607483209674
what_when_fusion_lif,lif,37,val,0.23602172219295936
what_when_fusion_lif,lif,37,test,0.24858272241550697
what_when_fusion_lif,lif,53,train,0.24118586388530658
what_when_fusion_lif,lif,53,val,0.2207080974014573
what_when_fusion_lif,lif,53,test,0.23517424101225978
what_when_fusion_lif,lif,71,train,0.18034487685698494
what_when_fusion_lif,lif,71,val,0.15778492889122991
what_when_fusion_lif,lif,71,test,0.17716681680748841
