comparison,comparator,seed,delta_test_balanced_accuracy,delta_test_macro_f1,delta_test_loss
what_when_fusion_lif_minus_what_only_lif,what_only_lif,11,0.0053890553890553194,0.015018692797224176,-0.9176878733177714
what_when_fusion_lif_minus_what_only_lif,what_only_lif,23,-0.017408286158286157,-0.027385270787407934,-0.6280482370559484
what_when_fusion_lif_minus_what_only_lif,what_only_lif,37,0.008062770562770605,0.003262091540953971,-0.32252476313342804
what_when_fusion_lif_minus_what_only_lif,what_only_lif,53,0.00916305916305915,0.015273428935831668,-0.5861183388592446
what_when_fusion_lif_minus_what_only_lif,what_only_lif,71,0.028767760017760047,0.018562582325762633,-0.40914333683170634
what_when_fusion_lif_minus_when_only_lif,when_only_lif,11,0.11446608946608938,0.10727664560608785,0.2418472864856458
what_when_fusion_lif_minus_when_only_lif,when_only_lif,23,0.08513292263292255,0.08057255788692691,0.5281476157985319
what_when_fusion_lif_minus_when_only_lif,when_only_lif,37,0.14576673326673323,0.1390954194739537,-0.20670154323316625
what_when_fusion_lif_minus_when_only_lif,when_only_lif,53,0.12152777777777785,0.12845375763558675,0.8183842946405284
what_when_fusion_lif_minus_when_only_lif,when_only_lif,71,-0.0056006493506493005,-0.019709267702268107,1.4416229920844512
what_when_fusion_lif_minus_what_elapsed_lif,what_elapsed_lif,11,0.029313048063047964,0.02948930909613895,0.14027677823419404
what_when_fusion_lif_minus_what_elapsed_lif,what_elapsed_lif,23,-0.011913780663780682,-0.002483359301680421,-0.3655320781550997
what_when_fusion_lif_minus_what_elapsed_lif,what_elapsed_lif,37,-0.02380952380952389,-0.019917721371329133,0.016442765928294634
what_when_fusion_lif_minus_what_elapsed_lif,what_elapsed_lif,53,0.026697607947608004,0.030789910372109375,0.5010000026389347
what_when_fusion_lif_minus_what_elapsed_lif,what_elapsed_lif,71,-0.008617771117771067,-0.0194039875452246,0.5163752248842424
what_when_fusion_lif_minus_what_resetwhen_lif,what_resetwhen_lif,11,0.027473914973914937,0.032427851470226754,-0.745378520390759
what_when_fusion_lif_minus_what_resetwhen_lif,what_resetwhen_lif,23,-0.013169469419469393,-0.01575585365127019,-0.5260142626827711
what_when_fusion_lif_minus_what_resetwhen_lif,what_resetwhen_lif,37,-0.029982517482517512,-0.026793557731030093,-0.42398732329068123
what_when_fusion_lif_minus_what_resetwhen_lif,what_resetwhen_lif,53,0.04073565323565326,0.04502547468439172,-0.3990102271511127
what_when_fusion_lif_minus_what_resetwhen_lif,what_resetwhen_lif,71,-0.002518315018314843,-0.0101410732789044,-0.2928934293250518
what_when_fusion_lif_minus_what_when_linear,what_when_linear,11,-0.004939504939505013,-0.00022738974336694584,0.2762119900690365
what_when_fusion_lif_minus_what_when_linear,what_when_linear,23,0.02700702075702066,0.027987806724611652,0.062046018365311095
what_when_fusion_lif_minus_what_when_linear,what_when_linear,37,0.03282620157620153,0.01900299938121952,-0.7077916321689135
what_when_fusion_lif_minus_what_when_linear,what_when_linear,53,-0.021913503163503156,-0.012126551170154487,0.16113371391818987
what_when_fusion_lif_minus_what_when_linear,what_when_linear,71,-0.04864718614718605,-0.05218743168025669,-0.2570406182171543
