temporal_mode,method,test_ba_mean,test_ba_std,l2_wholecount_probe_test_ba_mean,l2_fixed250_probe_test_ba_mean,primitive_effective_k_mean
t0,r0b_analog,0.5108271358271358,0.0243318386873923,0.5862734487734488,0.5794242794242793,9.339940388997396
t0,r1_what,0.4979837292337292,0.016980778332287668,0.5862734487734488,0.5872525622525622,11.787318547566732
t0,r2_main_frozen,0.49643550893550886,0.022491223806966658,0.5862734487734488,0.5872525622525622,10.982604344685873
t0,r2_main_e2e,0.5137815887815887,0.016889055257109792,0.5849250286750286,0.579597717097717,11.091920534769693
raw,r0b_analog,0.43760151885151877,0.06261522025731031,0.5862734487734488,0.5794242794242793,8.52083953221639
raw,r1_what,0.47238640988640984,0.0580143128778413,0.5862734487734488,0.5872525622525622,10.320403416951498
raw,r2_main_frozen,0.4643213268213269,0.059199842158221154,0.5862734487734488,0.5872525622525622,5.153277158737183
raw,r2_main_e2e,0.468558756058756,0.06614772574569006,0.5697478447478447,0.5912117974617974,5.122349500656128
ema,r0b_analog,0.4736471861471862,0.0412400992339467,0.5862734487734488,0.5794242794242793,8.245664755503336
ema,r1_what,0.47016617641617636,0.02835609266193095,0.5862734487734488,0.5872525622525622,11.013305028279623
ema,r2_main_frozen,0.4672965922965923,0.016592568395145762,0.5862734487734488,0.5872525622525622,9.7943328221639
ema,r2_main_e2e,0.5189585877085877,0.011536839029935539,0.5623758186258185,0.570325739075739,9.82040532430013
