temporal_mode,source_method,seed,representation,quantile,threshold,test_ba,test_accuracy,test_macro_f1,active_fraction_test,events_per_sample_test_mean,zero_event_fraction_test
t0,r0b_analog,11,r0_direct_l2,0.0,-inf,0.5758297258297258,0.5958904109589042,0.5647219342648474,1.0,82.68493150684931,0.0
t0,r0b_analog,11,r0a_integrated_128d,0.0,-inf,0.5758297258297258,0.5958904109589042,0.5647219342648474,1.0,82.68493150684931,0.0
t0,r0b_analog,11,r0b_analog_16d,0.0,-inf,0.5043421855921856,0.5136986301369864,0.4950111700440647,1.0,82.68493150684931,0.0
t0,r0b_analog,11,r1_main_what_posthoc,0.0,-inf,0.4858606671106671,0.4863013698630137,0.4815088609458235,1.0,82.68493150684931,0.0
t0,r0b_analog,11,r2_main_activity_x_what_posthoc,0.0,-inf,0.5031267343767344,0.5136986301369864,0.4983841298524581,1.0,82.68493150684931,0.0
t0,r0b_analog,11,r1_legacy_raw_softmax_posthoc,0.0,-inf,0.5462031024531023,0.5547945205479452,0.5284374896126257,1.0,82.68493150684931,0.0
t0,r0b_analog,11,r2_legacy_rms_x_raw_softmax_posthoc,0.0,-inf,0.5338786213786213,0.547945205479452,0.5267463632046965,1.0,82.68493150684931,0.0
t0,r0b_analog,23,r0_direct_l2,0.0,-inf,0.5878697691197691,0.6027397260273972,0.5918189327859674,1.0,82.68493150684931,0.0
t0,r0b_analog,23,r0a_integrated_128d,0.0,-inf,0.5878697691197691,0.6027397260273972,0.5918189327859674,1.0,82.68493150684931,0.0
t0,r0b_analog,23,r0b_analog_16d,0.0,-inf,0.5240842490842491,0.5273972602739726,0.5121323724584593,1.0,82.68493150684931,0.0
t0,r0b_analog,23,r1_main_what_posthoc,0.0,-inf,0.5181388056388055,0.5136986301369864,0.5141990356664269,1.0,82.68493150684931,0.0
t0,r0b_analog,23,r2_main_activity_x_what_posthoc,0.0,-inf,0.5688311688311688,0.5684931506849316,0.5599785809709524,1.0,82.68493150684931,0.0
t0,r0b_analog,23,r1_legacy_raw_softmax_posthoc,0.0,-inf,0.5207792207792208,0.5205479452054794,0.520745905757768,1.0,82.68493150684931,0.0
