temporal_mode,method,seed,best_epoch,test_ba,test_accuracy,test_macro_f1,l2_wholecount_probe_test_ba,l2_fixed250_probe_test_ba,activity_mean,spread_mean,confidence_mean,entropy_mean,primitive_effective_k
t0,r0b_analog,11,63,0.496978021978022,0.5,0.48503675718846,0.5758297258297258,0.5716290653790653,0.5497538447380066,0.2950992286205292,0.4569181501865387,2.3828766345977783,10.678058624267578
t0,r0b_analog,23,63,0.4965811965811966,0.5,0.4955184876791719,0.5878697691197691,0.6055305805305805,0.5395600199699402,0.30585843324661255,0.4330197274684906,2.417342185974121,9.093881607055664
t0,r0b_analog,37,48,0.5389221889221889,0.547945205479452,0.5291949377820065,0.5951208513708514,0.5611131923631923,0.5445159673690796,0.29863956570625305,0.4363418221473694,2.387648344039917,8.247880935668945
t0,r1_what,11,57,0.487068487068487,0.4931506849315068,0.4803738192911255,0.5758297258297258,0.5716290653790653,0.5497538447380066,0.3161420226097107,0.4166313707828522,2.3827598094940186,13.04334831237793
t0,r1_what,23,88,0.48933497058497055,0.4931506849315068,0.47824403707079144,0.5878697691197691,0.6055305805305805,0.5395600199699402,0.3311932384967804,0.5116666555404663,2.354192018508911,10.494524955749512
t0,r1_what,37,69,0.5175477300477299,0.5273972602739726,0.4942695704409079,0.5951208513708514,0.5845980408480408,0.5445159673690796,0.3003973364830017,0.4462088942527771,2.3760452270507812,11.824082374572754
t0,r2_main_frozen,11,45,0.4713848651348651,0.4863013698630137,0.45646676152040727,0.5758297258297258,0.5716290653790653,0.5497538447380066,0.32916736602783203,0.46682268381118774,2.346957206726074,11.98657512664795
t0,r2_main_frozen,23,100,0.5148941336441336,0.5205479452054794,0.50932324646584,0.5878697691197691,0.6055305805305805,0.5395600199699402,0.3229697644710541,0.5589815378189087,2.3126585483551025,10.013021469116211
t0,r2_main_frozen,37,54,0.5030275280275279,0.5136986301369864,0.48841811339432545,0.5951208513708514,0.5845980408480408,0.5445159673690796,0.31375303864479065,0.49559712409973145,2.3531558513641357,10.948216438293457
t0,r2_main_e2e,11,92,0.5218496780996781,0.5342465753424658,0.5161290019451729,0.5850288600288599,0.5638431013431013,0.6000154614448547,0.2664421498775482,0.4952000379562378,2.3306915760040283,12.091070175170898
t0,r2_main_e2e,23,61,0.49437160062160057,0.5,0.4886670960249157,0.6293470418470418,0.594356338106338,0.5691248774528503,0.3153396248817444,0.5531246066093445,2.313969612121582,9.826662063598633
t0,r2_main_e2e,37,47,0.5251234876234876,0.5342465753424658,0.5033699868879155,0.5403991841491841,0.5805937118437118,0.5745877623558044,0.2880572974681854,0.5045013427734375,2.3472726345062256,11.35802936553955
raw,r0b_analog,11,18,0.36582029082029077,0.3904109589041096,0.33056453942003816,0.5758297258297258,0.5716290653790653,5.849430084228516,2.2770156860351562,0.42399224638938904,2.402149200439453,6.69236421585083
