condition,hidden_width,seed,epoch,train_objective_loss,train_phase_ce,train_progress_loss,train_phase_balanced_accuracy,train_progress_sample_balanced_mae,val_objective_loss,val_phase_ce,val_progress_loss,val_phase_balanced_accuracy,val_progress_sample_balanced_mae
rsnn_h16,16,11,1,2.5992927354297213,2.551483071404357,0.0478096483547798,0.0847148523753003,0.2660192532301359,2.4102344401180744,2.361746072769165,0.0484883673489093,0.0941029625402282,0.2676339830671038
rsnn_h16,16,11,2,2.386986630303519,2.3404479523328825,0.0465386984116444,0.1026003792591329,0.2625728548086038,2.317291706800461,2.2726101875305176,0.0446815192699432,0.1190941335836474,0.2559899224175347
rsnn_h16,16,11,3,2.299539631697479,2.256849496992442,0.0426901397511696,0.1266620572428698,0.2510105008307504,2.281153339892626,2.2395966053009038,0.0415567345917224,0.1255964305442217,0.2469084452068995
rsnn_h16,16,11,4,2.257464328854507,2.2172322096800023,0.0402320876602153,0.1468967786503582,0.2421431483992611,2.238668233156204,2.1994621753692627,0.0392060577869415,0.1355086689814557,0.2384556967114645
rsnn_h16,16,11,5,2.2142104392617994,2.1758511772254248,0.0383592525596462,0.1579636397936728,0.2347266349858137,2.2002258859574795,2.163037776947021,0.0371881090104579,0.1523881902085621,0.2318823678152901
rsnn_h16,16,11,6,2.175890882331205,2.1384039864893007,0.0374869187001824,0.1675353548001475,0.2314468915614326,2.1654883064329624,2.1294105052948,0.0360778011381626,0.159148462935364,0.2280286607288179
rsnn_h16,16,11,7,2.137901996786541,2.101101488746997,0.0368004563856042,0.1788903980213129,0.2283382579915084,2.146031592041254,2.1104001998901367,0.0356313921511173,0.1651661096477348,0.2259420515998961
rsnn_h16,16,11,8,2.1065547142094467,2.0703047081033046,0.0362499221300196,0.1960264431337265,0.2260886469724461,2.1260670088231564,2.091486930847168,0.0345800779759883,0.1813490438322676,0.2217361510746062
rsnn_h16,16,11,9,2.079801476555724,2.044166105339326,0.0356354030256324,0.2044766983253793,0.2240786183106099,2.1030388958752155,2.0687084197998047,0.0343304760754108,0.1933237373122715,0.2211257086859809
rsnn_h16,16,11,10,2.0571275532963766,2.021989023623901,0.0351385271526142,0.2135583372735395,0.2224186980991068,2.088463705033064,2.05403733253479,0.0344263724982738,0.2028053629327639,0.2217150945512075
rsnn_h16,16,11,11,2.0364860585552487,2.001866533095578,0.0346194878412913,0.22304820024744,0.2204932526343866,2.073331944644451,2.03919529914856,0.0341366454958915,0.2014833269677942,0.2201613471621558
rsnn_h16,16,11,12,2.0172508337411537,1.983265778899398,0.0339850452560258,0.2293668351504933,0.2178074923727065,2.0607357211411,2.0274219512939453,0.0333137698471546,0.2040334920367929,0.2162355241321382
rsnn_h16,16,11,13,2.0006517301122826,1.967715218842748,0.0329365089356181,0.2324398892741266,0.2130872230726757,2.046760331839323,2.0144083499908447,0.0323519818484783,0.2034074351088234,0.2112596602666945
