condition,hidden_width,seed,parameter_count,recurrent_parameter_count,effective_dimension,n_valid_timesteps,pca90_dimension,total_variance
rsnn_h16,16,11,2491,256,2.7780402207682138,12072,6,42.96852872493943
rsnn_h16,16,23,2491,256,2.9434718490154785,12072,6,46.61865475386601
rsnn_h16,16,37,2491,256,2.9138778133297816,12072,6,51.18397823920273
rsnn_h16,16,53,2491,256,2.833385453404637,12072,6,40.13036538248684
rsnn_h16,16,71,2491,256,2.657561569749437,12072,6,41.066446875106976
rsnn_h32,32,11,5483,1024,3.5283828783836833,12072,9,76.96958646338875
rsnn_h32,32,23,5483,1024,3.67078743761065,12072,9,79.42358975473863
rsnn_h32,32,37,5483,1024,3.7453924735956754,12072,10,65.38856648640855
rsnn_h32,32,53,5483,1024,3.3311564095128414,12072,10,72.48136988293645
rsnn_h32,32,71,5483,1024,2.929524522476855,12072,9,77.65872467627261
rsnn_h64,64,11,13003,4096,4.428736231250684,12072,16,104.42758196394749
rsnn_h64,64,23,13003,4096,4.734316158355801,12072,16,107.93938082907653
rsnn_h64,64,37,13003,4096,4.14185410038916,12072,15,106.14833525577251
rsnn_h64,64,53,13003,4096,4.018974984559411,12072,15,111.68233151316485
rsnn_h64,64,71,13003,4096,3.87330709486054,12072,15,106.73828360589593
rsnn_h128,128,11,34187,16384,5.018825071344784,12072,28,184.12173849382344
rsnn_h128,128,23,34187,16384,5.889786344825723,12072,29,168.4056478131857
rsnn_h128,128,37,34187,16384,5.8345288559839705,12072,31,167.36197470330416
rsnn_h128,128,53,34187,16384,6.279809897588274,12072,28,180.7130646502631
rsnn_h128,128,71,34187,16384,5.517872399270273,12072,28,177.31295502926923
rsnn_h256,256,11,101131,65536,9.161497821427169,12072,57,276.1826569318014
rsnn_h256,256,23,101131,65536,8.823559584488226,12072,59,275.8779350424498
rsnn_h256,256,37,101131,65536,9.521376393737132,12072,60,267.309252386554
rsnn_h256,256,53,101131,65536,9.592024864528522,12072,61,256.6348953840345
rsnn_h256,256,71,101131,65536,9.036461708034185,12072,60,243.59769815899
