condition,hidden_width,seed,parameter_count,recurrent_parameter_count,feature_dim,feature_type,phase_probe_C,phase_probe_test_accuracy,phase_probe_test_ba,phase_probe_test_macro_f1,phase_probe_train_accuracy,phase_probe_train_ba,phase_probe_train_macro_f1,phase_probe_val_accuracy,phase_probe_val_ba,phase_probe_val_macro_f1,progress_probe_alpha,progress_probe_test_mae,progress_probe_test_monotonic_violation_rate_mean,progress_probe_test_monotonic_violation_rate_sd,progress_probe_test_n_gestures,progress_probe_test_r2,progress_probe_test_sample_balanced_mae_mean,progress_probe_test_sample_balanced_mae_sd,progress_probe_test_spearman_mean,progress_probe_test_spearman_sd,progress_probe_train_mae,progress_probe_train_monotonic_violation_rate_mean,progress_probe_train_monotonic_violation_rate_sd,progress_probe_train_n_gestures,progress_probe_train_r2,progress_probe_train_sample_balanced_mae_mean,progress_probe_train_sample_balanced_mae_sd,progress_probe_train_spearman_mean,progress_probe_train_spearman_sd,progress_probe_val_mae,progress_probe_val_monotonic_violation_rate_mean,progress_probe_val_monotonic_violation_rate_sd,progress_probe_val_n_gestures,progress_probe_val_r2,progress_probe_val_sample_balanced_mae_mean,progress_probe_val_sample_balanced_mae_sd,progress_probe_val_spearman_mean,progress_probe_val_spearman_sd
rsnn_h16,16,11,2491,256,16,membrane,10.0,0.34335652750165674,0.33891934397864876,0.31824752595151207,0.4263151724253438,0.42306367088843755,0.40663761885128197,0.34272671407251337,0.3388025152495965,0.31896361495151343,0.01,0.13400901854038239,0.321712635300409,0.06491907641547415,146,0.6797439455986023,0.13901672175485794,0.04656950774069506,0.8909453449189424,0.10014867536678666,0.14278538525104523,0.3519682212696951,0.07787802749813726,581,0.6172341108322144,0.14064381013843977,0.05448435590277252,0.8549278331746933,0.15992220649323743,0.1488243192434311,0.321801172033833,0.07507850978672828,126,0.5838042497634888,0.14940937232994844,0.05727220681304519,0.8576395863931725,0.13941847420776446
rsnn_h16,16,11,2491,256,16,synaptic,1.0,0.34559310801855536,0.34116662685893445,0.32104904549368374,0.41943155743882626,0.4161587199054152,0.3992814327052384,0.33842507242559916,0.33468493874384503,0.31445560952817453,0.01,0.13610924780368805,0.35535023428030055,0.058412750931229655,146,0.6756778359413147,0.14058098778741002,0.04465756701877655,0.8850523206393014,0.09717152526183831,0.14573028683662415,0.38500031753294756,0.07250998551851123,581,0.6088343858718872,0.14331133670066187,0.052278068914389,0.8471465651109252,0.15853496155958455,0.15132984519004822,0.36056992466042603,0.07387081898699879,126,0.5742461681365967,0.1515532530666817,0.05753103393336912,0.8493904289298899,0.14631168716341822
rsnn_h16,16,11,2491,256,16,spike,0.1,0.31353545394300864,0.30826174661209815,0.27364297835793805,0.3529569397223106,0.3492888579853152,0.31886220956679,0.30629444298130104,0.30185021693626896,0.26353404847285405,0.01,0.13731278479099274,0.18408914964210482,0.06160746118545499,146,0.6675129532814026,0.14156898524459094,0.04170657708749243,0.8708830526888586,0.09786406703658039,0.14401818811893463,0.18938903662696085,0.06410278706358381,581,0.6075636148452759,0.14125195343092264,0.04989579525170844,0.830540886997156,0.15546634050469432,0.14559097588062286,0.17608036214915043,0.06463894365211686,126,0.5928796529769897,0.14681887573429517,0.055929229105660554,0.8261285613453188,0.16409236036994643
rsnn_h16,16,11,2491,256,16,spike250,1.0,0.31925115970841617,0.31434086141085293,0.28628124103662106,0.3797712161053143,0.3760029433922474,0.35230150879515226,0.32227196909841105,0.317540390437855,0.2884862616524111,10.0,0.12405232340097427,0.14780978238620993,0.08414017976099793,146,0.7045244574546814,0.13281696366324816,0.057325069502073896,0.9348064617039715,0.07335025236405758,0.12552252411842346,0.17607026997591785,0.0889643911529425,581,0.6788946390151978,0.12398810232644852,0.059330056367320326,0.9001645624642456,0.16668547248624205,0.1290060579776764,0.15749523072736896,0.08446005904094825,126,0.6555703282356262,0.13259764178286468,0.0645279722539554,0.8943270541813927,0.16793687060538376
rsnn_h16,16,11,2491,256,16,spike500,10.0,0.32032803180914515,0.3153544496562098,0.28737798800651954,0.38307066173145526,0.379460508524059,0.3571956902540284,0.31963831094723905,0.31497849414502355,0.2863304911448775,10.0,0.11797560006380081,0.06042249894994041,0.054250115860638395,146,0.7235622406005859,0.1295895693338897,0.06666108807153495,0.9708230851490568,0.04840132038185989,0.11618830263614655,0.09762193253353735,0.08210001550928128,581,0.7143453359603882,0.11625293664082807,0.06429250700875151,0.9374717797222565,0.17249621536416596,0.12290451675653458,0.0860824013898871,0.07535154389875777,126,0.6863566637039185,0.12954257118205229,0.06917960169118689,0.9289162784039889,0.16886961218299135
rsnn_h16,16,23,2491,256,16,membrane,10.0,0.3576043737574553,0.35308992585517307,0.3347278060916478,0.42598020332624315,0.42277051023515544,0.40928093125274,0.3507154771310684,0.3463275349729743,0.3249054235005938,0.01,0.1276485025882721,0.3279183568210257,0.06509499959954221,146,0.7009682655334473,0.1325056409743959,0.04765561141111324,0.9067135357196159,0.07502171156563404,0.13463781774044037,0.3628543648925632,0.06980290049351616,581,0.6564769744873047,0.13224621360765676,0.05041724977996145,0.864460775964262,0.15046268049853959,0.13774137198925018,0.33618727744728516,0.07526384126543352,126,0.6357911229133606,0.13875357516937786,0.050921665264080415,0.8663651627424199,0.13643157255867785
rsnn_h16,16,23,2491,256,16,synaptic,10.0,0.3543737574552684,0.34982601864254653,0.3307444204787334,0.41395481266853135,0.4106779468367976,0.39572648336265076,0.3391273812659117,0.3347318457490534,0.3113631996834013,0.01,0.12814544141292572,0.3705358283858831,0.06027929416422839,146,0.7014808058738708,0.1325636814310126,0.044952455292201675,0.9010084637122289,0.07013474487185721,0.13675905764102936,0.3960645498253433,0.06624110804115795,581,0.6461935043334961,0.13410238500383143,0.049435827484612734,0.8567495719986687,0.15051702788865984,0.13971279561519623,0.37016182630276107,0.0689279571055534,126,0.6285053491592407,0.1400183882741701,0.04943996209531894,0.856077768094645,0.14437205220483215
rsnn_h16,16,23,2491,256,16,spike,0.1,0.30160702451954935,0.2956721396488563,0.2563645458009643,0.3447501967943457,0.34058831128107625,0.31106120316650887,0.30357299622509,0.2981897920964354,0.25694186087209714,0.01,0.13442113995552063,0.18183158987373188,0.052808050620510735,146,0.6627460718154907,0.1399928490082695,0.04249083995864439,0.8758387582492941,0.09077172498464041,0.1396685689687729,0.19896928641565054,0.056320292842969785,581,0.6310955286026001,0.13774467773876584,0.04674449596621899,0.8489539916989484,0.1484687777325133,0.1408364325761795,0.19063423309679864,0.054529350815888895,126,0.616708517074585,0.14205513155413052,0.04864535329028628,0.8277858582436063,0.1611072012006284
rsnn_h16,16,23,2491,256,16,spike250,1.0,0.3127070907886017,0.3075201724061326,0.28061125091783806,0.3699733699566215,0.3666109448690124,0.34772715618679084,0.3143709946448951,0.3090823900447741,0.27669552292697863,10.0,0.12122872471809387,0.13941043310129506,0.07142437970293819,146,0.7098138332366943,0.13050064151111532,0.057304099819890125,0.9404607635991157,0.06755376960996878,0.1200033649802208,0.1768984412401465,0.0825634632853671,581,0.71510910987854,0.11972743443978018,0.05416356510661786,0.9181865951432345,0.1258618341729721,0.1214163675904274,0.16045434801682523,0.08166041363725635,126,0.6978996396064758,0.12523429137137201,0.05865442901537063,0.9128615044306335,0.15831370025167218
rsnn_h16,16,23,2491,256,16,spike500,0.1,0.32032803180914515,0.3153533963327772,0.28947257353692823,0.3761870467449378,0.3728075851952598,0.35350887867898406,0.3324554472829427,0.32735998521130166,0.2953570013320649,10.0,0.11592452228069305,0.06228097092479798,0.0534441217435598,146,0.7327231168746948,0.12812509165745076,0.06650402348734151,0.9731477121307021,0.039922518650788046,0.10998499393463135,0.0961893750638074,0.07505576416473152,581,0.7534831166267395,0.11147026788193265,0.059211192272027806,0.9566690192766432,0.09671299225651658,0.11366967856884003,0.07423312408948707,0.0707227845453329,126,0.725948691368103,0.1207113413820191,0.06889354321259317,0.9505243130437406,0.17544979350346993
