condition,hidden_width,seed,parameter_count,recurrent_parameter_count,dead_fr_threshold,dead_neuron_fraction,highly_active_fr_threshold,highly_active_neuron_fraction,mean_firing_rate,mean_firing_rate_hz,median_neuron_firing_rate,n_neurons,n_valid_timesteps
rsnn_h16,16,11,2491,256,0.0001,0.0,0.1,0.875,0.4367544731610338,27.95228628230616,0.3567760106030484,16,12072
rsnn_h16,16,23,2491,256,0.0001,0.0,0.1,0.75,0.39890863154406886,25.530152418820407,0.38535453943008613,16,12072
rsnn_h16,16,37,2491,256,0.0001,0.0,0.1,0.75,0.42162131378396284,26.98376408217362,0.49188204108681244,16,12072
rsnn_h16,16,53,2491,256,0.0001,0.0,0.1,0.8125,0.37431660039761433,23.956262425447317,0.42975480450629555,16,12072
rsnn_h16,16,71,2491,256,0.0001,0.0,0.1,0.75,0.334493041749503,21.407554671968192,0.27066766070245196,16,12072
rsnn_h32,32,11,5483,1024,0.0001,0.0,0.1,0.78125,0.33353524685222,21.34625579854208,0.29435884691848907,32,12072
rsnn_h32,32,23,5483,1024,0.0001,0.0,0.1,0.8125,0.3386141484426773,21.671305500331346,0.25571570576540753,32,12072
rsnn_h32,32,37,5483,1024,0.0001,0.0,0.1,0.65625,0.22971545725646123,14.701789264413518,0.15038933068257124,32,12072
rsnn_h32,32,53,5483,1024,0.0001,0.0,0.1,0.625,0.2854798293571902,18.270709078860172,0.2011679920477137,32,12072
rsnn_h32,32,71,5483,1024,0.0001,0.0,0.1,0.78125,0.346460300695825,22.1734592445328,0.3225231941683234,32,12072
rsnn_h64,64,11,13003,4096,0.0001,0.0,0.1,0.890625,0.32108520750497016,20.54945328031809,0.2628396288933068,64,12072
rsnn_h64,64,23,13003,4096,0.0001,0.0,0.1,0.875,0.3987106009774685,25.517478462557985,0.39993373094764745,64,12072
rsnn_h64,64,37,13003,4096,0.0001,0.0,0.1,0.765625,0.32539787317760105,20.825463883366467,0.3117544731610338,64,12072
rsnn_h64,64,53,13003,4096,0.0001,0.0,0.1,0.703125,0.35856864024188206,22.948392975480452,0.35118455931080184,64,12072
rsnn_h64,64,71,13003,4096,0.0001,0.0,0.1,0.765625,0.34840307115639496,22.297796554009278,0.3550364479787939,64,12072
rsnn_h128,128,11,34187,16384,0.0001,0.0,0.1,0.84375,0.2891382175695825,18.50484592445328,0.2614314115308151,128,12072
rsnn_h128,128,23,34187,16384,0.0001,0.0,0.1,0.8359375,0.29487269093770707,18.871852220013253,0.2485089463220676,128,12072
rsnn_h128,128,37,34187,16384,0.0001,0.0,0.1,0.8203125,0.2909871500165673,18.623177601060306,0.2765490390987409,128,12072
rsnn_h128,128,53,34187,16384,0.0001,0.0,0.1,0.8515625,0.29135150037276347,18.646496023856862,0.268513916500994,128,12072
rsnn_h128,128,71,34187,16384,0.0001,0.0,0.1,0.90625,0.2902649208913187,18.5769549370444,0.2539347249834327,128,12072
rsnn_h256,256,11,101131,65536,0.0001,0.0,0.1,0.8671875,0.25948314022117297,16.60692097415507,0.24958581842279656,256,12072
rsnn_h256,256,23,101131,65536,0.0001,0.0,0.1,0.9140625,0.27918815233598415,17.868041749502986,0.26408217362491715,256,12072
rsnn_h256,256,37,101131,65536,0.0001,0.0,0.1,0.890625,0.2880409599693506,18.434621438038437,0.2695079522862823,256,12072
rsnn_h256,256,53,101131,65536,0.0001,0.0,0.1,0.90234375,0.26221414999585824,16.781705599734927,0.24391153081510936,256,12072
rsnn_h256,256,71,101131,65536,0.0001,0.0,0.1,0.828125,0.2608444385768721,16.694044068919816,0.24068091451292245,256,12072
