condition,hidden_width,seed,parameter_count,recurrent_parameter_count,ablation,replicate,native_test_phase_ba,native_test_progress_mae,probe_test_phase_ba,probe_test_progress_mae,probe_test_sample_balanced_mae_mean,probe_test_sample_balanced_mae_sd,probe_test_spearman_mean,probe_test_spearman_sd,probe_test_monotonic_violation_rate_mean,probe_test_monotonic_violation_rate_sd
rsnn_h16,16,11,2491,256,ordered,0,0.3499904847343098,0.1652636462694978,0.33891934397864876,0.13400901854038239,0.13901672175485794,0.04656950774069506,0.8909453449189424,0.10014867536678666,0.321712635300409,0.06491907641547415
rsnn_h16,16,11,2491,256,state_reset,0,0.24557497358364846,0.23288646789446268,0.2997402988405021,0.15877217054367065,0.1609429225121459,0.03214124471610847,0.8246671104158757,0.08976105981120217,0.40357075949398324,0.051490598482387635
rsnn_h16,16,11,2491,256,temporal_shuffle,0,0.10981555998426555,0.270750395239216,0.16638142078336138,0.23881091177463531,0.2373045636978868,0.01582318051084497,0.30137950182608936,0.23238037384915738,0.4786963698798618,0.03970938436274975
rsnn_h16,16,11,2491,256,temporal_shuffle,1,0.10872064708911125,0.26707500627596087,0.1652467158556723,0.23754672706127167,0.23630368474819888,0.016209251462116925,0.30333955112113115,0.21122633521505862,0.48022555633461456,0.042627939663330824
rsnn_h16,16,11,2491,256,temporal_shuffle,2,0.10568964085217536,0.26391495090641387,0.1701034489500846,0.2362881898880005,0.23453431821440998,0.015398439239786439,0.32229605597613253,0.2171301735289303,0.4823437490794162,0.04051228939644036
rsnn_h16,16,11,2491,256,temporal_shuffle,3,0.10982655816801705,0.2643702650723392,0.17595733430601115,0.23608800768852234,0.23443281099404376,0.014707647976483034,0.34798278001482014,0.22763584439823467,0.48654989467909954,0.03999555691067672
rsnn_h16,16,11,2491,256,temporal_shuffle,4,0.11380508767378499,0.26728749928409107,0.1685866498993035,0.23807626962661743,0.23752944824630268,0.01569232108170346,0.28567838472558715,0.21076848140055757,0.48061072827435825,0.04094135648730896
rsnn_h16,16,23,2491,256,ordered,0,0.36453158474010133,0.17098480054776963,0.35308992585517307,0.1276485025882721,0.1325056409743959,0.04765561141111324,0.9067135357196159,0.07502171156563404,0.3279183568210257,0.06509499959954221
rsnn_h16,16,23,2491,256,state_reset,0,0.24839026991225702,0.22967097204025477,0.30790920483495227,0.14727407693862915,0.14994226998254045,0.03690270873897156,0.8595465147797228,0.075162942472945,0.3985852586937503,0.05641666164586125
rsnn_h16,16,23,2491,256,temporal_shuffle,0,0.10956902186280934,0.27049889629834317,0.1644077874178942,0.23781515657901764,0.23690396588142604,0.012183301879995204,0.30010687453886814,0.22685451142627122,0.4534798500862935,0.0372845905495766
rsnn_h16,16,23,2491,256,temporal_shuffle,1,0.09904813302843576,0.2722412266143381,0.17732630870213545,0.23807261884212494,0.2370070526248788,0.014899602068894822,0.2700805020430857,0.24398089396662956,0.4595240679832768,0.04614765065817344
rsnn_h16,16,23,2491,256,temporal_shuffle,2,0.11041019289509994,0.2700625772345556,0.17088176533388572,0.23759153485298157,0.23647388091234312,0.013615436241764181,0.2809007866162838,0.25606403049448284,0.45794189403843094,0.04205594992530042
rsnn_h16,16,23,2491,256,temporal_shuffle,3,0.10674015696914085,0.2688181759559945,0.1651331452765118,0.2397315800189972,0.23875422653270095,0.01369463240277563,0.2727708657131765,0.25672803295156904,0.4604028927273265,0.040598412585172765
rsnn_h16,16,23,2491,256,temporal_shuffle,4,0.09876862287172145,0.2693559894823048,0.16937410130166414,0.2393834888935089,0.23820364220093374,0.013649553841751025,0.2775386663605024,0.2516570866795797,0.4585760414370841,0.0433140863724787
