condition,hidden_width,seed,parameter_count,recurrent_parameter_count,ordered_phase_ba,reset_phase_ba,shuffle_phase_ba,H_reset_phase_ba,H_shuffle_phase_ba,ordered_progress_mae,reset_progress_mae,shuffle_progress_mae,H_reset_progress_mae,H_shuffle_progress_mae,ordered_spearman,reset_spearman,shuffle_spearman,H_reset_spearman,H_shuffle_spearman,ordered_monotonic_violation,reset_monotonic_violation,shuffle_monotonic_violation
rsnn_h16,16,11,2491,256,0.33891934397864876,0.2997402988405021,0.16925511395888657,0.039179045138146684,0.1696642300197622,0.13901672175485794,0.1609429225121459,0.23602096518016843,0.02192620075728796,0.0970042434253105,0.8909453449189424,0.8246671104158757,0.3121352547327521,0.06627823450306669,0.5788100901861903,0.321712635300409,0.40357075949398324,0.48168525964947007
rsnn_h16,16,23,2491,256,0.35308992585517307,0.30790920483495227,0.16942462160641827,0.045180721020220804,0.1836653042487548,0.1325056409743959,0.14994226998254045,0.23746855363045652,0.01743662900814455,0.10496291265606061,0.9067135357196159,0.8595465147797228,0.2802795390543833,0.04716702093989311,0.6264339966652326,0.3279183568210257,0.3985852586937503,0.4579849492544824
rsnn_h16,16,37,2491,256,0.34635936967966724,0.3064489094497083,0.17172699554798912,0.03991046022995892,0.17463237413167812,0.13749677894560441,0.15360714148168694,0.23012611259744592,0.01611036253608253,0.0926293336518415,0.8960207078257164,0.8292248424912861,0.3314254247994702,0.06679586533443027,0.5645952830262462,0.32360722045743945,0.40470088445124364,0.4533373759998166
rsnn_h16,16,53,2491,256,0.3429819043179715,0.29525497547949336,0.16078354942921427,0.04772692883847812,0.1821983548887572,0.14102807651235633,0.16403341640348304,0.23935894594617083,0.023005339891126714,0.0983308694338145,0.8714895881334145,0.800892100160883,0.28036509486461475,0.07059748797253151,0.5911244932687998,0.3389911054173688,0.4035419636205294,0.45080972926115503
rsnn_h16,16,71,2491,256,0.3430755822776133,0.2948841846249761,0.1738310615946032,0.04819139765263719,0.1692445206830101,0.13291587736712743,0.16163051261069022,0.23583963807315045,0.028714635243562797,0.10292376070602302,0.9046456392989217,0.806608980109182,0.3448231460962985,0.0980366591897397,0.5598224932026232,0.3271161361679072,0.4069513978053369,0.44118797806190446
rsnn_h32,32,11,5483,1024,0.3471348162433671,0.3034086387060041,0.18437243246277407,0.04372617753736302,0.16276238378059305,0.1369799166815738,0.16431269600783308,0.22251615348744064,0.02733277932625927,0.08553623680586683,0.9069697823965035,0.819291195371672,0.4128159575691351,0.08767858702483144,0.4941538248273684,0.3279871855935325,0.4065019063001692,0.4403018309643033
rsnn_h32,32,23,5483,1024,0.35395356164855485,0.307171158258439,0.19422853549194502,0.046782403390115856,0.15972502615660983,0.12896698897015557,0.14797842344396736,0.22332579430243743,0.01901143447381179,0.09435880533228186,0.9243097150996262,0.861450069125736,0.3954805128941997,0.06285964597389027,0.5288292022054265,0.30457263581301297,0.40004088982155434,0.4477506358522404
rsnn_h32,32,37,5483,1024,0.3495644990690486,0.30485690750958816,0.17955119408664655,0.04470759155946041,0.17001330498240202,0.1420146617783259,0.16194595304662235,0.23166964272521945,0.019931291268296458,0.08965498094689356,0.8908873903095954,0.7996803253364553,0.3597262180084644,0.09120706497314013,0.531161172301131,0.3370337966931633,0.4035359440092641,0.4500550923610397
rsnn_h32,32,53,5483,1024,0.350732718946582,0.30397881163818175,0.21162321884911472,0.04675390730840023,0.13910950009746725,0.13229251224292468,0.1640478269490477,0.20878337895217008,0.03175531470612303,0.0764908667092454,0.9161965760531187,0.7922979947843793,0.4935853805293637,0.12389858126873932,0.422611195523755,0.3079541401598071,0.4061591076890571,0.4440169687098341
rsnn_h32,32,71,5483,1024,0.35774470759730825,0.30340447890756417,0.20626535323540013,0.054340228689744086,0.15147935436190813,0.12686106315112278,0.15906942865415796,0.204001028335666,0.032208365503035186,0.07713996518454322,0.9223026598067064,0.8082205523965644,0.5231062013511265,0.11408210741014202,0.39919645845557994,0.314101278506083,0.4005007530570575,0.4359012437344501
rsnn_h64,64,11,13003,4096,0.33742313676269503,0.3053122575236708,0.2220028201599013,0.032110879239024226,0.11542031660279373,0.13505602793844595,0.15481055849423148,0.20357020918841232,0.01975453055578552,0.06851418124996636,0.9286458725642343,0.8497518097001757,0.5857521294308379,0.07889406286405853,0.3428937431333964,0.3070297817314265,0.400902284322285,0.4539233212560777
