epoch,warmup_scale,kappa,train_task_loss,train_base_regularizer,train_p2,train_a1,train_tail,train_total_loss,val_balanced_accuracy,val_whole_count_loss,val_objective_loss
1,0.1,1.547584222479258,2.492542519626847,0.0001884446112050718,0.0,0.0018844461090952516,0.0,2.4925717429326855,0.08333333333333333,2.4849069118499756,2.4849066734313965
2,0.2,1.547584222479258,2.485269130815122,0.0001842165971685781,0.0,0.0018421659164335868,0.0,2.4853261218834253,0.08333333333333333,2.4849069118499756,2.4849066734313965
3,0.3,1.547584222479258,2.4847490955753293,0.00018524737143909106,0.0,0.0018524736532277834,0.0,2.484835149499102,0.08333333333333333,2.4849069118499756,2.4849066734313965
4,0.4,1.547584222479258,2.483954149761627,0.00018165137410595077,0.0,0.0018165137277348625,0.0,2.4840666775859366,0.08333333333333333,2.4849069118499756,2.4849066734313965
5,0.5,1.547584222479258,2.4832731770566325,0.0001711805857815772,0.0,0.0017118058311664812,0.0,2.4834056651530703,0.08333333333333333,2.4849069118499756,2.4849066734313965
6,0.6,1.547584222479258,2.482612475265529,0.00016071082292891647,0.0,0.001607108193773475,0.0,2.482761686311942,0.08333333333333333,2.4849069118499756,2.4849066734313965
7,0.7,1.547584222479258,2.4816486375877655,0.0001497501313041979,0.0,0.0014975012777767524,0.0,2.481810836086175,0.08333333333333333,2.4849069118499756,2.4849066734313965
8,0.8,1.547584222479258,2.480381336967219,0.0001341063213569117,0.0,0.0013410632034504013,0.0,2.4805474273103854,0.08333333333333333,2.4849069118499756,2.4849066734313965
9,0.9,1.547584222479258,2.4785191631152994,0.00012860325348031308,0.0,0.0012860324765954698,0.0,2.478698331599802,0.08333333333333333,2.4849374294281006,2.485133647918701
10,1.0,1.547584222479258,2.4758357693939734,0.00012648221038563637,0.0,0.001264822114701423,0.0,2.476031504071313,0.08333333333333333,2.4849069118499756,2.4849066734313965
11,1.0,1.547584222479258,2.4738448326846205,0.00012050239242438592,0.0,0.00120502393275961,0.0,2.4740313511091747,0.08333333333333333,2.4849374294281006,2.485133647918701
12,1.0,1.547584222479258,2.471802271992327,0.00012193497464780314,0.0,0.0012193497278560883,0.0,2.47199101169015,0.08333333333333333,2.4849069118499756,2.4849066734313965
