epoch,warmup_scale,kappa,train_task_loss,train_base_regularizer,train_p2,train_a1,train_tail,train_total_loss,val_balanced_accuracy,val_whole_count_loss,val_objective_loss
1,0.1,0.8296807600237375,2.4897451470517864,0.00027788917047353126,0.0,0.002111558843702206,0.0006673328102391579,2.489768189120005,0.08333333333333333,2.4850502014160156,2.4850502014160156
2,0.2,0.8296807600237375,2.481116566518498,0.00024194574464840267,0.0,0.0018223870281937969,0.0005970703835259295,2.481156682803996,0.08333333333333333,2.485222578048706,2.485222578048706
3,0.3,0.8296807600237375,2.4776338324489364,0.00024620239895795716,0.0,0.0018225448837635235,0.0006394790416974543,2.4776951101273554,0.08333333333333333,2.4854347705841064,2.4854347705841064
4,0.4,0.8296807600237375,2.4723330192434605,0.0002588812256209463,0.0,0.0019066782478682324,0.0006821339688682207,2.4724189098443508,0.08333333333333333,2.4854347705841064,2.4854347705841064
5,0.5,0.8296807600237375,2.4689201356621906,0.0002777239614027663,0.0,0.002036245791049171,0.0007409938160657062,2.4690353657005164,0.08333333333333333,2.486239433288574,2.486239433288574
6,0.6,0.8296807600237375,2.4653801093208196,0.0003043304133571992,0.0,0.0022276641397052503,0.0008156399420709405,2.465531583907477,0.08333333333333333,2.487166404724121,2.487166404724121
7,0.7,0.8296807600237375,2.461390043495034,0.00030884854239050986,0.0,0.0022691759728087615,0.0008193094289052924,2.4615693830992393,0.08333333333333333,2.4865355491638184,2.4865355491638184
8,0.8,0.8296807600237375,2.457052444632,0.0003115354449866522,0.0,0.002299689883550568,0.0008156645502863058,2.457259213042136,0.08333333333333333,2.4863412380218506,2.4863412380218506
9,0.9,0.8296807600237375,2.452017540775765,0.0003363027003122471,0.0,0.00249581691198269,0.0008672100467576922,2.452268672687051,0.08333333333333333,2.4863669872283936,2.4863669872283936
10,1.0,0.8296807600237375,2.4413511568420727,0.00038020503328529644,0.0,0.002858938094871295,0.0009431121087426291,2.441666583801506,0.08333333333333333,2.4873814582824707,2.4873814582824707
11,1.0,0.8296807600237375,2.4340851290500924,0.00047379199526851386,0.0,0.003639949783009578,0.0010979702071448637,2.434478218502104,0.08333333333333333,2.4880855083465576,2.4880855083465576
12,1.0,0.8296807600237375,2.426602581076696,0.0005630222096095076,0.0,0.004348407130008771,0.0012818148644984076,2.4270696906748,0.09027777777777778,2.486513376235962,2.486513376235962
13,1.0,0.8296807600237375,2.41560964740287,0.000555004464484841,0.0,0.004294605932892549,0.0012554387178667942,2.4160701198545054,0.08333333333333333,2.4833076000213623,2.4833076000213623
