epoch,warmup_scale,kappa,train_task_loss,train_base_regularizer,train_p2,train_a1,train_tail,train_total_loss,val_balanced_accuracy,val_whole_count_loss,val_objective_loss
1,0.1,1.4322681225066136,2.5140338994549802,0.00132115164843008,0.0,0.0,0.013211516148880406,2.5142231463565268,0.08333333333333333,2.4912261962890625,2.4912261962890625
2,0.2,1.4322681225066136,2.4731208962130258,0.0013999680566910827,0.0,0.0,0.013999680515615953,2.4735219043626637,0.08333333333333333,2.4850735664367676,2.4850735664367676
3,0.3,1.4322681225066136,2.4606144555464464,0.0013774370797869722,0.0,0.0,0.013774370434798185,2.4612063360296306,0.08333333333333333,2.4842374324798584,2.4842374324798584
4,0.4,1.4322681225066136,2.4547598390694123,0.0014991415315908788,0.0,0.0,0.014991414901542377,2.4556187286639584,0.08333333333333333,2.486905097961426,2.486905097961426
5,0.5,1.4322681225066136,2.440136435520218,0.0015879402956212013,0.0,0.0,0.01587940287325858,2.4412736039153473,0.09027777777777778,2.4877049922943115,2.4877049922943115
6,0.6,1.4322681225066136,2.427454923803753,0.0015223423909097782,0.0,0.0,0.015223423419792763,2.428763148706669,0.09027777777777778,2.4713447093963623,2.4713447093963623
7,0.7,1.4322681225066136,2.417364744229079,0.001527463209377714,0.0,0.0,0.015274631939892515,2.418896148619266,0.1111111111111111,2.4541707038879395,2.4541707038879395
8,0.8,1.4322681225066136,2.393233158091875,0.0016572208371391703,0.0,0.0,0.016572208158197377,2.395132015576256,0.10416666666666667,2.451735496520996,2.451735496520996
9,0.9,1.4322681225066136,2.382469992219068,0.0015600668114133937,0.0,0.0,0.01560066785765956,2.3844810127186076,0.1111111111111111,2.450899600982666,2.450899600982666
10,1.0,1.4322681225066136,2.3691331663148127,0.0014392998301553926,0.0,0.0,0.014392998072730695,2.371194649070963,0.1111111111111111,2.4522478580474854,2.4522478580474854
11,1.0,1.4322681225066136,2.3525271575750457,0.0015140099496229612,0.0,0.0,0.015140099263398968,2.3546956713966987,0.0853174603174603,2.4514105319976807,2.4514105319976807
12,1.0,1.4322681225066136,2.3385463462639184,0.0015874148840196878,0.0,0.0,0.015874148429837878,2.3408199398940277,0.10615079365079365,2.4466400146484375,2.4466400146484375
13,1.0,1.4322681225066136,2.3255124239831293,0.0015716089281171766,0.0,0.0,0.015716088866805353,2.327763375234686,0.09722222222222222,2.4574620723724365,2.4574620723724365
14,1.0,1.4322681225066136,2.3093129082513966,0.001595417214533484,0.0,0.0,0.015954171703317286,2.3115979783916636,0.10416666666666667,2.4548490047454834,2.4548490047454834
15,1.0,1.4322681225066136,2.3002517211047384,0.0014840383401217513,0.0,0.0,0.014840383172394282,2.30237726336297,0.0992063492063492,2.445493698120117,2.445493698120117
16,1.0,1.4322681225066136,2.286247336720846,0.0014756238737212504,0.0,0.0,0.014756238378148379,2.28836079062365,0.1130952380952381,2.4396276473999023,2.4396276473999023
17,1.0,1.4322681225066136,2.2716620838375388,0.0015239660820896496,0.0,0.0,0.015239660741950477,2.2738447763833656,0.1130952380952381,2.4433910846710205,2.4433910846710205
18,1.0,1.4322681225066136,2.256575343530888,0.0015118986243148063,0.0,0.0,0.015118986037968563,2.2587408219270166,0.1111111111111111,2.4485342502593994,2.4485342502593994
19,1.0,1.4322681225066136,2.235924149954791,0.0015503093756562205,0.0,0.0,0.015503093444785543,2.2381446324609438,0.1130952380952381,2.44355845451355,2.44355845451355
20,1.0,1.4322681225066136,2.2303498435553912,0.001569072257890887,0.0,0.0,0.015690722523606582,2.2325971836477465,0.12003968253968254,2.4361507892608643,2.4361507892608643
21,1.0,1.4322681225066136,2.2130778028714677,0.0015461620668922318,0.0,0.0,0.015461620398622372,2.2152922789529352,0.1130952380952381,2.4320249557495117,2.4320249557495117
22,1.0,1.4322681225066136,2.1964450555496087,0.0015438503740842673,0.0,0.0,0.015438503504004619,2.1986562577869724,0.12003968253968254,2.4283246994018555,2.4283246994018555
23,1.0,1.4322681225066136,2.1855321160281997,0.001592484870869442,0.0,0.0,0.015924848838935312,2.1878129881958954,0.10615079365079365,2.4284377098083496,2.4284377098083496
24,1.0,1.4322681225066136,2.1743408977062075,0.0016374547782285129,0.0,0.0,0.01637454747050847,2.1766861211412336,0.1130952380952381,2.43056058883667,2.43056058883667
25,1.0,1.4322681225066136,2.1647071469055805,0.0016410783718287202,0.0,0.0,0.01641078343015427,2.1670576196529368,0.1130952380952381,2.437347412109375,2.437347412109375
26,1.0,1.4322681225066136,2.1534859026155457,0.0016132131250568772,0.0,0.0,0.016132130911140966,2.155796440456082,0.12003968253968254,2.4413063526153564,2.4413063526153564
27,1.0,1.4322681225066136,2.1457393555140536,0.0015636673922491823,0.0,0.0,0.015636673662010034,2.147978929562331,0.12003968253968254,2.4378368854522705,2.4378368854522705
28,1.0,1.4322681225066136,2.1322006522685855,0.0015689228806025934,0.0,0.0,0.015689228624490164,2.1344477880021584,0.10813492063492064,2.430786371231079,2.430786371231079
29,1.0,1.4322681225066136,2.120863598923675,0.001628291701798595,0.0,0.0,0.01628291701798595,2.1231956908706953,0.12003968253968254,2.428203582763672,2.428203582763672
30,1.0,1.4322681225066136,2.114971690662141,0.0015572116452969751,0.0,0.0,0.015572116346372589,2.117202006601015,0.12698412698412698,2.4211478233337402,2.4211478233337402
31,1.0,1.4322681225066136,2.1139250400759884,0.0015887349490124392,0.0,0.0,0.015887349411178375,2.1162005344889865,0.12698412698412698,2.413323402404785,2.413323402404785
32,1.0,1.4322681225066136,2.1022533393767944,0.0016993667999292098,0.0,0.0,0.016993667794112596,2.104687327156789,0.14087301587301587,2.412517547607422,2.412517547607422
33,1.0,1.4322681225066136,2.1000977793577,0.0018228592251695167,0.0,0.0,0.01822859199522079,2.102708592472306,0.14781746031746032,2.3815853595733643,2.3815853595733643
34,1.0,1.4322681225066136,2.077277812407883,0.0017437801418646451,0.0,0.0,0.017437801233103272,2.0797753336097204,0.14781746031746032,2.381251573562622,2.381251573562622
35,1.0,1.4322681225066136,2.0667478004133844,0.0017034435011975455,0.0,0.0,0.017034434317490934,2.0691875877971286,0.14781746031746032,2.3876192569732666,2.3876192569732666
36,1.0,1.4322681225066136,2.056633604988584,0.001738539373737771,0.0,0.0,0.017385393401957317,2.0591236794056456,0.14781746031746032,2.386387586593628,2.386387586593628
37,1.0,1.4322681225066136,2.050670797771513,0.001789479086451271,0.0,0.0,0.017894790288246847,2.0532337753374685,0.14781746031746032,2.383195638656616,2.383195638656616
38,1.0,1.4322681225066136,2.0372626879949784,0.0016809011422411863,0.0,0.0,0.01680901126451983,2.039670181356486,0.1630952380952381,2.3838260173797607,2.3838260173797607
39,1.0,1.4322681225066136,2.032144393855241,0.0016126745408913841,0.0,0.0,0.016126744974911112,2.034454161451934,0.15615079365079368,2.3883793354034424,2.3883793354034424
40,1.0,1.4322681225066136,2.02461502166295,0.0016388191497706762,0.0,0.0,0.016388191237224976,2.026962218514408,0.14087301587301587,2.387223958969116,2.387223958969116
41,1.0,1.4322681225066136,2.008539772690266,0.0016599873344537365,0.0,0.0,0.0165998730327607,2.010917343904558,0.14781746031746032,2.3824961185455322,2.3824961185455322
42,1.0,1.4322681225066136,2.0026608974305775,0.0016472993114812495,0.0,0.0,0.01647299244397171,2.0050202692232117,0.14781746031746032,2.3779890537261963,2.3779890537261963
43,1.0,1.4322681225066136,1.995952776089798,0.0016448085373443858,0.0,0.0,0.016448085053652372,1.9983086007392346,0.14781746031746032,2.3843350410461426,2.3843350410461426
44,1.0,1.4322681225066136,1.9760698638151106,0.0015586728918191412,0.0,0.0,0.015586728736655642,1.9783023353698126,0.14087301587301587,2.390449285507202,2.390449285507202
45,1.0,1.4322681225066136,1.9650038025260177,0.001530663150790662,0.0,0.0,0.015306631247424833,1.9671960982931667,0.12896825396825398,2.401972770690918,2.401972770690918
46,1.0,1.4322681225066136,1.9573172825338918,0.0015956848293138914,0.0,0.0,0.015956847930067377,1.959602708250233,0.14087301587301587,2.3934056758880615,2.3934056758880615
47,1.0,1.4322681225066136,1.9446130859667177,0.0015537982254341988,0.0,0.0,0.015537982250334577,1.9468385293028236,0.13392857142857142,2.369396686553955,2.369396686553955
48,1.0,1.4322681225066136,1.9358749982617194,0.0015251564948776297,0.0,0.0,0.015251564743596797,1.9380594026201152,0.14781746031746032,2.371485710144043,2.371485710144043
49,1.0,1.4322681225066136,1.9236950357276272,0.0015267982907439365,0.0,0.0,0.015267982599670115,1.925881840070636,0.14087301587301587,2.3888368606567383,2.3888368606567383
