representation,quantile,threshold,val_ba,test_ba,test_accuracy,test_macro_f1,active_fraction_test,events_per_sample_test_mean,zero_event_fraction_test,events_per_true_stroke_test,event_inside_stroke_fraction_test,cross_primitive_pair_fraction_le_16_steps,cross_primitive_pair_fraction_le_32_steps
r2_mh_qraw,0.2,0.038214873522520065,0.5490860990860991,0.5699245199245199,0.5753424657534246,0.5612668725800821,0.19822730284956924,16.39041095890411,0.0,8.08445945945946,0.7049728374425407,0.35280898876404493,0.35469514908767247
r2_mh_qraw,0.4,0.1507614552974701,0.4930675805675806,0.512213480963481,0.5205479452054794,0.501337421497388,0.15316434724983433,12.664383561643836,0.0,6.246621621621622,0.7074094104921579,0.2998776009791922,0.31981187536743094
r2_mh_qraw,0.6,0.2994101941585541,0.4731601731601731,0.5037670662670662,0.5136986301369864,0.5080248462149424,0.10387673956262425,8.58904109589041,0.0,4.236486486486487,0.7097288676236044,0.2255790533736153,0.27406049495875345
r2_mh_qraw,0.8,0.5220012068748474,0.32477152477152477,0.352785409035409,0.3561643835616438,0.3572355130249867,0.05574884029158383,4.609589041095891,0.10273972602739725,2.2736486486486487,0.6983655274888558,0.15766738660907129,0.21456692913385828
r2_mh_qraw,0.9,0.7252087593078613,0.27225829725829725,0.23309537684537687,0.2328767123287671,0.2516314655546154,0.030815109343936383,2.547945205479452,0.2465753424657534,1.2567567567567568,0.7123655913978495,0.10087719298245613,0.15261044176706828
r2_mh_qnorm,0.2,0.038214873522520065,0.5366161616161617,0.5498778998778998,0.5547945205479452,0.5397548272877221,0.19822730284956924,16.39041095890411,0.0,8.08445945945946,0.7049728374425407,0.35280898876404493,0.35469514908767247
r2_mh_qnorm,0.4,0.1507614552974701,0.472564935064935,0.5279643967143967,0.5342465753424658,0.5124843358395991,0.15316434724983433,12.664383561643836,0.0,6.246621621621622,0.7074094104921579,0.2998776009791922,0.31981187536743094
r2_mh_qnorm,0.6,0.2994101941585541,0.44197330447330446,0.44879564879564876,0.4520547945205479,0.44415636221132826,0.10387673956262425,8.58904109589041,0.0,4.236486486486487,0.7097288676236044,0.2255790533736153,0.27406049495875345
r2_mh_qnorm,0.8,0.5220012068748474,0.33449374699374695,0.35835483960483966,0.3698630136986301,0.3674263378312825,0.05574884029158383,4.609589041095891,0.10273972602739725,2.2736486486486487,0.6983655274888558,0.15766738660907129,0.21456692913385828
r2_mh_qnorm,0.9,0.7252087593078613,0.2728896103896104,0.21817626817626815,0.2191780821917808,0.22779199558611327,0.030815109343936383,2.547945205479452,0.2465753424657534,1.2567567567567568,0.7123655913978495,0.10087719298245613,0.15261044176706828
r2_ms_qraw,0.2,0.038214873522520065,0.5351972101972102,0.5758769008769008,0.5821917808219178,0.5673089139715859,0.19822730284956924,16.39041095890411,0.0,8.08445945945946,0.7049728374425407,0.35280898876404493,0.35469514908767247
r2_ms_qraw,0.4,0.1507614552974701,0.500012025012025,0.5257416194916195,0.5342465753424658,0.5157480105298766,0.15316434724983433,12.664383561643836,0.0,6.246621621621622,0.7074094104921579,0.2998776009791922,0.31981187536743094
r2_ms_qraw,0.6,0.2994101941585541,0.4731601731601731,0.5097194472194472,0.5205479452054794,0.5131104245295471,0.10387673956262425,8.58904109589041,0.0,4.236486486486487,0.7097288676236044,0.2255790533736153,0.27406049495875345
r2_ms_qraw,0.8,0.5220012068748474,0.32477152477152477,0.352785409035409,0.3561643835616438,0.35839228113216115,0.05574884029158383,4.609589041095891,0.10273972602739725,2.2736486486486487,0.6983655274888558,0.15766738660907129,0.21456692913385828
r2_ms_qraw,0.9,0.7252087593078613,0.27225829725829725,0.23309537684537687,0.2328767123287671,0.2515254453721946,0.030815109343936383,2.547945205479452,0.2465753424657534,1.2567567567567568,0.7123655913978495,0.10087719298245613,0.15261044176706828
r2_ms_qnorm,0.2,0.038214873522520065,0.5366161616161617,0.5413100788100788,0.547945205479452,0.533356791127689,0.19822730284956924,16.39041095890411,0.0,8.08445945945946,0.7049728374425407,0.35280898876404493,0.35469514908767247
r2_ms_qnorm,0.4,0.1507614552974701,0.46498917748917745,0.5160596348096348,0.5205479452054794,0.4996047706832019,0.15316434724983433,12.664383561643836,0.0,6.246621621621622,0.7074094104921579,0.2998776009791922,0.31981187536743094
r2_ms_qnorm,0.6,0.2994101941585541,0.44891774891774894,0.47111707736707736,0.4726027397260274,0.47107373652178347,0.10387673956262425,8.58904109589041,0.0,4.236486486486487,0.7097288676236044,0.2255790533736153,0.27406049495875345
r2_ms_qnorm,0.8,0.5220012068748474,0.34084295334295334,0.3825473137973138,0.3904109589041096,0.38423714431502143,0.05574884029158383,4.609589041095891,0.10273972602739725,2.2736486486486487,0.6983655274888558,0.15766738660907129,0.21456692913385828
r2_ms_qnorm,0.9,0.7252087593078613,0.265945165945166,0.2300810300810301,0.2328767123287671,0.2409099463379579,0.030815109343936383,2.547945205479452,0.2465753424657534,1.2567567567567568,0.7123655913978495,0.10087719298245613,0.15261044176706828
