representation,quantile,threshold,val_ba,test_ba,test_accuracy,test_macro_f1,active_fraction_test,events_per_sample_test_mean,zero_event_fraction_test,events_per_true_stroke_test,event_inside_stroke_fraction_test,cross_primitive_pair_fraction_le_16_steps,cross_primitive_pair_fraction_le_32_steps
r2_mh_qraw,0.2,0.03061699867248535,0.5530844155844156,0.5203955766455767,0.5205479452054794,0.5053663017961151,0.55889662027833,46.21232876712329,0.0,22.79391891891892,0.7029791018230325,0.8656264202393577,0.8656264202393577
r2_mh_qraw,0.4,0.14324788749217987,0.5253066378066378,0.5197642635142635,0.5205479452054794,0.5016640369758217,0.42312789927104044,34.986301369863014,0.0,17.256756756756758,0.7055599060297573,0.7563482466747279,0.7563482466747279
r2_mh_qraw,0.6,0.2966979146003723,0.543524531024531,0.528954378954379,0.5273972602739726,0.5104540153628513,0.290506958250497,24.02054794520548,0.0,11.847972972972974,0.7045908183632734,0.652471709350804,0.652484379648914
r2_mh_qraw,0.8,0.5380097031593323,0.523490860990861,0.4960449272949272,0.5,0.4790990311809616,0.1525016567263088,12.60958904109589,0.0,6.219594594594595,0.7034220532319392,0.5304506699147381,0.5399172087522176
r2_mh_qraw,0.9,0.7568022012710571,0.4257696007696008,0.3655948218448218,0.3767123287671233,0.3599542270594902,0.08325049701789264,6.883561643835616,0.0136986301369863,3.39527027027027,0.7164179104477612,0.412303664921466,0.45346062052505964
r2_mh_qnorm,0.2,0.03061699867248535,0.529004329004329,0.5202221389721389,0.5205479452054794,0.5055077385354294,0.55889662027833,46.21232876712329,0.0,22.79391891891892,0.7029791018230325,0.8656264202393577,0.8656264202393577
r2_mh_qnorm,0.4,0.14324788749217987,0.5232864357864357,0.4927079864579864,0.4931506849315068,0.4751243174037292,0.42312789927104044,34.986301369863014,0.0,17.256756756756758,0.7055599060297573,0.7563482466747279,0.7563482466747279
r2_mh_qnorm,0.6,0.2966979146003723,0.5008958633958634,0.5060016372516372,0.5068493150684932,0.48463575440505435,0.290506958250497,24.02054794520548,0.0,11.847972972972974,0.7045908183632734,0.652471709350804,0.652484379648914
r2_mh_qnorm,0.8,0.5380097031593323,0.5261002886002886,0.4603687978687978,0.4657534246575342,0.4391504511570301,0.1525016567263088,12.60958904109589,0.0,6.219594594594595,0.7034220532319392,0.5304506699147381,0.5399172087522176
r2_mh_qnorm,0.9,0.7568022012710571,0.38406685906685906,0.3582285769785769,0.363013698630137,0.3439098191367451,0.08325049701789264,6.883561643835616,0.0136986301369863,3.39527027027027,0.7164179104477612,0.412303664921466,0.45346062052505964
r2_ms_qraw,0.2,0.03061699867248535,0.548124098124098,0.5268058330558331,0.5273972602739726,0.5131525277745608,0.55889662027833,46.21232876712329,0.0,22.79391891891892,0.7029791018230325,0.8656264202393577,0.8656264202393577
r2_ms_qraw,0.4,0.14324788749217987,0.5183621933621934,0.5147047397047396,0.5068493150684932,0.48641670374339646,0.42312789927104044,34.986301369863014,0.0,17.256756756756758,0.7055599060297573,0.7563482466747279,0.7563482466747279
r2_ms_qraw,0.6,0.2966979146003723,0.5432299182299183,0.5210539460539461,0.5136986301369864,0.4944754037648899,0.290506958250497,24.02054794520548,0.0,11.847972972972974,0.7045908183632734,0.652471709350804,0.652484379648914
r2_ms_qraw,0.8,0.5380097031593323,0.5304353054353055,0.5079496891996892,0.5136986301369864,0.48925543090841245,0.1525016567263088,12.60958904109589,0.0,6.219594594594595,0.7034220532319392,0.5304506699147381,0.5399172087522176
r2_ms_qraw,0.9,0.7568022012710571,0.45695646945646945,0.4040577478077478,0.410958904109589,0.3837407070751611,0.08325049701789264,6.883561643835616,0.0136986301369863,3.39527027027027,0.7164179104477612,0.412303664921466,0.45346062052505964
r2_ms_qnorm,0.2,0.03061699867248535,0.5487854737854738,0.5161567599067599,0.5205479452054794,0.5180950742870248,0.55889662027833,46.21232876712329,0.0,22.79391891891892,0.7029791018230325,0.8656264202393577,0.8656264202393577
r2_ms_qnorm,0.4,0.14324788749217987,0.5308621933621933,0.500283744033744,0.5,0.48457624752129397,0.42312789927104044,34.986301369863014,0.0,17.256756756756758,0.7055599060297573,0.7563482466747279,0.7563482466747279
r2_ms_qnorm,0.6,0.2966979146003723,0.5008958633958633,0.485763542013542,0.4863013698630137,0.46799162314667436,0.290506958250497,24.02054794520548,0.0,11.847972972972974,0.7045908183632734,0.652471709350804,0.652484379648914
r2_ms_qnorm,0.8,0.5380097031593323,0.5287157287157288,0.4603687978687978,0.4657534246575342,0.43843027672362034,0.1525016567263088,12.60958904109589,0.0,6.219594594594595,0.7034220532319392,0.5304506699147381,0.5399172087522176
r2_ms_qnorm,0.9,0.7568022012710571,0.40165945165945166,0.36805208680208684,0.3767123287671233,0.35490180718298564,0.08325049701789264,6.883561643835616,0.0136986301369863,3.39527027027027,0.7164179104477612,0.412303664921466,0.45346062052505964
