condition,lambda_con,seed,best_epoch,global_val_BA,probe_selected_C,probe_val_BA,valid_anchor_fraction
con250,0.01,11,88,0.26504629629629634,0.1,0.24884259259259256,0.9964994471284407
con250,0.01,23,27,0.21574074074074076,0.001,0.2240740740740741,0.9964994471284407
con250,0.01,101,96,0.23148148148148148,0.01,0.24837962962962964,0.9964994471284407
con250,0.03,11,14,0.2423611111111111,0.1,0.2505621693121693,0.9964994471284407
con250,0.03,23,27,0.23310185185185187,0.001,0.2351851851851852,0.9964994471284407
con250,0.03,101,13,0.2771825396825397,0.001,0.274537037037037,0.9964994471284407
con250,0.1,11,100,0.2997685185185185,0.1,0.2820436507936508,0.9964994471284407
con250,0.1,23,18,0.2777777777777778,0.01,0.2990740740740741,0.9964994471284407
con250,0.1,101,85,0.27337962962962964,10.0,0.23898809523809525,0.9964994471284407
con500,0.01,11,42,0.31875000000000003,0.1,0.3118055555555556,0.982304880136176
con500,0.01,23,91,0.325462962962963,1.0,0.3440806878306879,0.982304880136176
con500,0.01,101,70,0.32569444444444445,1.0,0.3300595238095238,0.982304880136176
con500,0.03,11,38,0.2840277777777778,0.1,0.30380291005291005,0.982304880136176
con500,0.03,23,58,0.31296296296296294,1.0,0.30264550264550266,0.982304880136176
con500,0.03,101,75,0.2777777777777778,0.001,0.261574074074074,0.982304880136176
con500,0.1,11,29,0.2733134920634921,0.001,0.27175925925925926,0.982304880136176
con500,0.1,23,10,0.2578373015873016,1.0,0.28111772486772485,0.982304880136176
con500,0.1,101,92,0.30069444444444443,10.0,0.33449074074074076,0.982304880136176
