method,seed,use_scale,use_bias,best_epoch,analog_test_ba,bias_off_test_ba,lif_test_ba,if_count_test_ba,if_charge_test_ba,if_charge_max_abs_error,bias_l2_norm,bias_span,mean_row_cosine_to_init,min_row_cosine_to_init,weight_frobenius_norm
H0_raw_no_bias,11,False,False,52,0.5102584915084915,0.5102584915084915,0.5079857642357642,0.32632090132090125,0.5102584915084915,0.0001220703125,0.0,0.0,0.3365209959375794,0.24175334199513157,5.508583823716946
H0_raw_no_bias,23,False,False,74,0.5741855366855366,0.5741855366855366,0.5279324841824843,0.28277555777555774,0.5741855366855366,0.00018310546875,0.0,0.0,0.27263450601922196,0.169227456268932,6.912130877650081
H0_raw_no_bias,37,False,False,83,0.5736756299256299,0.5736756299256299,0.5323676323676323,0.31817904317904316,0.5736756299256299,0.00018310546875,0.0,0.0,0.2629471650595722,0.15339957638940396,7.272486959113855
H1_raw_bias,11,False,True,66,0.517834249084249,0.5102584915084915,0.5165535853035853,0.2770264457764458,0.517834249084249,0.0002593994140625,0.254271000623703,0.2582448720932007,0.2888405784287937,0.18546007095028508,6.375539194957178
H1_raw_bias,23,False,True,54,0.5435307747807748,0.5451541514041514,0.5207625707625708,0.2524884837384837,0.5435307747807748,0.000213623046875,0.24411648511886597,0.2813270092010498,0.3333065383984427,0.22963572472887434,5.704847496648702
H1_raw_bias,37,False,True,82,0.5806200743700743,0.5617708680208681,0.5475191475191475,0.3246725496725497,0.5806200743700743,0.0002288818359375,0.31315532326698303,0.2939576804637909,0.2649798883116182,0.1573830282873239,7.2170161820929275
H2_scale_no_bias,11,True,False,13,0.5102584915084915,0.5102584915084915,0.5215139027639027,0.30949397824397823,0.5102584915084915,0.000152587890625,0.0,0.0,0.2846543812438676,0.1668074307612104,6.325164825786535
H2_scale_no_bias,23,True,False,90,0.5679084804084803,0.5679084804084803,0.5431832056832057,0.32075355200355204,0.5679084804084803,0.000244140625,0.0,0.0,0.10000757366305464,-0.017466054395589004,16.687079870007732
H2_scale_no_bias,37,True,False,50,0.5776799589299589,0.5776799589299589,0.5039946164946164,0.28853160728160726,0.5776799589299589,0.000244140625,0.0,0.0,0.1431704445236283,0.026935320249943866,12.778684952626273
H3_scale_bias,11,True,True,12,0.5102584915084915,0.5026827339327339,0.5155615218115218,0.31395826395826393,0.5102584915084915,0.0003509521484375,0.050098247826099396,0.050529368221759796,0.2999553928155154,0.1824905273188449,6.020237073358414
H3_scale_bias,23,True,True,61,0.5671509046509046,0.5731032856032855,0.5253260628260629,0.27439713064713067,0.5671509046509046,0.000518798828125,0.20405986905097961,0.2245425581932068,0.12241396722742955,0.013915543639536237,14.00842242984791
H3_scale_bias,37,True,True,50,0.5776799589299589,0.5776799589299589,0.511570374070374,0.30731143856143855,0.5776799589299589,0.000640869140625,0.15981435775756836,0.15418124198913574,0.14324100218056596,0.027759432641493977,12.772290878747231
