contrast,left_method,right_method,delta_pp_count,delta_pp_mean,delta_pp_std
bias_raw_H1_minus_H0,H1_raw_bias,H0_raw_no_bias,3,-0.5378186628186602,2.1892432079413227
bias_scaled_H3_minus_H2,H3_scale_bias,H2_scale_no_bias,3,-0.02525252525252449,0.043738656756788515
full_H3_minus_H0,H3_scale_bias,H0_raw_no_bias,3,-0.10101010101010166,0.5588371251346893
scale_no_bias_H2_minus_H0,H2_scale_no_bias,H0_raw_no_bias,3,-0.07575757575757718,0.5182389564421188
