contrast,left_method,right_method,seed,delta_pp
bias_raw_H1_minus_H0,H1_raw_bias,H0_raw_no_bias,11,0.7575757575757569
bias_raw_H1_minus_H0,H1_raw_bias,H0_raw_no_bias,23,-3.0654761904761796
bias_raw_H1_minus_H0,H1_raw_bias,H0_raw_no_bias,37,0.694444444444442
scale_no_bias_H2_minus_H0,H2_scale_no_bias,H0_raw_no_bias,11,0.0
scale_no_bias_H2_minus_H0,H2_scale_no_bias,H0_raw_no_bias,23,-0.6277056277056325
scale_no_bias_H2_minus_H0,H2_scale_no_bias,H0_raw_no_bias,37,0.40043290043290103
bias_scaled_H3_minus_H2,H3_scale_bias,H2_scale_no_bias,11,0.0
bias_scaled_H3_minus_H2,H3_scale_bias,H2_scale_no_bias,23,-0.07575757575757347
bias_scaled_H3_minus_H2,H3_scale_bias,H2_scale_no_bias,37,0.0
full_H3_minus_H0,H3_scale_bias,H0_raw_no_bias,11,0.0
full_H3_minus_H0,H3_scale_bias,H0_raw_no_bias,23,-0.703463203463206
full_H3_minus_H0,H3_scale_bias,H0_raw_no_bias,37,0.40043290043290103
