method,epoch,optimization_train_loss_mean,optimization_train_loss_std,optimization_train_loss_count,train_ba_mean,train_ba_std,train_ba_count,val_ba_mean,val_ba_std,val_ba_count,train_loss_mean,train_loss_std,train_loss_count,val_loss_mean,val_loss_std,val_loss_count,weight_frobenius_norm_mean,weight_frobenius_norm_std,weight_frobenius_norm_count,bias_l2_norm_mean,bias_l2_norm_std,bias_l2_norm_count,bias_span_mean,bias_span_std,bias_span_count,mean_row_cosine_to_init_mean,mean_row_cosine_to_init_std,mean_row_cosine_to_init_count,min_row_cosine_to_init_mean,min_row_cosine_to_init_std,min_row_cosine_to_init_count
H0_raw_no_bias,1,2.499614518193493,0.026000855994012386,3,0.10950719347747336,0.008779856167055062,3,0.10200617283950614,0.028245799992078487,3,2.4479453428271714,0.020129190375625362,3,2.4495235284169516,0.02011579627265453,3,1.9965963652367769,0.015553041293054154,3,0.0,0.0,3,0.0,0.0,3,0.9970057867029348,0.0001495357271543733,3,0.9961735034137069,0.00016902653360214377,3
H0_raw_no_bias,2,2.424331569288629,0.01760852452161138,3,0.19188497317882872,0.015411381353539502,3,0.15262345679012337,0.019045360744531614,3,2.380442918612228,0.01355895816549555,3,2.397582213083903,0.016745903659703368,3,2.0057653900823147,0.01343082912670368,3,0.0,0.0,3,0.0,0.0,3,0.9892433413603555,0.0005877009550201408,3,0.9864839580547518,0.0012852034969476238,3
H0_raw_no_bias,3,2.3589548085246084,0.012251530113615808,3,0.27408278660691104,0.02822389130576852,3,0.21457231040564365,0.02569445153770454,3,2.3192400993865863,0.00996184547913522,3,2.3513092199961343,0.014611370791117346,3,2.024280246576993,0.012103323651305946,3,0.0,0.0,3,0.0,0.0,3,0.9773455780492427,0.001009470731542557,3,0.9716369613076196,0.0027620600520460612,3
H0_raw_no_bias,4,2.2988728448295483,0.009730554589172363,3,0.3484424177490523,0.02974945663581994,3,0.2714846881513548,0.03858256184114096,3,2.2619438490098873,0.00882908602401201,3,2.3089560667673745,0.013358945057969356,3,2.0510491386660874,0.011040327110997148,3,0.0,0.0,3,0.0,0.0,3,0.9621746137731434,0.0011184887379186948,3,0.9526673571478721,0.004400988367755882,3
H0_raw_no_bias,5,2.242867886849128,0.008713217461857227,3,0.41399523440242086,0.0642484907910617,3,0.30731120731120726,0.048868294779499374,3,2.2074157384641544,0.009480499665723946,3,2.268918991088867,0.012609148934888492,3,2.0854390847443653,0.009824800845397502,3,0.0,0.0,3,0.0,0.0,3,0.9443330459067395,0.0006921070790184138,3,0.9309902352715934,0.006733672410057593,3
H0_raw_no_bias,6,2.1887653903994013,0.009589622603828455,3,0.46733422669897573,0.05423612213302741,3,0.33994107744107743,0.04659756124559027,3,2.1545624072293204,0.010445304693555578,3,2.2303622563680015,0.012637544579776306,3,2.126527778832904,0.008406909230251062,3,0.0,0.0,3,0.0,0.0,3,0.9245531687205838,0.0004609423761250973,3,0.9077915869778312,0.010423803396252122,3
H0_raw_no_bias,7,2.1367204746020914,0.01071175421644339,3,0.5112660186142582,0.045393547503338495,3,0.35794252044252045,0.055322503785689835,3,2.1034240602284275,0.01164910449074094,3,2.1929665406545005,0.012986280498797971,3,2.173822905483869,0.006871488785019118,3,0.0,0.0,3,0.0,0.0,3,0.9032233958152359,0.0015481519653541367,3,0.8817014829934275,0.01341516458175755,3
H0_raw_no_bias,8,2.0860091902644755,0.012138481352086037,3,0.5611612374348224,0.04642886142627331,3,0.3936267436267436,0.04707941596615441,3,2.0538700353941968,0.012894858099780816,3,2.156623204549154,0.012887419860790311,3,2.2267247390293647,0.005564270618282781,3,0.0,0.0,3,0.0,0.0,3,0.8807677720716054,0.0029312211649427235,3,0.8533972804251154,0.0152409640266855,3
H0_raw_no_bias,9,2.037008432704556,0.01354379635946538,3,0.6026448800864573,0.039481490364475555,3,0.406547619047619,0.042440279133449756,3,2.0059884500038465,0.014096121434151836,3,2.1215973695119223,0.013042301427574706,3,2.284673176530218,0.005614706095169247,3,0.0,0.0,3,0.0,0.0,3,0.8575673202485722,0.004362250400087757,3,0.8243798297301236,0.016554806320046356,3
H0_raw_no_bias,10,1.989992431847446,0.014370819889813933,3,0.6301050655722635,0.03141443928730164,3,0.41924603174603164,0.04961517302085545,3,1.9597819368523286,0.01524186863449701,3,2.0884629090627036,0.01336838933124999,3,2.3471430837498812,0.006891715769987567,3,0.0,0.0,3,0.0,0.0,3,0.8339639372718198,0.0054622340369274635,3,0.7954776899673973,0.017811011602076546,3
H0_raw_no_bias,11,1.9442946166056572,0.01581244972381732,3,0.649624628590008,0.020188801625254566,3,0.4259920634920635,0.04196837429055693,3,1.9155211054724794,0.01638186444079586,3,2.057828505833944,0.014125017003849145,3,2.4131414852970994,0.00898067426245093,3,0.0,0.0,3,0.0,0.0,3,0.8104386312121811,0.006360769697473551,3,0.7667005085721578,0.018113450083485742,3
H0_raw_no_bias,12,1.9006100947735163,0.016679069466441737,3,0.6747508185730701,0.014650375920410791,3,0.44169071669071663,0.05129624465338496,3,1.8729164949861394,0.017508278736728288,3,2.027836640675863,0.01433204812772592,3,2.482290737655108,0.011030287873309839,3,0.0,0.0,3,0.0,0.0,3,0.7870572355300407,0.00713075264143547,3,0.7385021326194395,0.0182517523058293,3
H0_raw_no_bias,13,1.8587235195911689,0.018049983021706312,3,0.7041762530191157,0.011268476749269951,3,0.45590027256693927,0.060993070100300896,3,1.8318558834232412,0.018507303464584363,3,1.9989066918690999,0.01457738711072181,3,2.5539316288648837,0.01351995201760714,3,0.0,0.0,3,0.0,0.0,3,0.7641784890013144,0.007875045764683062,3,0.7110674533958395,0.018382452911703293,3
H0_raw_no_bias,14,1.8182648201475728,0.0190649847428238,3,0.7276932131607069,0.0218484060781483,3,0.4615099406766074,0.05692766438653534,3,1.7922408342087877,0.019543226134281815,3,1.9714663823445637,0.015272474593811711,3,2.627985402690029,0.016142545596258107,3,0.0,0.0,3,0.0,0.0,3,0.7418415843838332,0.0085011730510563,3,0.6845172428741337,0.01819287597128923,3
H0_raw_no_bias,15,1.7788570476412706,0.019703181401694463,3,0.7408701039326336,0.02665858408348631,3,0.45636123136123136,0.04500368100311997,3,1.7541000279488401,0.020445440831865926,3,1.9450184901555378,0.015883423802382095,3,2.703651199930961,0.01827401378145049,3,0.0,0.0,3,0.0,0.0,3,0.7202636177051699,0.008884759412699818,3,0.6589354753736291,0.017680018441753164,3
