method,seed,analog_test_ba,lif_test_ba,if_count_test_ba,if_charge_test_ba,if_charge_max_abs_error
H0_raw_no_bias,11,0.5102584915084915,0.5079857642357642,0.32632090132090125,0.5102584915084915,0.0001220703125
H0_raw_no_bias,23,0.5741855366855366,0.5279324841824843,0.28277555777555774,0.5741855366855366,0.00018310546875
H0_raw_no_bias,37,0.5736756299256299,0.5323676323676323,0.31817904317904316,0.5736756299256299,0.00018310546875
H1_raw_bias,11,0.517834249084249,0.5165535853035853,0.2770264457764458,0.517834249084249,0.0002593994140625
H1_raw_bias,23,0.5435307747807748,0.5207625707625708,0.2524884837384837,0.5435307747807748,0.000213623046875
H1_raw_bias,37,0.5806200743700743,0.5475191475191475,0.3246725496725497,0.5806200743700743,0.0002288818359375
H2_scale_no_bias,11,0.5102584915084915,0.5215139027639027,0.30949397824397823,0.5102584915084915,0.000152587890625
H2_scale_no_bias,23,0.5679084804084803,0.5431832056832057,0.32075355200355204,0.5679084804084803,0.000244140625
H2_scale_no_bias,37,0.5776799589299589,0.5039946164946164,0.28853160728160726,0.5776799589299589,0.000244140625
H3_scale_bias,11,0.5102584915084915,0.5155615218115218,0.31395826395826393,0.5102584915084915,0.0003509521484375
H3_scale_bias,23,0.5671509046509046,0.5253260628260629,0.27439713064713067,0.5671509046509046,0.000518798828125
H3_scale_bias,37,0.5776799589299589,0.511570374070374,0.30731143856143855,0.5776799589299589,0.000640869140625
