seed,accuracy,balanced_accuracy,condition,macro_f1,split,temperature
11,0.5634920634920635,0.5587061087061086,raw_signed,0.5555794062259579,val,
11,0.5158730158730159,0.4953823953823955,positive_only,0.4880741729067411,val,
11,0.5079365079365079,0.4991221741221741,lif_beta05,0.4986027659940704,val,
11,0.4603174603174603,0.43281024531024537,softmax_vote,0.404468832881078,val,0.25
11,0.4603174603174603,0.43281024531024537,softmax_vote,0.4069713830678743,val,0.5
11,0.49206349206349204,0.4681998556998557,softmax_vote,0.45501831177269764,val,1.0
11,0.5158730158730159,0.49399350649350643,softmax_vote,0.4871565915121132,val,2.0
11,0.5684931506849316,0.5505723443223443,raw_signed,0.5479560628318462,test,
11,0.5342465753424658,0.5131986069486069,positive_only,0.49164123731524384,test,
11,0.5616438356164384,0.5483918858918858,lif_beta05,0.540320959485313,test,
11,0.4726027397260274,0.45201534576534574,softmax_vote,0.4222195967445572,test,0.25
11,0.4726027397260274,0.45300740925740923,softmax_vote,0.4246920713154447,test,0.5
11,0.4863013698630137,0.46491217116217115,softmax_vote,0.43326982614908305,test,1.0
11,0.5068493150684932,0.48276931401931394,softmax_vote,0.4471314978031624,test,2.0
23,0.5238095238095238,0.5114177489177488,raw_signed,0.5054930406650344,val,
23,0.4523809523809524,0.4275553150553151,positive_only,0.41212769962870915,val,
23,0.4444444444444444,0.4370129870129871,lif_beta05,0.4265266930322444,val,
23,0.4126984126984127,0.3832431457431458,softmax_vote,0.34152982326223497,val,0.25
23,0.40476190476190477,0.3762987012987013,softmax_vote,0.33737010358527386,val,0.5
23,0.4126984126984127,0.3832431457431458,softmax_vote,0.3404028088238615,val,1.0
23,0.4365079365079365,0.4100949975949976,softmax_vote,0.38514105719988073,val,2.0
23,0.547945205479452,0.5303994616494616,raw_signed,0.506042309543297,test,
23,0.5273972602739726,0.5075459262959262,positive_only,0.48845101564599197,test,
23,0.5205479452054794,0.5102355977355977,lif_beta05,0.4875195817491214,test,
23,0.4589041095890411,0.4275405150405151,softmax_vote,0.39093879750972177,test,0.25
23,0.4794520547945205,0.45310869685869687,softmax_vote,0.42634676186505455,test,0.5
23,0.4726027397260274,0.4471563159063159,softmax_vote,0.42034202569916856,test,1.0
23,0.5136986301369864,0.48949037074037066,softmax_vote,0.46710133583292995,test,2.0
37,0.6111111111111112,0.6060606060606061,raw_signed,0.6056036283977461,val,
37,0.5793650793650794,0.5691558441558442,positive_only,0.5725916359946287,val,
37,0.5396825396825397,0.5332130832130832,lif_beta05,0.5268451748057011,val,
37,0.5079365079365079,0.49176887926887924,softmax_vote,0.49804233625183053,val,0.25
37,0.5158730158730159,0.49871332371332366,softmax_vote,0.5038731253989027,val,0.5
37,0.5317460317460317,0.5181938431938432,softmax_vote,0.5288376148180071,val,1.0
37,0.5555555555555556,0.543987493987494,softmax_vote,0.5532294736234613,val,2.0
37,0.5616438356164384,0.5550879675879675,raw_signed,0.5506706749131706,test,
37,0.5068493150684932,0.49085636585636583,positive_only,0.483546085015828,test,
37,0.5273972602739726,0.5246808746808745,lif_beta05,0.5164765508524926,test,
37,0.4726027397260274,0.4547091797091796,softmax_vote,0.43788646124636027,test,0.25
37,0.4726027397260274,0.4502448939948939,softmax_vote,0.4369890336103823,test,0.5
37,0.4726027397260274,0.453085803085803,softmax_vote,0.43500875772547604,test,1.0
37,0.5,0.47851870351870346,softmax_vote,0.4629645197400793,test,2.0
