split,condition,temperature,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
test,lif_beta05,,3,0.5365296803652968,0.5277694527694526,0.5147723640289756,0.02201746749085149,0.01926473637046082,0.02644190920219424
test,positive_only,,3,0.5228310502283106,0.5038669663669663,0.4878794459923546,0.014257986297713248,0.011616582710725435,0.004077731181601315
test,raw_signed,,3,0.5593607305936074,0.5453532578532578,0.5348896824294379,0.010462501586657208,0.013145711431784935,0.025019401901565548
test,softmax_vote,0.25,3,0.4680365296803653,0.4447550135050135,0.4170149518335464,0.007908907797118152,0.014968914568778894,0.02390265736418032
test,softmax_vote,0.5,3,0.4748858447488584,0.45212033337033336,0.4293426222636272,0.003954453898559064,0.0016249675174461239,0.006673470241679468
test,softmax_vote,1.0,3,0.4771689497716895,0.45505143005142995,0.42954020319124253,0.007908907797118177,0.00903965519213651,0.008013165581629808
test,softmax_vote,2.0,3,0.5068493150684932,0.483592796092796,0.45906578445872387,0.006849315068493178,0.005531994436888152,0.010540337296754403
val,lif_beta05,,3,0.4973544973544974,0.48978274811608147,0.48399154461067195,0.048492864496887195,0.04877533480991596,0.05173069967696989
val,positive_only,,3,0.5158730158730159,0.4973645181978516,0.4909311695100263,0.0634920634920635,0.07082107079484969,0.08027010988347318
val,raw_signed,,3,0.5661375661375662,0.5587281545614878,0.5555586917629128,0.04371087735941352,0.047321432422905645,0.05005529708096808
val,softmax_vote,0.25,3,0.4603174603174603,0.4359407567740901,0.4146803307983811,0.047619047619047616,0.05433055112773637,0.07875435034247882
val,softmax_vote,0.5,3,0.4603174603174603,0.4359407567740901,0.4160715373506836,0.05555555555555557,0.061267324258103426,0.08362370282548867
val,softmax_vote,1.0,3,0.47883597883597884,0.45654561487894824,0.441419578471522,0.060616080621109014,0.06822601177293891,0.0949505828737254
val,softmax_vote,2.0,3,0.5026455026455027,0.482691999358666,0.47517570744515175,0.06061608062110901,0.06765791302717518,0.08468225977863508
