seed,accuracy,balanced_accuracy,beta,macro_f1,readout,tail,mean_abs_final_membrane,mean_total_output_spikes_per_sample
11,0.5684931506849316,0.5505723443223443,,0.5479560628318462,analog,zero_l2_tail,,
11,0.5547945205479452,0.5333374958374958,1.0,0.5306815644081221,spike_count,zero_l2_tail,154.5130689281882,430.013698630137
11,0.5547945205479452,0.5414474414474414,0.5,0.5309001670843775,spike_count,zero_l2_tail,6.975344539717458e-40,223.41780821917808
11,0.5547945205479452,0.5312534687534688,,0.515297742619724,analog,native_l2_tail,,
11,0.5753424657534246,0.5476114163614164,1.0,0.5274812335574335,spike_count,native_l2_tail,194.2971123909535,474.1164383561644
11,0.4931506849315068,0.4775259462759462,0.5,0.4650905605352704,spike_count,native_l2_tail,1.8415202273068668e-32,328.4657534246575
23,0.547945205479452,0.5303994616494616,,0.506042309543297,analog,zero_l2_tail,,
23,0.5,0.4828706016206015,1.0,0.46027549564077086,spike_count,zero_l2_tail,134.85210392676788,412.5890410958904
23,0.5136986301369864,0.5038253413253414,0.5,0.4802317424600034,spike_count,zero_l2_tail,6.115228988235217e-40,217.21917808219177
23,0.5068493150684932,0.4808386058386058,,0.4655944468472459,analog,native_l2_tail,,
23,0.5068493150684932,0.48014416139416133,1.0,0.4503170808890516,spike_count,native_l2_tail,169.92288613913357,467.63698630136986
23,0.3698630136986301,0.3431845931845932,0.5,0.2863859624186463,spike_count,native_l2_tail,5.207816830386188e-31,306.3493150684931
37,0.5616438356164384,0.5550879675879675,,0.5506706749131706,analog,zero_l2_tail,,
37,0.5068493150684932,0.5027722277722276,1.0,0.4891755884240654,spike_count,zero_l2_tail,182.85956103936397,477.2191780821918
37,0.5273972602739726,0.523057498057498,0.5,0.5153481520915731,spike_count,zero_l2_tail,9.629248805058954e-40,244.74657534246575
37,0.4863013698630137,0.4698419635919635,,0.4457471259199845,analog,native_l2_tail,,
37,0.4726027397260274,0.46460900210900213,1.0,0.44925570018315825,spike_count,native_l2_tail,237.15974010488628,526.7328767123288
37,0.4520547945205479,0.4271492396492396,0.5,0.3980687911570265,spike_count,native_l2_tail,9.680548774301427e-32,360.8835616438356
