head_type,ce_gain,lr_scale,evaluation_readout,split,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
lif,10.0,1.0,analog,test,3,0.5068493150684932,0.4934627872127872,0.4843756741064904,0.006849315068493178,0.00539679491315975,0.005919463668753803
lif,10.0,1.0,analog,train,3,0.8657487091222031,0.8645732093623425,0.8646569006810211,0.09550557245442395,0.09531805201081761,0.09580610799632687
lif,10.0,1.0,analog,val,3,0.5423280423280423,0.5439474106140773,0.5400576041925169,0.045128894468867725,0.044730483822446036,0.04167549899610363
lif,10.0,1.0,lif_beta05,test,3,0.5091324200913242,0.49542887667887675,0.4904725296166507,0.01723706492070951,0.02066232333019628,0.01673357288279461
lif,10.0,1.0,lif_beta05,train,3,0.8496844520940906,0.8469222034151359,0.8476138010215074,0.10526379455486878,0.10697970920648463,0.10782381012256946
lif,10.0,1.0,lif_beta05,val,3,0.5423280423280423,0.5406545614878949,0.5388741595867695,0.05284387395618568,0.049083330019689085,0.0507466957056853
lif,10.0,1.0,softmax_vote,test,3,0.5159817351598174,0.5010889573389573,0.4924650665048694,0.014257986297713248,0.009025020462277366,0.008905068587287323
lif,10.0,1.0,softmax_vote,train,3,0.8611589213998853,0.8604065251145904,0.860654097592366,0.09992181071913929,0.09943188906862253,0.10063557456939329
lif,10.0,1.0,softmax_vote,val,3,0.5396825396825397,0.5373456790123456,0.5340252242215225,0.06496311723708294,0.06463028509230592,0.06416822845985119
linear,1.0,1.0,analog,test,3,0.5662100456621005,0.5498182373182372,0.53874045105099,0.017237064920709505,0.02113306766919594,0.020747788514644178
linear,1.0,1.0,analog,train,3,0.8181296615031556,0.8121025074903357,0.8131890025966916,0.12650699981280186,0.13439230694757529,0.1382766022860299
linear,1.0,1.0,analog,val,3,0.5476190476190476,0.5361892736892737,0.5257286879535366,0.034594436059846634,0.04197354864183287,0.06131799805550948
linear,1.0,1.0,lif_beta05,test,3,0.5159817351598174,0.4997759185259185,0.4828260297771541,0.02092500317331438,0.021536694375708425,0.03416999465671184
linear,1.0,1.0,lif_beta05,train,3,0.7177280550774526,0.7159321967420867,0.7141209238541126,0.1244371677102926,0.13192717519923908,0.13469683074106223
linear,1.0,1.0,lif_beta05,val,3,0.4867724867724868,0.4763468013468013,0.4623433154388567,0.03207501495497923,0.03497315568001292,0.051734535984245794
linear,1.0,1.0,softmax_vote,test,3,0.5182648401826484,0.49357956857956853,0.4719349046330337,0.02201746749085152,0.022815506345117583,0.021449239458091757
linear,1.0,1.0,softmax_vote,train,3,0.7108433734939759,0.6987744843248063,0.6963867343457631,0.11380568161663714,0.11961593415886201,0.12908773170908466
linear,1.0,1.0,softmax_vote,val,3,0.48941798941798936,0.46447410614077284,0.44188756319355654,0.0563063403539491,0.06131836661275515,0.09129362106546846
linear,2.0,1.0,analog,test,3,0.5502283105022832,0.5377060439560438,0.5257274389235205,0.007908907797118128,0.00842899918409507,0.009430300663251248
linear,2.0,1.0,analog,train,3,0.8594377510040161,0.8589160473945375,0.8600533576793613,0.09005082803549475,0.09066769420084766,0.09201282564245278
linear,2.0,1.0,analog,val,3,0.5555555555555556,0.5521043771043771,0.5519401734247555,0.04123930494211619,0.042378880247124946,0.044154438795976594
linear,2.0,1.0,lif_beta05,test,3,0.545662100456621,0.5339997964997965,0.518300193930466,0.03378686891997431,0.031177433709645805,0.04702932587370808
linear,2.0,1.0,lif_beta05,train,3,0.7636259323006311,0.7653780144024704,0.763583293559734,0.09599029690115146,0.09893528102923695,0.098865988564781
linear,2.0,1.0,lif_beta05,val,3,0.48148148148148145,0.4756954465287799,0.46942621711033233,0.039149863986636876,0.03700493544117783,0.04253962065344713
linear,2.0,1.0,softmax_vote,test,3,0.5045662100456622,0.48576631701631695,0.4699245990955083,0.014257986297713231,0.019230624185772524,0.0243200546928362
linear,2.0,1.0,softmax_vote,train,3,0.7647733792312105,0.7604750376410897,0.7601703361914215,0.08867508187058014,0.08957705503593816,0.093854638313615
linear,2.0,1.0,softmax_vote,val,3,0.4867724867724868,0.46747033830367163,0.4567653859482288,0.06415002990995844,0.0673528535275457,0.08118773451307519
linear,5.0,1.0,analog,test,3,0.5525114155251142,0.5406949531949531,0.5325660843362269,0.010462501586657173,0.008472603409359436,0.010358600058175694
linear,5.0,1.0,analog,train,3,0.8909925415949512,0.8907253199329705,0.892065643186121,0.06291892130419535,0.06173196543224044,0.06281129160099512
linear,5.0,1.0,analog,val,3,0.5767195767195767,0.5704826038159372,0.5732442249087202,0.04072699555116577,0.04061855419023167,0.04310512630109318
linear,5.0,1.0,lif_beta05,test,3,0.5365296803652968,0.5273770211270211,0.5186226766688568,0.044034934981703,0.040642965093520514,0.048742483206345645
linear,5.0,1.0,lif_beta05,train,3,0.802065404475043,0.801901334340915,0.8021694800047013,0.07573149741824436,0.07580465664809438,0.07732461243213674
linear,5.0,1.0,lif_beta05,val,3,0.49206349206349204,0.488303671637005,0.4822630620966508,0.047619047619047616,0.045066974681279195,0.04816632690947612
linear,5.0,1.0,softmax_vote,test,3,0.5205479452054794,0.504568117068117,0.49466063931762155,0.018121584322360256,0.018809670598363384,0.023252707168594507
linear,5.0,1.0,softmax_vote,train,3,0.8158347676419965,0.8130024919368127,0.8150556321361182,0.06738992065560029,0.06546866719980221,0.06701465759699803
linear,5.0,1.0,softmax_vote,val,3,0.5423280423280423,0.5263127304793972,0.5240869585104966,0.03994621394323152,0.03968720380735796,0.04359958374516205
linear,10.0,1.0,analog,test,3,0.5319634703196346,0.519031894031894,0.5103074709619028,0.003954453898559113,0.008467046582438614,0.010338582998081493
linear,10.0,1.0,analog,train,3,0.8473895582329317,0.8454997127582148,0.8467877328010541,0.11361463035673261,0.11404036491916408,0.11456861718457542
linear,10.0,1.0,analog,val,3,0.5555555555555556,0.5573733365400032,0.5572022175667212,0.05555555555555558,0.05681162950547025,0.05618567755174483
linear,10.0,1.0,lif_beta05,test,3,0.5159817351598174,0.5063829688829689,0.4976050382189316,0.027681177289913598,0.022125776609808464,0.026089292186320324
linear,10.0,1.0,lif_beta05,train,3,0.7831325301204819,0.7830879860705443,0.7825633517883754,0.11422141151832743,0.11441264350182741,0.11476940553149635
linear,10.0,1.0,lif_beta05,val,3,0.47883597883597884,0.4813692480359147,0.4778220805224089,0.043710877359413515,0.039686551612851034,0.04218043443494163
linear,10.0,1.0,softmax_vote,test,3,0.5319634703196346,0.5146654271654271,0.5038342967928974,0.014257986297713287,0.006362243630950276,0.0010727234589569213
linear,10.0,1.0,softmax_vote,train,3,0.8083763625932301,0.8057663873084612,0.8055881627925444,0.10499609669406243,0.1060194825442725,0.10834664609091811
linear,10.0,1.0,softmax_vote,val,3,0.5291005291005292,0.5186487894821229,0.5174060982464308,0.06749921069932846,0.0620058415282003,0.06219093091718632
