head_type,ce_gain,lr_scale,evaluation_readout,split,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
lif,1.0,1.0,analog,test,3,0.5045662100456622,0.48691146816146813,0.4637269525443363,0.02405400400194692,0.024597564394616057,0.03905508701473671
lif,1.0,1.0,analog,train,3,0.814687320711417,0.8078685433470912,0.7943454954595713,0.11136296118185156,0.11941859271094506,0.1305591050952909
lif,1.0,1.0,analog,val,3,0.5079365079365079,0.49772126022126023,0.4757367897135956,0.06780955353426613,0.07319092594223033,0.08158396273059812
lif,1.0,1.0,lif_beta05,test,3,0.5,0.4835969585969586,0.46357476542057147,0.02739726027397263,0.02351431874342157,0.019541109343203557
lif,1.0,1.0,lif_beta05,train,3,0.8164084911072863,0.8106983453628759,0.7947720894345657,0.1048690539349161,0.11065638112909716,0.12539066497051468
lif,1.0,1.0,lif_beta05,val,3,0.5026455026455027,0.49588143338143337,0.47144947016829053,0.03578769645097532,0.04377872225701372,0.05495123729183893
lif,1.0,1.0,softmax_vote,test,3,0.4954337899543379,0.476778083028083,0.45850781957428643,0.02405400400194688,0.02262347837827024,0.028011283406482422
lif,1.0,1.0,softmax_vote,train,3,0.8026391279403328,0.795090542632367,0.7819716575523309,0.10913269974183828,0.1191385557592784,0.1302931290818881
lif,1.0,1.0,softmax_vote,val,3,0.5079365079365079,0.4959114959114959,0.47372694863985015,0.05555555555555556,0.0602813861809224,0.06479950465222513
lif,2.0,1.0,analog,test,3,0.5136986301369864,0.49758135383135377,0.47032499938382544,0.011863361695677208,0.018194681403715874,0.03162847316027247
lif,2.0,1.0,analog,train,3,0.7991967871485944,0.7898027754971951,0.7655765440018939,0.12172135211809813,0.12932911405672798,0.15003563138860163
lif,2.0,1.0,analog,val,3,0.5211640211640212,0.5130651755651755,0.49102919550338603,0.07201406131648785,0.0736261820855289,0.08458636871179692
lif,2.0,1.0,lif_beta05,test,3,0.5,0.483772015022015,0.45643052466600903,0.0,0.00907668200745926,0.019049276007962405
lif,2.0,1.0,lif_beta05,train,3,0.7917383820998278,0.7823660752247865,0.756214638552119,0.12233635555192329,0.1297733193595029,0.15415572186226675
lif,2.0,1.0,lif_beta05,val,3,0.5105820105820106,0.504016354016354,0.47737662516616136,0.0478389982011247,0.052586469257049434,0.06302541953269732
lif,2.0,1.0,softmax_vote,test,3,0.5091324200913242,0.49134800384800376,0.4661268847867772,0.02593108833698756,0.028994358717575202,0.03959453154452945
lif,2.0,1.0,softmax_vote,train,3,0.7882960413080896,0.7779825132857754,0.7535350505419715,0.117077547756987,0.12614418185893886,0.14779334130169625
lif,2.0,1.0,softmax_vote,val,3,0.5158730158730159,0.5093734968734968,0.488687462239004,0.08837721210841305,0.09190853078325656,0.1013815289593387
lif,5.0,0.2,analog,test,3,0.5205479452054794,0.5031218781218781,0.47505770035201306,0.00684931506849315,0.00615349720543584,0.01666819578207389
lif,5.0,0.2,analog,train,3,0.7653471026965003,0.7559763903207344,0.7321420148883114,0.13256737001763666,0.1386293195366614,0.1564053574309161
lif,5.0,0.2,analog,val,3,0.5052910052910052,0.501082251082251,0.47260144074579635,0.07157539290195071,0.0759681866812856,0.0929780551576709
lif,5.0,0.2,lif_beta05,test,3,0.5296803652968037,0.5091644466644466,0.4805519820435793,0.003954453898559088,0.011582771768059294,0.02231080830406903
lif,5.0,0.2,lif_beta05,train,3,0.7544463568559955,0.7443553435673328,0.7205012006281407,0.13500311718752508,0.14081642958554028,0.16139798978980124
lif,5.0,0.2,lif_beta05,val,3,0.5105820105820106,0.5027837902837903,0.47785300145372384,0.07157539290195074,0.07018045791641467,0.08241863187215026
lif,5.0,0.2,softmax_vote,test,3,0.5159817351598174,0.49555375180375166,0.46670315981367577,0.020925003173314353,0.022505444733997317,0.0330770033606158
lif,5.0,0.2,softmax_vote,train,3,0.7590361445783133,0.7484353655804384,0.725867570711409,0.13531727374183103,0.1400548738617572,0.1597449919828583
lif,5.0,0.2,softmax_vote,val,3,0.4973544973544974,0.4908429533429533,0.46707214502079214,0.05163815157656917,0.05338607557590212,0.07151283801062189
lif,5.0,1.0,analog,test,3,0.5205479452054794,0.5028913216413216,0.4847672745451405,0.006849315068493136,0.008144600091935076,0.009909524717699058
lif,5.0,1.0,analog,train,3,0.8485370051635112,0.8416997488859995,0.8346755022956796,0.06375304364011056,0.06679130253871325,0.07358987082583883
lif,5.0,1.0,analog,val,3,0.5158730158730159,0.5132696007696008,0.5030263051622167,0.041996052556580815,0.04298655165235828,0.042426677604888434
lif,5.0,1.0,lif_beta05,test,3,0.5251141552511416,0.5110637048137048,0.49389337016952156,0.007908907797118201,0.0018629106846843905,0.005440548309042775
lif,5.0,1.0,lif_beta05,train,3,0.8427997705106138,0.834838881457799,0.8277529056446058,0.05575458686520409,0.05861358186137074,0.06815295725454808
lif,5.0,1.0,lif_beta05,val,3,0.5370370370370371,0.5255952380952381,0.5148971703433237,0.05630634035394916,0.05737788923242739,0.062101387253599566
lif,5.0,1.0,softmax_vote,test,3,0.5091324200913242,0.489218882968883,0.4718129948251207,0.01977226949279539,0.017044165556682058,0.015213185622654843
lif,5.0,1.0,softmax_vote,train,3,0.8382099827882961,0.8304291713801261,0.824182251014021,0.06701522318048804,0.06929187199722742,0.07627379511425214
lif,5.0,1.0,softmax_vote,val,3,0.5,0.4936487894821228,0.4851954834572489,0.04827589309760494,0.046898021086596006,0.044399604760068954
