training_objective,evaluation_readout,split,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
raw_wcce,analog,test,3,0.5662100456621005,0.5498182373182372,0.53874045105099,0.017237064920709505,0.02113306766919594,0.020747788514644178
raw_wcce,analog,train,3,0.8181296615031556,0.8121025074903357,0.8131890025966916,0.12650699981280186,0.13439230694757529,0.1382766022860299
raw_wcce,analog,val,3,0.5476190476190476,0.5361892736892737,0.5257286879535366,0.034594436059846634,0.04197354864183287,0.06131799805550948
raw_wcce,lif_beta05,test,3,0.5159817351598174,0.4997759185259185,0.4828260297771541,0.02092500317331438,0.021536694375708425,0.03416999465671184
raw_wcce,lif_beta05,train,3,0.7177280550774526,0.7159321967420867,0.7141209238541126,0.1244371677102926,0.13192717519923908,0.13469683074106223
raw_wcce,lif_beta05,val,3,0.4867724867724868,0.4763468013468013,0.4623433154388567,0.03207501495497923,0.03497315568001292,0.051734535984245794
raw_wcce,softmax_vote,test,3,0.5182648401826484,0.49357956857956853,0.4719349046330337,0.02201746749085152,0.022815506345117583,0.021449239458091757
raw_wcce,softmax_vote,train,3,0.7108433734939759,0.6987744843248063,0.6963867343457631,0.11380568161663714,0.11961593415886201,0.12908773170908466
raw_wcce,softmax_vote,val,3,0.48941798941798936,0.46447410614077284,0.44188756319355654,0.0563063403539491,0.06131836661275515,0.09129362106546846
softmax_vote_wcce,analog,test,3,0.5319634703196346,0.5187190124690124,0.49978754726213603,0.027681177289913598,0.03269628591949617,0.036556617372315546
softmax_vote_wcce,analog,train,3,0.795754446356856,0.7872544864748271,0.7897564706425393,0.13056337730299897,0.1406053301817961,0.14406224432495762
softmax_vote_wcce,analog,val,3,0.4708994708994709,0.46446408529741867,0.4464361012185216,0.05102460720102092,0.06076976569608768,0.07582199262335337
softmax_vote_wcce,lif_beta05,test,3,0.4954337899543379,0.4839010526510526,0.4642354128697141,0.034474129841418934,0.04135158152819698,0.054868767257807205
softmax_vote_wcce,lif_beta05,train,3,0.6993689041881813,0.6928957318510865,0.6943494021630056,0.11231653442600051,0.11969306599886281,0.12527512077280176
softmax_vote_wcce,lif_beta05,val,3,0.4338624338624339,0.43150553150553145,0.4105117396845663,0.0437108773594135,0.050607405615670016,0.06756687761301566
softmax_vote_wcce,softmax_vote,test,3,0.5114155251141552,0.48876933251933247,0.4723029452359227,0.01425798629771322,0.008292464967067207,0.0061783588283021275
softmax_vote_wcce,softmax_vote,train,3,0.74469305794607,0.7303846263143554,0.7292385554618187,0.13325831343804864,0.14098078794326738,0.15291774326534519
softmax_vote_wcce,softmax_vote,val,3,0.4735449735449735,0.453980278980279,0.4371757698827647,0.04072699555116575,0.04859436021661802,0.0731447756220478
tsce,analog,test,3,0.5319634703196346,0.5177563177563177,0.4993853207402552,0.014257986297713287,0.009930582740906121,0.017221932051069755
tsce,analog,train,3,0.8382099827882961,0.832426056341879,0.8359181002062986,0.09581525411164735,0.10149146512929579,0.10179507618064085
tsce,analog,val,3,0.5238095238095238,0.5109547859547859,0.5014288125791424,0.01374643498070539,0.016046917859806872,0.020949910882295426
tsce,lif_beta05,test,3,0.5319634703196346,0.5207977207977207,0.5079505685780873,0.003954453898559088,0.011974723017015656,0.009965571922576542
tsce,lif_beta05,train,3,0.7974756167527252,0.7914892606513527,0.7943893990205612,0.0976122657124737,0.09943545823897464,0.10221210450757116
tsce,lif_beta05,val,3,0.4682539682539682,0.45614478114478113,0.4388069840164002,0.0238095238095238,0.02517142158727236,0.03541582593001181
tsce,softmax_vote,test,3,0.5228310502283106,0.5007478632478632,0.482068013714853,0.027681177289913556,0.02844826287547305,0.03193511471287621
tsce,softmax_vote,train,3,0.802065404475043,0.7936519541825523,0.7969624310565248,0.10371390633516576,0.11020366194797304,0.11236186670575202
tsce,softmax_vote,val,3,0.5264550264550265,0.5093013468013469,0.5020261090360988,0.05040359492925306,0.058172325243048086,0.072516333316699
