seed,head_type,ce_gain,lr_scale,evaluation_readout,split,best_epoch,accuracy,balanced_accuracy,macro_f1
11,linear,1.0,1.0,analog,test,100,0.5684931506849316,0.5505723443223443,0.5452973954880896
11,linear,1.0,1.0,lif_beta05,test,100,0.5342465753424658,0.512580475080475,0.5070692101129858
11,linear,1.0,1.0,softmax_vote,test,100,0.5273972602739726,0.5064886502386502,0.4891943102469418
11,linear,1.0,1.0,analog,train,100,0.8519793459552496,0.8518590012406096,0.8556339170204589
11,linear,1.0,1.0,lif_beta05,train,100,0.7573149741824441,0.7627700300654411,0.7579172476633063
11,linear,1.0,1.0,softmax_vote,train,100,0.7349397590361446,0.7292798457681786,0.7341159468085617
11,linear,1.0,1.0,analog,val,100,0.5634920634920635,0.5584114959114959,0.5529716538167083
11,linear,1.0,1.0,lif_beta05,val,100,0.49206349206349204,0.48754810004810006,0.4823005864104935
11,linear,1.0,1.0,softmax_vote,val,100,0.5,0.47514430014430015,0.4502315333134299
11,linear,2.0,1.0,analog,test,95,0.5547945205479452,0.5362866300366299,0.5312433716859672
11,linear,2.0,1.0,lif_beta05,test,95,0.5684931506849316,0.5520375457875458,0.548720952044919
11,linear,2.0,1.0,softmax_vote,test,95,0.5,0.4760593573093573,0.4548498267095828
11,linear,2.0,1.0,analog,train,95,0.8709122203098106,0.8723646123325617,0.8737370286771043
11,linear,2.0,1.0,lif_beta05,train,95,0.774526678141136,0.7786401089581322,0.7752552974285806
11,linear,2.0,1.0,softmax_vote,train,95,0.7676419965576592,0.7658261453540219,0.7666540911145759
11,linear,2.0,1.0,analog,val,95,0.5793650793650794,0.5741522366522366,0.5764967732072995
11,linear,2.0,1.0,lif_beta05,val,95,0.5,0.49869528619528625,0.496132646416245
11,linear,2.0,1.0,softmax_vote,val,95,0.5238095238095238,0.501569264069264,0.4844745091569049
11,linear,5.0,1.0,analog,test,100,0.5616438356164384,0.5462454212454212,0.5438043730150844
11,linear,5.0,1.0,lif_beta05,test,100,0.5684931506849316,0.5534874847374848,0.5523290589397605
