seed,ce_gain,class0_cosine,class10_cosine,class11_cosine,class1_cosine,class2_cosine,class3_cosine,class4_cosine,class5_cosine,class6_cosine,class7_cosine,class8_cosine,class9_cosine,global_cosine,gradient_norm_lif,gradient_norm_linear,lif_loss,linear_loss,norm_ratio_lif_over_linear
11,1.0,0.13654129552637,0.7918689108829424,0.940038391765918,-0.006430177598420421,0.7429230315280971,0.07394816149893284,0.8640433300644391,0.2199257937522637,-0.22100561360760615,0.8310673199578432,0.5150173079479277,0.5600684720351852,0.5442364503784257,0.044577811284004926,0.6708466587193761,2.5228707790374756,2.5535011291503906,0.06645007574324434
11,2.0,-0.13682225594227088,0.32779953895024827,0.9578100666067606,-0.2236932398492654,0.7757173145116797,-0.05770937561532747,0.892250115356524,-0.15547048808848035,-0.33718943496177406,0.8119873168652412,0.5242677117298425,0.40367900457195494,0.7044399606962408,0.1398066231882807,1.8497259318559307,2.6202542781829834,2.7046403884887695,0.07558234481148518
11,5.0,0.7518037193944181,-0.06037587526784331,0.969642332193319,-0.27770397737093705,0.8598985285636815,0.8337613501943004,0.9388052662739068,-0.033928937723543225,-0.3555847189942479,0.3393645889220088,0.2211839199600168,0.6886766035984876,0.9004302089647479,1.0265237675010164,11.180846168170751,3.408858299255371,3.6952600479125977,0.09181091950118131
11,10.0,0.9115971847832346,0.9682365010946511,0.9748480599891548,0.5402371586578995,0.8693449571625094,0.9023442018404029,0.957421290810254,0.9234274278967816,0.8215453171887105,0.977743912311776,0.4480370804458012,0.884094181798812,0.9369663042959397,3.2578012320870657,32.75798930852897,5.830791473388672,6.361045837402344,0.09945058597472754
23,1.0,0.6202426266234471,0.27513545358244285,0.6430588297424809,0.943239693249753,0.9816063465144272,-0.37953476115728,0.3763967324760646,0.8877450998899552,0.4637955896472317,0.8263411321555624,0.05297513560832762,-0.05480590431813981,0.5276975462198104,0.07974245660134625,0.6606325078095341,2.506579637527466,2.513585329055786,0.1207062257135198
23,2.0,0.5021569746131233,-0.0518888979879387,0.8457762819090455,0.9266932113823763,0.9849678426083777,-0.4660359162517826,0.5565056784117849,0.8776825683856883,0.5981078215522321,0.9387697499434874,0.1590321733325714,0.00366392616534831,0.6399656183346749,0.21082406131147255,1.58218649735384,2.5834908485412598,2.6094446182250977,0.1332485529765736
23,5.0,0.6287609237456586,0.7398246572303657,0.9378280214303054,0.5070980154237197,0.9890428065825404,-0.41751683050338767,0.6016081546435298,0.8985814389539842,0.9385874281848938,0.9565257612279812,0.9158355462102231,0.9700094727891632,0.8687572877315249,1.1044103941318677,7.699577393158962,3.192620277404785,3.244579553604126,0.14343779375646398
23,10.0,0.9051378612436141,0.8955670738349069,0.9201481106491792,0.9595461103768008,0.9901508111206836,0.38762440031184753,0.6677811823905896,0.932249286356974,0.9364564562205848,0.9564989602063166,0.9691399208001424,0.9741206851099844,0.9399976179037499,3.501760516474653,24.629817761998968,5.034488201141357,4.965571403503418,0.1421756567715038
37,1.0,0.9525056567989093,0.9905580736230379,0.9244374831621124,0.6629357089506612,0.39493218408813874,0.38358703240331454,-0.32741067902139426,0.9166493992007825,0.464004258619467,0.15527462256599253,0.929812955771287,0.07918178338964958,0.6296522152779727,0.09309323903227734,0.7741579496979706,2.520770788192749,2.5490565299987793,0.12025096308653378
37,2.0,0.9654505608222202,0.9928598545927413,0.9575880900684136,0.6350480614974711,0.6330669844461284,0.3671985060879558,-0.3925729251068327,0.9309052973295139,0.7713287780379479,-0.14590605328689393,0.9475991574515058,0.07972999981575657,0.7340468337064948,0.2714555263270727,1.9977385977778153,2.6036384105682373,2.667149543762207,0.13588140441848914
37,5.0,0.969251681723628,0.9924037292635279,0.9135442327093657,0.6401579883623054,0.9640517661120167,0.43308972197351053,-0.2752567181058475,0.9442250972979002,0.972485390946205,0.3510665985600144,0.9585715639083806,0.32887931572198625,0.9017974282803136,1.7198480662489413,10.220184988096186,3.260606050491333,3.350661516189575,0.16827954369241943
37,10.0,0.9667869864836462,0.9918439562060343,0.963992403371342,0.985369824544184,0.9851386001727852,0.9310325429475848,0.6507451118424437,0.9549401718698272,0.9820478034282407,0.9245294374003036,0.9237041629768038,0.8620643582361077,0.9508708841042751,5.501250478768458,33.95642288321059,5.364687442779541,5.284523010253906,0.16200912851419622
