condition,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
analog,3,0.5593607305936074,0.5453532578532578,0.5348896824294379,0.010462501586657208,0.013145711431784935,0.025019401901565548
if_beta1_charge,3,0.5593607305936074,0.5453532578532578,0.5348896824294379,0.010462501586657208,0.013145711431784935,0.025019401901565548
if_beta1_count,3,0.3333333333333333,0.3219028656528656,0.29521093145094807,0.03447412984141895,0.035217040941620065,0.04566487419751198
lif_beta05_count,3,0.5365296803652968,0.5277694527694526,0.5147723640289756,0.02201746749085149,0.01926473637046082,0.02644190920219424
