seed,training_objective,evaluation_readout,split,best_epoch,accuracy,balanced_accuracy,macro_f1
11,raw_wcce,analog,test,100,0.5684931506849316,0.5505723443223443,0.5452973954880896
11,raw_wcce,lif_beta05,test,100,0.5342465753424658,0.512580475080475,0.5070692101129858
11,raw_wcce,softmax_vote,test,100,0.5273972602739726,0.5064886502386502,0.4891943102469418
11,raw_wcce,analog,train,100,0.8519793459552496,0.8518590012406096,0.8556339170204589
11,raw_wcce,lif_beta05,train,100,0.7573149741824441,0.7627700300654411,0.7579172476633063
11,raw_wcce,softmax_vote,train,100,0.7349397590361446,0.7292798457681786,0.7341159468085617
11,raw_wcce,analog,val,100,0.5634920634920635,0.5584114959114959,0.5529716538167083
11,raw_wcce,lif_beta05,val,100,0.49206349206349204,0.48754810004810006,0.4823005864104935
11,raw_wcce,softmax_vote,val,100,0.5,0.47514430014430015,0.4502315333134299
11,softmax_vote_wcce,analog,test,77,0.5273972602739726,0.5139423076923076,0.5075238759533005
11,softmax_vote_wcce,lif_beta05,test,77,0.5273972602739726,0.5181221556221556,0.5142021497594252
11,softmax_vote_wcce,softmax_vote,test,77,0.5,0.48212412587412584,0.47943709883554364
11,softmax_vote_wcce,analog,train,77,0.8330464716006885,0.8326382174855124,0.8357052824245713
11,softmax_vote_wcce,lif_beta05,train,77,0.7366609294320138,0.7373547933955277,0.7356119071082117
11,softmax_vote_wcce,softmax_vote,train,77,0.7865748709122203,0.7827777136231079,0.7891154594779692
11,softmax_vote_wcce,analog,val,77,0.5079365079365079,0.5057659932659934,0.5020053190538187
11,softmax_vote_wcce,lif_beta05,val,77,0.47619047619047616,0.47693602693602694,0.46423190560355726
11,softmax_vote_wcce,softmax_vote,val,77,0.48412698412698413,0.46495911495911496,0.4542012176021297
11,tsce,analog,test,90,0.547945205479452,0.5289495226995227,0.5165458579109649
11,tsce,lif_beta05,test,90,0.5273972602739726,0.5072594072594072,0.49868757103041195
11,tsce,softmax_vote,test,90,0.5547945205479452,0.5318896381396381,0.5132023915716198
11,tsce,analog,train,90,0.846815834767642,0.8445393840269381,0.8490365258563323
11,tsce,lif_beta05,train,90,0.8072289156626506,0.8026720657358286,0.8074554537269423
11,tsce,softmax_vote,train,90,0.8209982788296041,0.8168512791773908,0.8208349134164755
11,tsce,analog,val,90,0.5317460317460317,0.5148268398268399,0.5011608593732007
11,tsce,lif_beta05,val,90,0.46825396825396826,0.4632635882635882,0.458451367343373
11,tsce,softmax_vote,val,90,0.5555555555555556,0.5401575276575277,0.5388688764826847
23,raw_wcce,analog,test,28,0.547945205479452,0.5283182095682095,0.5155063884381423
23,raw_wcce,lif_beta05,test,28,0.4931506849315068,0.4749111999111999,0.44374540234447357
23,raw_wcce,softmax_vote,test,28,0.5342465753424658,0.5070138195138195,0.47868878273955723
23,raw_wcce,analog,train,28,0.6781411359724613,0.6623171473757591,0.6586652300520693
23,raw_wcce,lif_beta05,train,28,0.5783132530120482,0.5669766615851237,0.5629763007705476
23,raw_wcce,softmax_vote,train,28,0.5869191049913941,0.5668597322298408,0.5526380924132408
23,raw_wcce,analog,val,28,0.5079365079365079,0.48777657527657525,0.4555098332298877
