experiment,seed,condition,sampling_rate_hz,preserved_ms,block_samples,best_epoch,best_val_balanced_accuracy,accuracy,balanced_accuracy,macro_f1
experiment_1_1,11,shuffle_5ms,64.0,15.625,1.0,27,0.28019179894179896,0.21052631578947367,0.21560846560846558,0.20651996151996152
experiment_1_1,11,shuffle_50ms,64.0,46.875,3.0,31,0.29814814814814816,0.28421052631578947,0.29034391534391535,0.292051467051467
experiment_1_1,11,shuffle_100ms,64.0,93.75,6.0,12,0.3082010582010582,0.24210526315789474,0.22255291005291003,0.22314405330389986
experiment_1_1,11,shuffle_200ms,64.0,203.125,13.0,16,0.4507936507936508,0.3894736842105263,0.3811177248677249,0.3829611564905682
experiment_1_1,11,shuffle_500ms,64.0,500.0,32.0,23,0.6188161375661376,0.6631578947368421,0.6817129629629629,0.68255174291939
experiment_1_1,11,original,64.0,,,15,0.7145171957671957,0.6736842105263158,0.6848544973544973,0.6706683162935687
experiment_1_1,23,shuffle_5ms,64.0,15.625,1.0,10,0.2626984126984127,0.16842105263157894,0.15922619047619047,0.14576670842655495
experiment_1_1,23,shuffle_50ms,64.0,46.875,3.0,32,0.32916666666666666,0.22105263157894736,0.22718253968253968,0.19673627026568205
experiment_1_1,23,shuffle_100ms,64.0,93.75,6.0,12,0.29523809523809524,0.28421052631578947,0.3012566137566137,0.2798747276688453
experiment_1_1,23,shuffle_200ms,64.0,203.125,13.0,20,0.4393518518518518,0.4421052631578947,0.4153439153439154,0.3885219821171833
experiment_1_1,23,shuffle_500ms,64.0,500.0,32.0,22,0.5994708994708995,0.5368421052631579,0.5577050264550264,0.5575088257153474
experiment_1_1,23,original,64.0,,,33,0.7484126984126984,0.6947368421052632,0.7071759259259259,0.7025326038483933
experiment_1_1,37,shuffle_5ms,64.0,15.625,1.0,11,0.2673611111111111,0.18947368421052632,0.19593253968253968,0.19717525393995983
experiment_1_1,37,shuffle_50ms,64.0,46.875,3.0,27,0.32430555555555557,0.18947368421052632,0.18088624338624337,0.14766067266067265
experiment_1_1,37,shuffle_100ms,64.0,93.75,6.0,37,0.3673611111111111,0.23157894736842105,0.216765873015873,0.21191137566137566
experiment_1_1,37,shuffle_200ms,64.0,203.125,13.0,26,0.4721891534391534,0.3684210526315789,0.3693783068783068,0.3638082369700016
experiment_1_1,37,shuffle_500ms,64.0,500.0,32.0,14,0.6272486772486773,0.5368421052631579,0.5380291005291006,0.5337195892342951
experiment_1_1,37,original,64.0,,,16,0.7174933862433862,0.6421052631578947,0.6612103174603174,0.6584886518710048
experiment_1_1,53,shuffle_5ms,64.0,15.625,1.0,26,0.2780092592592593,0.14736842105263157,0.13921957671957672,0.12939805292746467
experiment_1_1,53,shuffle_50ms,64.0,46.875,3.0,15,0.22870370370370371,0.3263157894736842,0.32589285714285715,0.32166301859284313
experiment_1_1,53,shuffle_100ms,64.0,93.75,6.0,10,0.32023809523809527,0.2736842105263158,0.25380291005291006,0.2589608677069977
experiment_1_1,53,shuffle_200ms,64.0,203.125,13.0,19,0.47195767195767196,0.4,0.39533730158730146,0.3791494582129257
experiment_1_1,53,shuffle_500ms,64.0,500.0,32.0,13,0.567526455026455,0.5789473684210527,0.5815145502645503,0.581471848618055
experiment_1_1,53,original,64.0,,,12,0.6600859788359789,0.7052631578947368,0.724371693121693,0.7155886973401108
experiment_1_1,71,shuffle_5ms,64.0,15.625,1.0,10,0.2426587301587301,0.2,0.20667989417989419,0.1938942967928475
experiment_1_1,71,shuffle_50ms,64.0,46.875,3.0,12,0.2708333333333333,0.2,0.2063492063492063,0.20388548233375822
experiment_1_1,71,shuffle_100ms,64.0,93.75,6.0,10,0.3515873015873016,0.28421052631578947,0.28571428571428575,0.2931942123828089
experiment_1_1,71,shuffle_200ms,64.0,203.125,13.0,33,0.4676587301587302,0.3368421052631579,0.31812169312169314,0.3046858417702408
experiment_1_1,71,shuffle_500ms,64.0,500.0,32.0,16,0.6063161375661376,0.5894736842105263,0.609292328042328,0.5854288685171039
experiment_1_1,71,original,64.0,,,16,0.7386574074074074,0.6947368421052632,0.7098214285714285,0.6982315321131111
