split,metric,mean,sd,sem
val,mean_max_q,0.26073127024895415,0.06032802941995019,0.026979514946323165
val,median_max_q,0.24010854363441467,0.054633029424857364,0.02443263352214546
val,mean_top1_top2_margin,0.08300243649344272,0.050496306079252366,0.022582634601168834
val,median_top1_top2_margin,0.048790383338928225,0.03756990457802153,0.016801772108927335
val,mean_entropy,1.9131409462825624,0.09560677526744646,0.042756649721511185
val,normalized_entropy,0.9200263185744906,0.04597714018457687,0.02056160217275022
val,mean_effective_states,6.854209388326751,0.6211525651118162,0.277787871997677
val,fraction_max_q_ge_0.3,0.27465542972522167,0.20725106285624928,0.09268549299113102
val,fraction_max_q_ge_0.4,0.11691686419102798,0.11919619525730735,0.05330615905093545
val,fraction_max_q_ge_0.5,0.037433061188657704,0.04199409925841129,0.01878033211913623
val,fraction_max_q_ge_0.6,0.00595206742164867,0.009639652550650074,0.00431098367654656
test,mean_max_q,0.2716661693472749,0.05732651452395085,0.025637196677736618
test,median_max_q,0.25440515875816344,0.05146483701967995,0.02301577480539041
test,mean_top1_top2_margin,0.09038510251798926,0.05068473834557542,0.022666904072499373
test,median_top1_top2_margin,0.05767320096492767,0.037898294693378375,0.016948632633142717
test,mean_entropy,1.8952256686624227,0.08806754946826655,0.03938500544457389
test,normalized_entropy,0.9114108911815825,0.04235153896037054,0.018940184013423858
test,mean_effective_states,6.734012755810622,0.5690129977986651,0.25447034863175066
test,fraction_max_q_ge_0.3,0.31408217362491714,0.20960610131832108,0.09373869820929484
test,fraction_max_q_ge_0.4,0.13560304837640821,0.11494169350877113,0.05140348802691171
test,fraction_max_q_ge_0.5,0.04332339297548045,0.04419983096907134,0.019766765328168782
test,fraction_max_q_ge_0.6,0.005003313452617628,0.005708077332713235,0.0025527297873544955
