seed,split,variant,balanced_accuracy,mean_shuffled_balanced_accuracy,ordered_minus_shuffled_balanced_accuracy
11,val,tau_1.00,0.543001443001443,0.47917869167869165,0.06382275132275139
11,val,tau_0.80,0.5324795574795574,0.4827032227032227,0.04977633477633475
11,val,tau_0.60,0.5483826358826359,0.4807599807599807,0.0676226551226552
11,val,tau_0.40,0.5596560846560847,0.4558742183742184,0.10378186628186636
11,val,tau_0.25,0.5103835978835979,0.43351972101972097,0.07686387686387691
11,val,hard_top1,0.4663720538720539,0.43424603174603177,0.032126022126022113
11,test,tau_1.00,0.4840354090354089,0.49095973470973464,-0.006924325674325715
11,test,tau_0.80,0.4702838827838827,0.5022366522366523,-0.031952769452769536
11,test,tau_0.60,0.47957320457320457,0.4790299977799977,0.0005432067932068518
11,test,tau_0.40,0.46742077367077367,0.46646187146187146,0.0009589022089022126
11,test,tau_0.25,0.4471826784326784,0.4667965367965368,-0.019613858363858427
11,test,hard_top1,0.39635503385503384,0.4053954378954379,-0.00904040404040407
23,val,tau_1.00,0.5754088504088504,0.5050493025493026,0.07035954785954779
23,val,tau_0.80,0.5615199615199616,0.5011243386243386,0.06039562289562306
23,val,tau_0.60,0.5836159211159211,0.5164357864357865,0.06718013468013462
23,val,tau_0.40,0.4957852332852332,0.5061327561327562,-0.010347522847522994
23,val,tau_0.25,0.3781565656565657,0.4245262145262146,-0.046369648869648894
23,val,hard_top1,0.3198232323232323,0.3615055315055315,-0.04168229918229921
23,test,tau_1.00,0.5510073260073259,0.5271978021978022,0.023809523809523725
23,test,tau_0.80,0.5526307026307026,0.5545315795315795,-0.0019008769008769244
23,test,tau_0.60,0.5159493284493285,0.5474897324897324,-0.031540404040403924
23,test,tau_0.40,0.494259213009213,0.5093205405705405,-0.015061327561327553
23,test,tau_0.25,0.4760413197913198,0.4769251581751582,-0.0008838383838383757
23,test,hard_top1,0.4154283216783216,0.4272137584637584,-0.01178543678543681
37,val,tau_1.00,0.5501082251082251,0.47853896103896104,0.07156926406926406
37,val,tau_0.80,0.5243145743145744,0.48447330447330444,0.039841269841269955
37,val,tau_0.60,0.4928330928330929,0.46637806637806634,0.026455026455026565
37,val,tau_0.40,0.4685906685906686,0.42414261664261665,0.04444805194805196
37,val,tau_0.25,0.4249037999037999,0.4115271765271765,0.013376623376623376
37,val,hard_top1,0.39077681577681583,0.3801455026455026,0.010631313131313214
37,test,tau_1.00,0.5509400321900321,0.5394119769119768,0.011528055278055227
37,test,tau_0.80,0.5607704795204795,0.5161002886002886,0.04467019092019098
37,test,tau_0.60,0.5554494116994116,0.5028535353535353,0.05259587634587637
37,test,tau_0.40,0.528041403041403,0.46810064935064927,0.059940753690753745
37,test,tau_0.25,0.5066378066378067,0.4631872294372294,0.04345057720057727
37,test,hard_top1,0.4460879398379398,0.4290313852813853,0.017056554556554526
53,val,tau_1.00,0.553517316017316,0.5200721500721499,0.03344516594516611
53,val,tau_0.80,0.5326839826839828,0.5251046176046176,0.007579365079365186
53,val,tau_0.60,0.5181637806637807,0.5375072150072151,-0.01934343434343444
53,val,tau_0.40,0.5175324675324675,0.5183658008658009,-0.0008333333333333526
53,val,tau_0.25,0.469047619047619,0.476446608946609,-0.007398989898990016
53,val,hard_top1,0.31121332371332366,0.36571789321789316,-0.0545045695045695
53,test,tau_1.00,0.5112769175269175,0.5084197746697747,0.0028571428571427804
53,test,tau_0.80,0.4973880286380286,0.5073086635586636,-0.009920634920634941
53,test,tau_0.60,0.4854832667332667,0.4858190420690421,-0.0003357753357753901
53,test,tau_0.40,0.46518412143412147,0.48444957819957823,-0.019265456765456768
53,test,tau_0.25,0.4193237318237318,0.4600462037962038,-0.04072247197247203
53,test,hard_top1,0.36998210123210123,0.40313020313020315,-0.03314810189810191
71,val,tau_1.00,0.5390031265031267,0.49944083694083696,0.03956228956228969
71,val,tau_0.80,0.5320226070226072,0.5143578643578643,0.017664742664742827
71,val,tau_0.60,0.5048400673400674,0.4890343915343916,0.015805675805675767
71,val,tau_0.40,0.4448833573833573,0.4416305916305917,0.0032527657527656184
71,val,tau_0.25,0.42031625781625787,0.41353535353535353,0.006780904280904332
71,val,hard_top1,0.32116402116402115,0.3576070226070226,-0.036443001443001444
71,test,tau_1.00,0.5023982961482961,0.5051552614052615,-0.002756965256965338
71,test,tau_0.80,0.5063665501165501,0.4915383227883227,0.014828227328227361
71,test,tau_0.60,0.4714500777000777,0.5058885558885559,-0.03443847818847817
71,test,tau_0.40,0.45061674436674437,0.48387862137862137,-0.033261877011876995
71,test,tau_0.25,0.427763209013209,0.46693417693417694,-0.039170967920967914
71,test,hard_top1,0.41543664668664665,0.4252625152625152,-0.009825868575868535
