accuracy,balanced_accuracy,loss,macro_f1,n_samples,replicate,seed,split,variant
0.4603174603174603,0.4619167869167869,2.557235827586816,0.46373584694679565,126,0,11,val,tau_1.00
0.47619047619047616,0.47580567580567584,2.48790639406148,0.4850591795209173,126,1,11,val,tau_1.00
0.49206349206349204,0.4946548821548821,2.5333859399452803,0.5016423554373329,126,2,11,val,tau_1.00
0.47619047619047616,0.4807659932659933,2.5153513031529844,0.4811401561401562,126,3,11,val,tau_1.00
0.48412698412698413,0.48275012025012026,2.545744938362849,0.4857084332214414,126,4,11,val,tau_1.00
0.47619047619047616,0.4751743626743627,2.5873273848168967,0.4842234848484848,126,0,11,val,tau_0.80
0.47619047619047616,0.47580567580567573,2.6088188899178983,0.4836678759986069,126,1,11,val,tau_0.80
0.5,0.5079485329485328,2.5977996894885007,0.5143562270099511,126,2,11,val,tau_0.80
0.47619047619047616,0.4807659932659933,2.6164171987472735,0.4947610040234091,126,3,11,val,tau_0.80
0.46825396825396826,0.47382154882154875,2.6350135786538074,0.48203492969654294,126,4,11,val,tau_0.80
0.47619047619047616,0.48353775853775854,2.7845375270773944,0.4895209855503973,126,0,11,val,tau_0.60
0.47619047619047616,0.4835377585377585,2.7207821990099115,0.4964945964464393,126,1,11,val,tau_0.60
0.47619047619047616,0.4835377585377585,2.782556156714776,0.4906579939668176,126,2,11,val,tau_0.60
0.46825396825396826,0.47659331409331407,2.8306240596425223,0.47832049176876773,126,3,11,val,tau_0.60
0.46825396825396826,0.47659331409331407,2.822990125466879,0.479908049466873,126,4,11,val,tau_0.60
0.4365079365079365,0.4466269841269841,3.2004504475494735,0.44418149831636006,126,0,11,val,tau_0.40
0.47619047619047616,0.4816498316498316,3.127654310891173,0.481350556760994,126,1,11,val,tau_0.40
0.42857142857142855,0.43303872053872056,3.2357883528744473,0.4326400268834479,126,2,11,val,tau_0.40
0.4523809523809524,0.45787037037037037,3.1341320576383027,0.45070708823184774,126,3,11,val,tau_0.40
0.4523809523809524,0.4601851851851852,3.2326652640637947,0.4526842929283506,126,4,11,val,tau_0.40
0.42857142857142855,0.4353535353535353,3.6109078028563486,0.4331395195791481,126,0,11,val,tau_0.25
0.42857142857142855,0.4324074074074074,3.554336054951519,0.43225173877886225,126,1,11,val,tau_0.25
0.4444444444444444,0.44629629629629625,3.712790546625466,0.44850673270371416,126,2,11,val,tau_0.25
0.42063492063492064,0.42050264550264554,3.651788493728926,0.42499862388388404,126,3,11,val,tau_0.25
0.42857142857142855,0.43303872053872056,3.69629164215729,0.4449246007306342,126,4,11,val,tau_0.25
0.42063492063492064,0.4228174603174603,4.1735527214023,0.4112731328987696,126,0,11,val,hard_top1
0.4523809523809524,0.45462962962962955,4.21075325884748,0.4462581321327452,126,1,11,val,hard_top1
0.4444444444444444,0.4413359788359788,4.407586191302874,0.4389692216397865,126,2,11,val,hard_top1
