scope,split,metric,mean,sd,sem
weight,all,weight_cosine_similarity,0.27229102445661313,0.08554324302354015,0.03825610128328408
weight,all,weight_l2_distance,1.5959463635499394,0.023538537013849874,0.010526753770772645
weight,all,weight_relative_l2_distance,1.2049300842036685,0.06948359833439025,0.031074009839397548
functional,val,mean_evidence_l1_difference,2.941190961976717,0.3709043011086019,0.16587344608517687
functional,val,mean_evidence_l2_difference,1.0456083321551206,0.13830990827598316,0.061854071373371816
functional,val,mean_relative_evidence_l2_difference,1.2266950934770364,0.0615838614021213,0.027541140082413745
functional,val,mean_evidence_cosine_similarity,0.2448819709952308,0.07691552273828862,0.034397667473548825
functional,val,top_support_disagreement_rate,0.8649141011141435,0.013903016678753157,0.006217618077201083
functional,val,active_what_fraction,0.8012817136335704,0.018019089684623135,0.008058381885496515
functional,test,mean_evidence_l1_difference,3.288969179037305,0.44099097197931164,0.19721715816188914
functional,test,mean_evidence_l2_difference,1.170091796039557,0.1635196034831863,0.0731281898084432
functional,test,mean_relative_evidence_l2_difference,1.2366219329009198,0.05887879670410567,0.026331398372754167
functional,test,mean_evidence_cosine_similarity,0.23200689336513855,0.07391975365339859,0.03305791880980753
functional,test,top_support_disagreement_rate,0.8632408644613629,0.01498831290710436,0.006702977305664568
functional,test,active_what_fraction,0.8378396288933068,0.004160247259412291,0.0018605191350506167
