split,variant,mean_balanced_accuracy,sd_balanced_accuracy,sem_balanced_accuracy,mean_delta_balanced_accuracy_vs_tau1,nonnegative_delta_seed_count,mean_max_q,mean_top1_top2_margin,mean_entropy,mean_effective_states
val,tau_1.00,0.5522077922077923,0.014173321755532462,0.006338502182469448,0.0,5,0.2607312704543341,0.08300243668868443,1.9131409484931958,6.854209404332434
val,tau_0.80,0.5366041366041367,0.014363163348685745,0.006423401923918968,-0.015603655603655554,0,0.29824197924871776,0.11294990274899827,1.8350393448887226,6.41534595209191
val,tau_0.60,0.5295670995670996,0.03662700019507176,0.0163800924496157,-0.02264069264069265,2,0.3568043016283832,0.1636790128298854,1.6978435090315194,5.745557618315386
val,tau_0.40,0.49728956228956234,0.04436118275793599,0.019838924041807295,-0.054918229918229956,1,0.45193751513612623,0.2546180923522242,1.448771799905985,4.735004989261966
val,tau_0.25,0.44056156806156804,0.05058654357887072,0.022622990037822085,-0.11164622414622416,0,0.5643315452144705,0.374532642509439,1.1382968144260848,3.6763006639538816
val,hard_top1,0.3618698893698894,0.06660947661414923,0.02978866353098404,-0.19033790283790286,0,1.0,1.0,0.0,1.0
test,tau_1.00,0.5199315961815961,0.029992000651001022,0.013412830447371245,0.0,5,0.27166616950354444,0.09038510275523273,1.8952256707792237,6.734012771053005
test,tau_0.80,0.5174879287379287,0.03828938090391521,0.01712353170350735,-0.0024436674436674076,3,0.3121411905245642,0.12311029772880881,1.8087676090853226,6.254388553544303
test,tau_0.60,0.5015810578310579,0.03449495323937581,0.015426612064784177,-0.018350538350538292,1,0.37478621404585927,0.17822252573060318,1.6582698204692796,5.535666865222327
test,tau_0.40,0.48110445110445105,0.03060361663655142,0.013686353431334489,-0.038827145077145006,0,0.4745207065399156,0.2754861639312558,1.391604997650684,4.488845075447061
test,tau_0.25,0.45538974913974917,0.03600066006927678,0.016099984629953035,-0.06454184704184698,0,0.588750976503557,0.4005237351058052,1.0726527347797163,3.4465230187260274
test,hard_top1,0.4086580086580086,0.028017743593438664,0.012529915850217616,-0.11127358752358747,0,1.0,1.0,0.0,1.0
