expert_a,expert_b,seed,weight_cosine_similarity,weight_l2_distance,weight_relative_l2_distance
0,1,11,0.338814499473918,1.5606028758993786,1.1499695905936855
0,2,11,0.33770153556416715,1.6293824823370107,1.152390730862496
0,3,11,0.3650323391958311,1.5749713330194213,1.1276019043855863
0,4,11,0.3410306298800195,1.6033860769329336,1.1486457365864766
0,5,11,0.32010460466959834,1.5941222322561333,1.16610848179156
0,6,11,0.3071766078006591,1.6073109318841705,1.1771373371524345
0,7,11,0.3783830600481827,1.5969657746018187,1.117596374818567
1,2,11,0.32179853232683503,1.6418915876844764,1.166495998968746
1,3,11,0.29703093631416067,1.6498311831999488,1.186612429617564
1,4,11,0.33197505425839613,1.60736091968009,1.156774893811405
1,5,11,0.34464345280111663,1.5578687892552725,1.1449267518023043
1,6,11,0.32478553240620256,1.5794026597556,1.1621226941559712
1,7,11,0.35952655858076266,1.6143859796075712,1.1348491934481164
2,3,11,0.35145278083508785,1.6484629323282667,1.139067573788187
2,4,11,0.3500684331673623,1.6492744161195312,1.1402992465768036
2,5,11,0.3420779283700764,1.6278348425238953,1.148380944919038
2,6,11,0.33907516030115226,1.6298165093440216,1.1510815420098373
2,7,11,0.38717523824035954,1.638008076421648,1.1072196143453932
3,4,11,0.3309025800316382,1.653283002198218,1.1568041255407795
3,5,11,0.3101206718493286,1.645577823456262,1.1751328821595142
3,6,11,0.33262026068976225,1.616784915043107,1.1558955023883795
3,7,11,0.37941639115299985,1.6298998708115184,1.114676554607088
4,5,11,0.2771107342668464,1.6833759167668816,1.202856537421068
4,6,11,0.3224031308314867,1.628061911128038,1.164666851858354
4,7,11,0.4002833145192892,1.6014231202642126,1.095839681007036
5,6,11,0.3009544192206558,1.618755202549808,1.182410560537292
5,7,11,0.31475802513509976,1.6800154087757475,1.172770733188418
6,7,11,0.3540850218985105,1.6297108541707945,1.138929902193761
0,1,23,0.30690609593245166,1.6028618659096097,1.1774103362158934
0,2,23,0.3008006514006365,1.6224888957241157,1.1825413534470428
0,3,23,0.3352683052523247,1.5947959119069761,1.153125170767155
0,4,23,0.3156638100657575,1.6100989417279914,1.1699253522925575
0,5,23,0.3156999941431334,1.5885484452298704,1.1699639568010725
0,6,23,0.346009679053089,1.5798879071095846,1.1437479884155055
0,7,23,0.3008257210394127,1.6171373804225724,1.1825216664828595
1,2,23,0.30373338162083774,1.6088797338077323,1.180124387306678
1,3,23,0.34309383973151064,1.575644391260965,1.1465079712649413
1,4,23,0.3292795287187224,1.58405455209997,1.158342076691989
1,5,23,0.2745847037411928,1.6249508253160054,1.2045117020236404
1,6,23,0.293363945953263,1.632082497395186,1.1890417147094123
1,7,23,0.2835248868627532,1.6266071625598217,1.1970812255436654
2,3,23,0.3122869825284754,1.624392823149724,1.1728559766160078
2,4,23,0.29019606182016117,1.6421130141904234,1.1914830667115457
2,5,23,0.29126907130161,1.6190355048424365,1.1906913523170952
2,6,23,0.31033085371405555,1.624682139782043,1.1745026520933883
2,7,23,0.32827751068121247,1.5873660919077561,1.1590831269998998
3,4,23,0.334129800869017,1.6031831198620825,1.1540381072428434
3,5,23,0.33586079513798683,1.580317239616752,1.1529027050755007
3,6,23,0.3558685461203195,1.5825320784073447,1.135018465718258
3,7,23,0.3161136367165276,1.6146995534332922,1.169659793935551
4,5,23,0.2948385753019095,1.620057848999365,1.1877699617381245
4,6,23,0.31578143732239716,1.6231200854736747,1.169817277524906
4,7,23,0.29955340165051597,1.6259705957054664,1.18363745824653
5,6,23,0.3368316682939953,1.5771408539992366,1.1520103265513413
5,7,23,0.2941912062550151,1.6102593484015568,1.1881716042030466
6,7,23,0.2935189349558661,1.6390926221425968,1.1887897186522922
0,1,37,0.3333012233763288,1.6080040936914672,1.1553810270532872
0,2,37,0.3169455220363058,1.6151480361351238,1.1691149770292588
0,3,37,0.3215760457500828,1.6020355650256015,1.1650010519120926
0,4,37,0.32673779504862727,1.5846965395733457,1.1604280451623052
0,5,37,0.31073420747393915,1.5836515013341386,1.1741691880506837
0,6,37,0.3309455457312155,1.6161821212329888,1.1575961404212978
0,7,37,0.37094067949839554,1.5653736652101238,1.1224695282113433
1,2,37,0.3750352215193815,1.581625781523828,1.1180669144908328
1,3,37,0.3521643511363369,1.6031873751911785,1.1384409429612803
1,4,37,0.3435211738449411,1.6032730792063197,1.1462530405913662
1,5,37,0.3272677856356786,1.6043803131772598,1.161049567116147
1,6,37,0.290131695055409,1.7030019219119643,1.1915372762183087
1,7,37,0.3606104039180922,1.614465169694439,1.130835915914322
2,3,37,0.358166105268053,1.583946515809059,1.1330155811963587
2,4,37,0.3392216682292027,1.5963818942866916,1.149742531067192
2,5,37,0.3364228057839066,1.5810182809281448,1.1526839203257435
2,6,37,0.36550706260906374,1.598686328185664,1.1266217551140245
2,7,37,0.3825179206434988,1.5753307310665772,1.111395130077377
3,4,37,0.3357352117145603,1.5931011587169859,1.152673588502308
3,5,37,0.3426600181974983,1.5659524400487705,1.147032557362108
3,6,37,0.29769651596741337,1.6745390241511,1.1854035047721418
3,7,37,0.3251036782110851,1.6396814474520638,1.1620223070930311
4,5,37,0.27865831659676965,1.628575895192365,1.20128241349703
4,6,37,0.33277463828942466,1.6216165350406733,1.1557307368359897
4,7,37,0.3717345495804027,1.5717851207488152,1.1214734803694222
5,6,37,0.29649791038032497,1.6460878264546606,1.1874499276955273
5,7,37,0.36208292832816114,1.565846012611209,1.1308490124356885
6,7,37,0.3672663114097149,1.6109868258675144,1.1249314107340482
0,1,53,0.13068031535202695,1.5590743595920928,1.3188482293570152
0,2,53,0.1449053433883565,1.538162463755796,1.30788509632955
0,3,53,0.13790161281659344,1.532685051254054,1.3131110339896432
0,4,53,0.12381902401362865,1.559090478293069,1.3239363919326237
0,5,53,0.10754635786590899,1.568601732152194,1.336105468414819
0,6,53,0.11156940618264068,1.5841696871357658,1.3334206245141513
0,7,53,0.0834621625123547,1.600195844719804,1.3541557607563761
1,2,53,0.14547258249168302,1.5651116549006,1.30733083876558
1,3,53,0.14144462276498035,1.5573329857999678,1.3105232527444552
1,4,53,0.18009318431161855,1.535051812691627,1.2805652473428881
1,5,53,0.10682815303360348,1.5973775031599842,1.3365800893267237
1,6,53,0.15458556539501253,1.5723215945674647,1.3003399044967598
1,7,53,0.17269040196048127,1.547192455102949,1.2863201517954206
2,3,53,0.1599969068928103,1.5324322690486993,1.2962006960335457
2,4,53,0.13497806552788652,1.5687077074599654,1.3153127754752045
2,5,53,0.07086052404583913,1.6208908210832746,1.3631894103055808
2,6,53,0.12616143240336083,1.5905730079114697,1.3220818830103997
2,7,53,0.11999456831443504,1.5876625809499108,1.326672655865456
3,4,53,0.14655224510424572,1.5466912141082767,1.3065498531401025
3,5,53,0.13259738362499474,1.554487042502478,1.317148547121125
3,6,53,0.16451529606481965,1.5440607672089819,1.2929339360500787
3,7,53,0.14556868512303567,1.5529838503529674,1.307364863242285
4,5,53,0.1663044472675638,1.5373913591624249,1.2912832820222655
4,6,53,0.1478656808575171,1.5726966852032847,1.305542342770163
4,7,53,0.15186875082856985,1.5606520745340298,1.3024166553263246
5,6,53,0.14547037364988613,1.5702543614216138,1.3074296477121372
5,7,53,0.17889993255634667,1.5309917000966151,1.2815216073387175
6,7,53,0.1810555840399536,1.5469333848112028,1.2798258346898133
0,1,71,0.2365833687916171,1.589598674771973,1.2356657357458793
0,2,71,0.26500181108423604,1.5388740176363416,1.2125327943842394
0,3,71,0.23351292594011266,1.5981092468381755,1.2381839755639097
0,4,71,0.26811714102063533,1.5622456956109334,1.2099211409248296
0,5,71,0.24992587483443285,1.558319630381984,1.2248592425585072
0,6,71,0.2331192212238184,1.5968797960828132,1.2384885779334196
0,7,71,0.22869530344336533,1.5640206775681016,1.2423356294461372
1,2,71,0.22720096114519037,1.584201166807768,1.243402638890369
1,3,71,0.20450161686472798,1.634256836426912,1.261357512160948
1,4,71,0.2600460536488929,1.5767933783186225,1.216528650195308
1,5,71,0.23418632369187162,1.5807928004433986,1.2377123753883958
1,6,71,0.24147140380967722,1.5942100815996842,1.2316939812992824
1,7,71,0.22943673744313248,1.5696008893006828,1.2418897784777143
2,3,71,0.2006798992363455,1.616647162904209,1.264643229699882
2,4,71,0.2618615143117398,1.5542260118759765,1.2153302696681687
2,5,71,0.20487554967564112,1.588802935960722,1.261056511292437
2,6,71,0.24053338289937715,1.5742014124468136,1.2327028586190771
2,7,71,0.19796518592926735,1.5789087418929881,1.2665820840324014
3,4,71,0.2367844796646497,1.606627365279785,1.2354883320117727
3,5,71,0.20611499136327394,1.6149627537806717,1.260265745594587
3,6,71,0.2365257183901967,1.6046538289241268,1.2356986204203282
3,7,71,0.21111489654068802,1.5936660146973813,1.2566975661809048
4,5,71,0.2661495026649731,1.5533640999243907,1.211715508280236
4,6,71,0.2118188558161268,1.6310505260521275,1.2555345622518308
4,7,71,0.23054285581268505,1.5746071612770067,1.2411711117396502
5,6,71,0.27424810438386693,1.542529607764544,1.2049731718826733
5,7,71,0.23289534179448632,1.5480519123439744,1.2387449077217585
6,7,71,0.21287804286318668,1.5901817632308284,1.2552468579445875
