fraction_max_q_ge_0.3,fraction_max_q_ge_0.4,fraction_max_q_ge_0.5,fraction_max_q_ge_0.6,mean_effective_states,mean_entropy,mean_max_q,mean_top1_top2_margin,median_max_q,median_top1_top2_margin,n_timesteps,normalized_entropy,p10_max_q,p25_max_q,p75_max_q,p90_max_q,seed,split
0.42761829514529015,0.18198577824598366,0.05908173119129137,0.022912825915196208,6.2343943619011055,1.8153173062315966,0.30684641173930116,0.1050001865339681,0.28000742197036743,0.05487446486949921,11391,0.8729830917800788,0.19751951098442078,0.23156389594078064,0.36529070138931274,0.45977944135665894,11,val
0.47051027170311466,0.20444002650762094,0.07173624917163685,0.013916500994035786,6.226326204555152,1.8157099153470877,0.31353815393911205,0.11588279435021039,0.29239846765995026,0.06817283481359482,12072,0.8731718968547211,0.19751951098442078,0.23215798661112785,0.37414319068193436,0.47399131059646604,11,test
0.3055043455359494,0.09665525414801159,0.027916776402422964,0.003862698621718901,6.755626381855153,1.9006146056332287,0.2696218289040502,0.08240579475299833,0.2489522099494934,0.044274479150772095,11391,0.9140024220627307,0.17962780594825745,0.18985014408826828,0.31864240765571594,0.3976743817329407,23,val
0.35379390324718357,0.1365970841616965,0.039512922465208745,0.005218687872763419,6.602367083351081,1.876327002910154,0.2842087457987194,0.09632162891718392,0.26369987428188324,0.057817310094833374,12072,0.9023225540615103,0.1818572595715523,0.20317168906331062,0.3402823433279991,0.42849308252334595,23,test
0.5068914054955667,0.2869809498727065,0.0989377578790273,0.0029848125713282415,6.295396639991232,1.8280315548279185,0.3285613801379711,0.15543378111275574,0.3032982349395752,0.10928995907306671,11391,0.8790973529129265,0.20307423174381256,0.23614642024040222,0.4158734679222107,0.4994620978832245,37,val
0.5310636182902585,0.28586812458581845,0.10238568588469185,0.005881378396288933,6.210695294056987,1.8141756707574868,0.33262976257141613,0.1566853073670611,0.3113083094358444,0.11456375569105148,12072,0.872434081167745,0.20566288530826568,0.2421232834458351,0.4193030968308449,0.5023640930652619,37,test
0.00754982003335967,0.0,0.0,0.0,7.596562990689303,2.0265303984804754,0.18914001018198742,0.030311851688896885,0.1817350536584854,0.01671251654624939,11391,0.9745551186995057,0.14880988001823425,0.15004438161849976,0.21462363004684448,0.24675880372524261,53,val
0.0145791915175613,0.0,0.0,0.0,7.50280577973293,2.013861318508019,0.1932151220242676,0.027049472271615974,0.18818927556276321,0.016228683292865753,12072,0.9684625790832094,0.149274542927742,0.1575290784239769,0.21805456280708313,0.24629119634628294,53,test
0.1257132824159424,0.01896233868843824,0.001229040470546923,0.0,7.389066567196961,1.9952108662395927,0.20948672028146106,0.04186056837859454,0.18654979765415192,0.01880049705505371,11391,0.9594936074172111,0.1479397565126419,0.15019193291664124,0.24366074800491333,0.3150036931037903,71,val
0.20046388336646787,0.051110006626905236,0.002982107355864811,0.0,7.127869417356955,1.9560544357893674,0.23473906240285905,0.05598630968387491,0.21642986685037613,0.03158342093229294,12072,0.9406633447407267,0.14864091575145721,0.16427971422672272,0.28206896781921387,0.3550898402929306,71,test
