contrast,architecture,family,regularization,metric,n,delta_mean,delta_std
leak_effect_valid,234x234,s1_spike_wc_beta05,task_only,accuracy,3,-0.02511415525114156,0.0240540040019469
leak_effect_valid,234x234,s1_spike_wc_beta05,task_only,balanced_accuracy,3,-0.01933020683020681,0.02470168343476183
leak_effect_valid,234x234,s1_spike_wc_beta05,task_only,macro_f1,3,-0.014692735147425492,0.03466887687600343
leak_effect_valid,234x234,s1_spike_wc_beta05,task_plus_reg,accuracy,3,-0.06164383561643836,0.013698630136986273
leak_effect_valid,234x234,s1_spike_wc_beta05,task_plus_reg,balanced_accuracy,3,-0.06065115440115439,0.010936908881494171
leak_effect_valid,234x234,s1_spike_wc_beta05,task_plus_reg,macro_f1,3,-0.06166549653856521,0.009898541551742199
leak_effect_valid,234x234,s2_spike_tsce_beta05,task_only,accuracy,3,-0.01141552511415526,0.035147955064704695
leak_effect_valid,234x234,s2_spike_tsce_beta05,task_only,balanced_accuracy,3,-0.013446044696044665,0.03517427140419064
leak_effect_valid,234x234,s2_spike_tsce_beta05,task_only,macro_f1,3,-0.008403854049823514,0.032975956804005994
leak_effect_valid,234x234,s2_spike_tsce_beta05,task_plus_reg,accuracy,3,0.0091324200913242,0.017237064920709484
leak_effect_valid,234x234,s2_spike_tsce_beta05,task_plus_reg,balanced_accuracy,3,0.0065830003330003455,0.010241893512438082
leak_effect_valid,234x234,s2_spike_tsce_beta05,task_plus_reg,macro_f1,3,0.010905594031019957,0.03320800496894955
leak_effect_valid,234x234,s3_spike_wc_beta10,task_only,accuracy,3,0.02511415525114154,0.053201736062698846
leak_effect_valid,234x234,s3_spike_wc_beta10,task_only,balanced_accuracy,3,0.02354982979982978,0.05040176356049733
leak_effect_valid,234x234,s3_spike_wc_beta10,task_only,macro_f1,3,0.024951816212971063,0.04965404378518703
leak_effect_valid,234x234,s3_spike_wc_beta10,task_plus_reg,accuracy,3,0.0045662100456621,0.01425798629771321
leak_effect_valid,234x234,s3_spike_wc_beta10,task_plus_reg,balanced_accuracy,3,0.008014670514670521,0.01063407715360386
leak_effect_valid,234x234,s3_spike_wc_beta10,task_plus_reg,macro_f1,3,0.007526744713617787,0.011601394009509262
leak_effect_valid,234x234,s4_spike_tsce_beta10,task_only,accuracy,3,0.01598173515981734,0.01046250158665718
leak_effect_valid,234x234,s4_spike_tsce_beta10,task_only,balanced_accuracy,3,0.017582880082880104,0.01416986526212164
leak_effect_valid,234x234,s4_spike_tsce_beta10,task_only,macro_f1,3,0.0200352429009085,0.012933641116435041
leak_effect_valid,234x234,s4_spike_tsce_beta10,task_plus_reg,accuracy,3,0.011415525114155242,0.014257986297713241
leak_effect_valid,234x234,s4_spike_tsce_beta10,task_plus_reg,balanced_accuracy,3,0.010309135309135306,0.012221351345374335
leak_effect_valid,234x234,s4_spike_tsce_beta10,task_plus_reg,macro_f1,3,0.011560693396155411,0.012581154138946803
leak_effect_valid,34x345,s1_spike_wc_beta05,task_only,accuracy,3,-0.043378995433789945,0.01046250158665718
leak_effect_valid,34x345,s1_spike_wc_beta05,task_only,balanced_accuracy,3,-0.04230699855699852,0.00979967322719439
leak_effect_valid,34x345,s1_spike_wc_beta05,task_only,macro_f1,3,-0.041600307180647424,0.008661012385488128
leak_effect_valid,34x345,s1_spike_wc_beta05,task_plus_reg,accuracy,3,-0.0045662100456621,0.0518621766739751
leak_effect_valid,34x345,s1_spike_wc_beta05,task_plus_reg,balanced_accuracy,3,-0.006576987826987864,0.05125460154536877
leak_effect_valid,34x345,s1_spike_wc_beta05,task_plus_reg,macro_f1,3,-0.003462849184429221,0.05503659746745753
leak_effect_valid,34x345,s2_spike_tsce_beta05,task_only,accuracy,3,0.011415525114155242,0.027681177289913567
leak_effect_valid,34x345,s2_spike_tsce_beta05,task_only,balanced_accuracy,3,0.0126887001887002,0.02899059162629382
leak_effect_valid,34x345,s2_spike_tsce_beta05,task_only,macro_f1,3,0.012976938714790442,0.02926095280050365
leak_effect_valid,34x345,s2_spike_tsce_beta05,task_plus_reg,accuracy,3,0.002283105022831041,0.024054004001946905
leak_effect_valid,34x345,s2_spike_tsce_beta05,task_plus_reg,balanced_accuracy,3,0.001984126984126977,0.025551747124972386
leak_effect_valid,34x345,s2_spike_tsce_beta05,task_plus_reg,macro_f1,3,-0.006276634554652702,0.014535687269662752
leak_effect_valid,34x345,s3_spike_wc_beta10,task_only,accuracy,3,-0.0136986301369863,0.049391113362520396
leak_effect_valid,34x345,s3_spike_wc_beta10,task_only,balanced_accuracy,3,-0.009157740407740403,0.04992201632020849
leak_effect_valid,34x345,s3_spike_wc_beta10,task_only,macro_f1,3,-0.003255343843453218,0.050492265056343404
leak_effect_valid,34x345,s3_spike_wc_beta10,task_plus_reg,accuracy,3,0.02511415525114156,0.015817815594236305
leak_effect_valid,34x345,s3_spike_wc_beta10,task_plus_reg,balanced_accuracy,3,0.023543586043586046,0.01591082720791094
leak_effect_valid,34x345,s3_spike_wc_beta10,task_plus_reg,macro_f1,3,0.02883896994427576,0.017390614597375502
leak_effect_valid,34x345,s4_spike_tsce_beta10,task_only,accuracy,3,0.00684931506849316,0.018121584322360218
leak_effect_valid,34x345,s4_spike_tsce_beta10,task_only,balanced_accuracy,3,0.00898869648869649,0.016766281337358097
leak_effect_valid,34x345,s4_spike_tsce_beta10,task_only,macro_f1,3,0.013882582394664514,0.006617934203721804
leak_effect_valid,34x345,s4_spike_tsce_beta10,task_plus_reg,accuracy,3,0.00684931506849316,0.01186336169567725
leak_effect_valid,34x345,s4_spike_tsce_beta10,task_plus_reg,balanced_accuracy,3,0.006072631072631053,0.012370612404216517
leak_effect_valid,34x345,s4_spike_tsce_beta10,task_plus_reg,macro_f1,3,0.0065600759885812154,0.006248390574573889
lif_loss_beta05,234x234,s1_spike_wc_beta05,task_only,accuracy,3,0.01598173515981738,0.01046250158665715
lif_loss_beta05,234x234,s1_spike_wc_beta05,task_only,balanced_accuracy,3,0.017618955118955098,0.012179838501953071
lif_loss_beta05,234x234,s1_spike_wc_beta05,task_only,macro_f1,3,0.022877169730720442,0.016231085712351215
lif_loss_beta05,234x234,s1_spike_wc_beta05,task_plus_reg,accuracy,3,0.002283105022831059,0.027681177289913563
lif_loss_beta05,234x234,s1_spike_wc_beta05,task_plus_reg,balanced_accuracy,3,0.0007238132238132263,0.02278127514184082
lif_loss_beta05,234x234,s1_spike_wc_beta05,task_plus_reg,macro_f1,3,0.002570834718205295,0.01993191858246987
lif_loss_beta05,234x234,s2_spike_tsce_beta05,task_only,accuracy,3,0.0068493150684931225,0.02372672339135448
lif_loss_beta05,234x234,s2_spike_tsce_beta05,task_only,balanced_accuracy,3,0.0061297498797499295,0.02452180564916114
lif_loss_beta05,234x234,s2_spike_tsce_beta05,task_only,macro_f1,3,0.0033436258035437296,0.016089165222795715
lif_loss_beta05,234x234,s2_spike_tsce_beta05,task_plus_reg,accuracy,3,0.01826484018264839,0.025931088336987554
lif_loss_beta05,234x234,s2_spike_tsce_beta05,task_plus_reg,balanced_accuracy,3,0.016124847374847373,0.024731659589878587
lif_loss_beta05,234x234,s2_spike_tsce_beta05,task_plus_reg,macro_f1,3,0.0172297186858846,0.044245481781632005
lif_loss_beta05,234x234,s3_spike_wc_beta10,task_only,accuracy,3,0.03881278538812786,0.007908907797118177
lif_loss_beta05,234x234,s3_spike_wc_beta10,task_only,balanced_accuracy,3,0.032993626743626735,0.007525306424322382
