contrast,architecture,family,regularization,seed,metric,delta
probe_phase_gain,234x234,a1_shared_tsce,task_only,11,accuracy,0.020547945205479423
probe_phase_gain,234x234,a1_shared_tsce,task_only,11,balanced_accuracy,0.017557442557442515
probe_phase_gain,234x234,a1_shared_tsce,task_only,11,macro_f1,0.019030369785013712
probe_phase_gain,234x234,a1_shared_tsce,task_only,23,accuracy,-0.0547945205479452
probe_phase_gain,234x234,a1_shared_tsce,task_only,23,balanced_accuracy,-0.04796869796869796
probe_phase_gain,234x234,a1_shared_tsce,task_only,23,macro_f1,-0.021234334072519512
probe_phase_gain,234x234,a1_shared_tsce,task_only,37,accuracy,0.020547945205479423
probe_phase_gain,234x234,a1_shared_tsce,task_only,37,balanced_accuracy,0.017746142746142834
probe_phase_gain,234x234,a1_shared_tsce,task_only,37,macro_f1,0.019942323058328215
probe_phase_gain,234x234,a1_shared_tsce,task_plus_reg,11,accuracy,0.03424657534246578
probe_phase_gain,234x234,a1_shared_tsce,task_plus_reg,11,balanced_accuracy,0.036731324231324414
probe_phase_gain,234x234,a1_shared_tsce,task_plus_reg,11,macro_f1,0.0369904776858857
probe_phase_gain,234x234,a1_shared_tsce,task_plus_reg,23,accuracy,0.0273972602739726
probe_phase_gain,234x234,a1_shared_tsce,task_plus_reg,23,balanced_accuracy,0.03025585525585517
probe_phase_gain,234x234,a1_shared_tsce,task_plus_reg,23,macro_f1,0.020962207196755456
probe_phase_gain,234x234,a1_shared_tsce,task_plus_reg,37,accuracy,0.006849315068493178
probe_phase_gain,234x234,a1_shared_tsce,task_plus_reg,37,balanced_accuracy,0.0052919302919303135
probe_phase_gain,234x234,a1_shared_tsce,task_plus_reg,37,macro_f1,0.019742783344677495
probe_phase_gain,234x234,a2_shared_wholecount,task_only,11,accuracy,-0.047945205479452024
probe_phase_gain,234x234,a2_shared_wholecount,task_only,11,balanced_accuracy,-0.044742063492063444
probe_phase_gain,234x234,a2_shared_wholecount,task_only,11,macro_f1,-0.027348706819020352
probe_phase_gain,234x234,a2_shared_wholecount,task_only,23,accuracy,0.020547945205479423
probe_phase_gain,234x234,a2_shared_wholecount,task_only,23,balanced_accuracy,0.025928932178932107
probe_phase_gain,234x234,a2_shared_wholecount,task_only,23,macro_f1,0.038853155621909496
