epoch,train_ba,val_ba,train_loss,val_loss,train_task_loss,train_reg_loss,train_total_loss,reg_scale
1,0.08911600279524806,0.09523809523809523,2.4532634448676838,2.4526960849761963,2.4815032482147217,0.0009856876684352755,2.4824889659881593,0.1
2,0.10500116468669927,0.10416666666666667,2.4288595178246295,2.4305734634399414,2.445094919204712,0.0019352622330188751,2.4470301628112794,0.2
3,0.11603788143489402,0.1369047619047619,2.4126169037285443,2.415726900100708,2.418757438659668,0.003215580154210329,2.4219729900360107,0.3
4,0.12859476070167894,0.14384920634920637,2.397022315844406,2.4046285152435303,2.397071599960327,0.004664024943485856,2.4017356395721436,0.4
5,0.1377281890017739,0.15079365079365079,2.379636439522039,2.3941569328308105,2.3846531391143797,0.006223017256706953,2.3908761501312257,0.5
6,0.1723015329068788,0.15773809523809523,2.361085702958493,2.384838581085205,2.3674058437347414,0.0077379152178764345,2.3751437187194826,0.6
7,0.1867150795570607,0.16468253968253968,2.341533442577684,2.371330976486206,2.357019138336182,0.009277099557220937,2.3662962913513184,0.7
8,0.21670044258094576,0.18551587301587302,2.319667599902916,2.354684829711914,2.3303789615631105,0.011027045547962189,2.341406059265137,0.8
9,0.24597484276729562,0.18353174603174605,2.297767055629658,2.3474626541137695,2.318312168121338,0.012084749899804592,2.330396890640259,0.9
10,0.2532280299772438,0.18353174603174605,2.272735524711018,2.325855255126953,2.3014062881469726,0.013896826840937137,2.315303087234497,1.0
11,0.24467739298321056,0.1994047619047619,2.250396523336125,2.299616813659668,2.2813757419586183,0.014525851421058177,2.295901584625244,1.0
12,0.2957580094608397,0.23551587301587298,2.2252675826291,2.292283296585083,2.2634301662445067,0.014831961132586002,2.278262138366699,1.0
13,0.3119232001110932,0.22162698412698412,2.1986514418137464,2.2673933506011963,2.243168306350708,0.015681615099310875,2.2588499069213865,1.0
14,0.3300404168682471,0.2313492063492064,2.1723525663661465,2.2483859062194824,2.2205631732940674,0.01616784669458866,2.236731004714966,1.0
15,0.3355823545485495,0.2646825396825397,2.147148797516158,2.234928846359253,2.199394702911377,0.016606469079852103,2.2160011768341064,1.0
16,0.3524788228601122,0.26825396825396824,2.122039983276656,2.224277973175049,2.18326416015625,0.017008677870035172,2.200272798538208,1.0
17,0.357757328567077,0.28273809523809523,2.0975493116756314,2.203549861907959,2.160497045516968,0.01709931679069996,2.177596378326416,1.0
18,0.3641117248114103,0.30932539682539684,2.0705011325941234,2.190551996231079,2.142708683013916,0.017610708624124526,2.160319423675537,1.0
19,0.3752163728336037,0.30376984126984125,2.0426626833293606,2.1530518531799316,2.1281299114227297,0.017862290516495703,2.1459921836853026,1.0
20,0.39773405723091265,0.34761904761904766,2.0215590982962395,2.1596922874450684,2.107422637939453,0.018142231181263922,2.1255648612976072,1.0
21,0.4078853083995518,0.3343253968253968,1.9920948749975576,2.125295400619507,2.0845108032226562,0.01870018132030964,2.103210926055908,1.0
22,0.42123305473078876,0.3448412698412699,1.964919119816844,2.1151020526885986,2.066930866241455,0.018795357272028922,2.085726261138916,1.0
23,0.44340297672313017,0.3615079365079365,1.9405898376914597,2.1120288372039795,2.0435206413269045,0.01916804350912571,2.062688636779785,1.0
24,0.45645513900878304,0.3531746031746032,1.911482630416161,2.070794105529785,2.0204675912857057,0.019451557099819182,2.0399191856384276,1.0
25,0.4646137693372247,0.36706349206349204,1.887027555201427,2.0766239166259766,2.0036190509796143,0.020012220740318297,2.023631286621094,1.0
26,0.46791458959813564,0.3823412698412698,1.8597704931298549,2.045630693435669,1.988282060623169,0.020302505046129227,2.0085845470428465,1.0
27,0.4859185056595341,0.3545634920634921,1.8315859154867018,2.0352988243103027,1.9643123865127563,0.020432066917419434,1.9847444772720337,1.0
28,0.4782475174416551,0.368452380952381,1.8101994213672186,2.022787570953369,1.9451585292816163,0.020844824612140656,1.9660033464431763,1.0
29,0.49892003441920346,0.3601190476190476,1.7834108561123505,2.013354539871216,1.9439355850219726,0.020631634071469306,1.9645672082901,1.0
30,0.5397368454068894,0.3948412698412698,1.7576236827443266,2.000343084335327,1.9112314939498902,0.021010717377066612,1.932242226600647,1.0
31,0.5382120222077243,0.39206349206349206,1.7343373772609665,1.9798362255096436,1.8902800798416137,0.021089214459061624,1.9113692760467529,1.0
32,0.5544756565944643,0.35734126984126985,1.7044837382492224,1.9709514379501343,1.8743582248687745,0.021471123024821282,1.8958293437957763,1.0
33,0.5748972059861394,0.35734126984126985,1.6797265768461507,1.9644862413406372,1.8540713310241699,0.02194671593606472,1.8760180711746215,1.0
34,0.5681481437493351,0.35734126984126985,1.658425034631345,1.939821720123291,1.8535179138183593,0.022041323781013488,1.8755592346191405,1.0
35,0.5944751540885093,0.3740079365079365,1.6362792875188148,1.9501543045043945,1.8138264656066894,0.022190005332231522,1.8360164642333985,1.0
36,0.5989471030573136,0.345436507936508,1.6070518157157963,1.9321208000183105,1.8096048355102539,0.022599437832832338,1.8322042942047119,1.0
37,0.6118151638170688,0.345436507936508,1.5888523290161423,1.923988938331604,1.791464138031006,0.022649676725268363,1.8141138315200807,1.0
38,0.6209157971381994,0.34900793650793654,1.560457714248237,1.9179507493972778,1.7603975534439087,0.023108679056167602,1.7835062265396118,1.0
39,0.6285625569274412,0.3642857142857143,1.5367977364748562,1.8964734077453613,1.753677749633789,0.02273188717663288,1.77640962600708,1.0
40,0.6278237120538834,0.3865079365079365,1.514339403318251,1.8870879411697388,1.7329020261764527,0.023338780924677848,1.7562407970428466,1.0
41,0.6465949603822919,0.3877705627705628,1.4932198397263807,1.8817647695541382,1.7216447353363038,0.02328609675168991,1.7449308395385743,1.0
42,0.6705658108463459,0.3641594516594517,1.4718047376343797,1.8705799579620361,1.7082874536514283,0.02358376160264015,1.731871199607849,1.0
43,0.6657890835263797,0.3641594516594517,1.4541314458682901,1.8754832744598389,1.6920106410980225,0.023467573896050455,1.7154782295227051,1.0
44,0.6811515863751954,0.3982864357864358,1.4251247035041323,1.8418937921524048,1.6687600374221803,0.02377789728343487,1.6925379276275634,1.0
45,0.6871807668728355,0.39332611832611836,1.4029726852853615,1.8461551666259766,1.6432032346725465,0.024582134932279585,1.6677853345870972,1.0
46,0.698669404458171,0.3772907647907648,1.3895308009113174,1.8477797508239746,1.6408676385879517,0.024524740129709243,1.6653924226760863,1.0
47,0.7140796298174822,0.3982864357864358,1.3547976671520896,1.8263133764266968,1.6051308631896972,0.024539386481046678,1.629670214653015,1.0
48,0.7262762612115332,0.3933261183261183,1.3387922270162587,1.8303658962249756,1.6058944463729858,0.024824755638837813,1.630719208717346,1.0
49,0.72147095620557,0.38499278499278494,1.3223002508872552,1.814212441444397,1.5881263971328736,0.02516396753489971,1.6132903575897217,1.0
50,0.7514003096526398,0.39455266955266954,1.2975586829210108,1.8095996379852295,1.5647878885269164,0.02501746006309986,1.5898053407669068,1.0
51,0.7374895116996187,0.37371933621933623,1.2786773020552276,1.8047564029693604,1.5637529611587524,0.024958931654691697,1.5887119054794312,1.0
52,0.7578237754647926,0.40708874458874456,1.2575307711061225,1.8032662868499756,1.533392071723938,0.02546585723757744,1.5588579416275024,1.0
53,0.7550002600187282,0.39875541125541125,1.238773298550801,1.7924784421920776,1.5225646257400514,0.025229660049080848,1.547794246673584,1.0
54,0.763269387362726,0.40014430014430014,1.2226886652833213,1.7946969270706177,1.5102118253707886,0.02558136433362961,1.5357932090759276,1.0
55,0.7602933328733069,0.4001443001443001,1.2070969178015927,1.7810932397842407,1.505848264694214,0.02566989101469517,1.5315181493759156,1.0
56,0.7767837833646359,0.36340187590187584,1.1897391977490739,1.7831250429153442,1.497834897041321,0.025565724819898605,1.523400616645813,1.0
