epoch,train_ba,val_ba,train_loss,val_loss,train_task_loss,train_reg_loss,train_total_loss,reg_scale
1,0.10725203372215951,0.09325396825396826,2.456772661455322,2.4686267375946045,2.4851049900054933,0.0,2.4851049900054933,0.0
2,0.10898992546005125,0.10218253968253967,2.436854677643505,2.445598602294922,2.4447508335113524,0.0,2.4447508335113524,0.0
3,0.10650535755881667,0.10218253968253967,2.4246745052107848,2.4257798194885254,2.4223817348480225,0.0,2.4223817348480225,0.0
4,0.11672213487071977,0.12797619047619044,2.4097751032259707,2.4128947257995605,2.407035779953003,0.0,2.407035779953003,0.0
5,0.13038561208765612,0.11607142857142855,2.3941569664802484,2.397815465927124,2.397868776321411,0.0,2.397868776321411,0.0
6,0.14452787632819078,0.1369047619047619,2.376100495021643,2.3865742683410645,2.374044418334961,0.0,2.374044418334961,0.0
7,0.1676685100073465,0.15218253968253967,2.35535900482007,2.3755102157592773,2.357413816452026,0.0,2.357413816452026,0.0
8,0.1880043877331613,0.15218253968253967,2.334275031048747,2.360774517059326,2.3450098037719727,0.0,2.3450098037719727,0.0
9,0.21759022962246233,0.18988095238095237,2.3104259680552657,2.3446600437164307,2.326628828048706,0.0,2.326628828048706,0.0
10,0.22970212017774908,0.21210317460317463,2.2853339654032827,2.324840545654297,2.3100584506988526,0.0,2.3100584506988526,0.0
11,0.2613179773871598,0.20714285714285716,2.25981947764267,2.304772138595581,2.2790942192077637,0.0,2.2790942192077637,0.0
12,0.2783396831156265,0.2121031746031746,2.2323077143572285,2.282592296600342,2.261689615249634,0.0,2.261689615249634,0.0
13,0.29366187577272485,0.20158730158730162,2.2038180376699583,2.258578062057495,2.2452468395233156,0.0,2.2452468395233156,0.0
14,0.3085200863659983,0.20158730158730157,2.1760716479329356,2.2468485832214355,2.2240514755249023,0.0,2.2240514755249023,0.0
15,0.3244509286136645,0.20436507936507933,2.1468264908880865,2.2214767932891846,2.200126791000366,0.0,2.200126791000366,0.0
16,0.3468952028346683,0.24186507936507937,2.1182520594736385,2.2016007900238037,2.1794601917266845,0.0,2.1794601917266845,0.0
17,0.3435427417620814,0.22996031746031745,2.0929418147738748,2.192505121231079,2.167802667617798,0.0,2.167802667617798,0.0
18,0.37444931465302345,0.23849206349206345,2.0633454868592414,2.1720056533813477,2.14099497795105,0.0,2.14099497795105,0.0
19,0.3807811562914689,0.2501984126984127,2.0359043205051126,2.16395902633667,2.1281753540039063,0.0,2.1281753540039063,0.0
20,0.4018320660544131,0.248015873015873,2.0106392916221423,2.1484897136688232,2.1040411949157716,0.0,2.1040411949157716,0.0
21,0.41748113057945035,0.2759920634920635,1.978915927947696,2.1318445205688477,2.086646795272827,0.0,2.086646795272827,0.0
22,0.43163957061566344,0.2654761904761905,1.95616854098906,2.122047185897827,2.0747198104858398,0.0,2.0747198104858398,0.0
23,0.42769056070475936,0.24682539682539684,1.9324748667915594,2.1023926734924316,2.0541364669799806,0.0,2.0541364669799806,0.0
24,0.44159505099359125,0.2634920634920635,1.9064624900456755,2.0993106365203857,2.0391786098480225,0.0,2.0391786098480225,0.0
