condition,mean_snn_only_test_BA,mean_raw_plus_snn_test_BA,mean_fusion_delta_vs_raw,sd_fusion_delta_vs_raw
cls_count,0.5091490299823632,0.5839947089947091,0.03703703703703709,0.011234872671533815
cls_count_temp,0.5083774250440918,0.5753968253968255,0.028439153439153413,0.012011071841047579
cls_only,0.5446428571428572,0.5922067901234568,0.04524911816578481,0.0062663671549118135
