condition,seed,C,accuracy,balanced_accuracy,macro_f1
cls_only,11,0.001,0.5873015873015873,0.5760251322751323,0.5466083109461933
cls_only,11,0.01,0.6666666666666666,0.6645171957671958,0.6405325220372705
cls_only,11,0.1,0.6349206349206349,0.6290013227513228,0.6051791592636303
cls_only,11,1.0,0.626984126984127,0.6206679894179895,0.6001468151205783
cls_only,11,10.0,0.5952380952380952,0.5894179894179895,0.5691389143229902
cls_only,23,0.001,0.6111111111111112,0.5976521164021165,0.5897307292237632
cls_only,23,0.01,0.6349206349206349,0.6327050264550265,0.6139053175057232
cls_only,23,0.1,0.5873015873015873,0.589649470899471,0.568582237813404
cls_only,23,1.0,0.5873015873015873,0.5847883597883597,0.5675088738171903
cls_only,23,10.0,0.5873015873015873,0.5838624338624339,0.5673254179253154
cls_only,101,0.001,0.6031746031746031,0.59510582010582,0.5874841386776877
cls_only,101,0.01,0.626984126984127,0.6208002645502645,0.6116659742046738
cls_only,101,0.1,0.6111111111111112,0.6104828042328042,0.5973943378662071
cls_only,101,1.0,0.6111111111111112,0.6077050264550264,0.598001555593181
cls_only,101,10.0,0.5793650793650794,0.5766865079365079,0.5616526415658196
cls_count,11,0.001,0.5634920634920635,0.5439484126984128,0.5131609381609382
cls_count,11,0.01,0.6031746031746031,0.5900132275132276,0.5638870187783231
cls_count,11,0.1,0.6111111111111112,0.6042328042328043,0.5854731050489065
cls_count,11,1.0,0.6111111111111112,0.6042328042328042,0.5849864506684626
cls_count,11,10.0,0.6031746031746031,0.5972883597883598,0.580242614864856
cls_count,23,0.001,0.6507936507936508,0.6335317460317461,0.623870071000052
cls_count,23,0.01,0.6666666666666666,0.659424603174603,0.6514522690167684
cls_count,23,0.1,0.6428571428571429,0.6412367724867725,0.6313486261951174
cls_count,23,1.0,0.5952380952380952,0.6007275132275133,0.5806791259900135
cls_count,23,10.0,0.5555555555555556,0.5596560846560846,0.5371970427233586
cls_count,101,0.001,0.626984126984127,0.6203373015873016,0.6218466084431996
cls_count,101,0.01,0.6507936507936508,0.6416335978835978,0.6293093935588864
cls_count,101,0.1,0.6111111111111112,0.6053902116402117,0.5872400244682854
cls_count,101,1.0,0.5952380952380952,0.5915013227513227,0.5755963960102386
cls_count,101,10.0,0.5634920634920635,0.5550595238095238,0.5330850635214998
cls_count_temp,11,0.001,0.6349206349206349,0.6248346560846562,0.6126364004353135
cls_count_temp,11,0.01,0.6507936507936508,0.6479828042328043,0.631388199004298
cls_count_temp,11,0.1,0.6428571428571429,0.6446097883597883,0.6293520613373554
cls_count_temp,11,1.0,0.6428571428571429,0.6432208994708994,0.6269769330734243
cls_count_temp,11,10.0,0.6507936507936508,0.6529431216931217,0.6337198524634025
cls_count_temp,23,0.001,0.6428571428571429,0.62635582010582,0.6125391148644325
cls_count_temp,23,0.01,0.6746031746031746,0.6640542328042328,0.6506609809336754
cls_count_temp,23,0.1,0.6428571428571429,0.634887566137566,0.6216782672665025
cls_count_temp,23,1.0,0.6031746031746031,0.6022486772486773,0.5895034489074737
cls_count_temp,23,10.0,0.6111111111111112,0.6119708994708996,0.5969067249387616
cls_count_temp,101,0.001,0.6587301587301587,0.650892857142857,0.6461512893824168
cls_count_temp,101,0.01,0.6746031746031746,0.6737764550264549,0.6640378023172692
cls_count_temp,101,0.1,0.6507936507936508,0.6515542328042327,0.6386856332258631
cls_count_temp,101,1.0,0.6190476190476191,0.6209986772486772,0.6068765802099135
cls_count_temp,101,10.0,0.6031746031746031,0.609292328042328,0.5893652643652644
