condition,seed,lambda_count,lambda_temp,best_epoch,train_global_BA,val_global_BA,test_global_accuracy,test_global_BA,test_global_macro_f1,test_loss_count,test_loss_temp,test_l1_fr,test_l2_fr,test_l3_fr,test_l1_dead_fraction,test_l2_dead_fraction,test_l3_dead_fraction
cls_only,11,0.0,0.0,91,0.9876245957442289,0.6524801587301587,0.4842105263157895,0.49619708994709,0.46670638651642143,2.7190517676504036,2.609040481165836,0.0083984375,0.05185803865131579,0.1087877775493421,0.15625,0.015625,0.0
cls_only,23,0.0,0.0,90,0.9755491566079685,0.6335978835978836,0.5157894736842106,0.5396825396825397,0.5160929951690821,2.4637104862614683,2.1850605362340025,0.007457532380756579,0.046219996402138155,0.10211245888157895,0.1328125,0.0078125,0.0
cls_only,101,0.0,0.0,64,0.9709447336732371,0.6485780423280424,0.4842105263157895,0.5044642857142857,0.4797486375853248,2.2472057493109454,2.5376601997174713,0.007901804070723684,0.04072972347861842,0.08834421258223685,0.15625,0.03125,0.0
cls_count,11,0.1,0.0,80,0.9787154294696664,0.6461309523809524,0.49473684210526314,0.500165343915344,0.48569157450736394,0.3675770204318197,2.541858166142514,0.008407432154605264,0.04998458059210526,0.10375141344572368,0.109375,0.0390625,0.0
cls_count,23,0.1,0.0,96,0.9877153727957902,0.6270171957671957,0.43157894736842106,0.445271164021164,0.43664927120809477,0.36951102833998833,2.221450838289763,0.007555509868421052,0.04048751027960526,0.09518657483552631,0.15625,0.015625,0.0
cls_count,101,0.1,0.0,82,0.9732254585712362,0.634887566137566,0.5052631578947369,0.5112433862433863,0.5081336369455564,0.3697563619990098,2.2302258366032652,0.007420911287006579,0.03986623663651316,0.07939131887335527,0.1328125,0.0234375,0.0
cls_count_temp,11,0.1,0.1,100,0.9892305243109418,0.6622023809523809,0.47368421052631576,0.4831349206349207,0.46350585259253996,0.3658597924207386,0.44532588657579925,0.008797093441611841,0.052580180921052634,0.10494384765625,0.140625,0.015625,0.0
cls_count_temp,23,0.1,0.1,100,0.9860282226566278,0.6433201058201058,0.5157894736842106,0.5431547619047619,0.5049472619295273,0.36827935419584573,0.4538167090792405,0.008049894634046052,0.04498515881990132,0.08652857730263158,0.1640625,0.0078125,0.0
cls_count_temp,101,0.1,0.1,98,0.9787610779226451,0.6598875661375662,0.4842105263157895,0.4948743386243386,0.47834848902960353,0.36813535972645406,0.4494444731034731,0.00845593904194079,0.04386757298519737,0.09666105571546052,0.1484375,0.03125,0.0
