stage,lambda_count,lambda_temp,best_epoch,global_val_BA,probe_selected_C,probe_val_BA
count,0.05,0.0,84,0.6148809523809523,0.1,0.6009920634920635
count,0.1,0.0,93,0.6508597883597883,0.01,0.6381613756613755
count,0.3,0.0,79,0.6330357142857143,0.01,0.6258597883597883
temp,0.1,0.05,92,0.5808531746031746,0.01,0.5895171957671957
temp,0.1,0.1,100,0.6622023809523809,10.0,0.6529431216931217
temp,0.1,0.3,97,0.6009589947089947,0.01,0.6117394179894179
