condition,n_runs,mean_test_BA,sd_test_BA,mean_test_accuracy,mean_test_macro_f1,mean_delta_test_BA_vs_Raw250,sd_delta_test_BA_vs_Raw250
Raw250 baseline,1,0.546957671957672,,0.5368421052631579,0.5412179187914482,0.0,
cls_count,3,0.5091490299823632,0.05510105101473676,0.5017543859649124,0.4902917648526075,-0.03780864197530868,0.055101051014736765
cls_count_temp,3,0.5083774250440918,0.07478305021004936,0.48771929824561405,0.47653970918570226,-0.03858024691358025,0.07478305021004938
cls_only,3,0.5446428571428572,0.04265616661014706,0.5298245614035088,0.5250837923399843,-0.0023148148148147696,0.04265616661014706
