condition,seed,lambda_count,lambda_temp,epoch,train_loss,train_loss_cls,train_loss_count,train_loss_temp,train_accuracy,train_balanced_accuracy,train_macro_f1,train_l1_fr,train_l2_fr,train_l3_fr,train_l1_dead_fraction,train_l2_dead_fraction,train_l3_dead_fraction,val_loss,val_loss_cls,val_loss_count,val_loss_temp,val_accuracy,val_balanced_accuracy,val_macro_f1,val_l1_fr,val_l2_fr,val_l3_fr,val_l1_dead_fraction,val_l2_dead_fraction,val_l3_dead_fraction
cls_only,11,0.0,0.0,1,2.4861196022999437,2.4861196022999437,0.38899064743066136,0.4762457326243195,0.08069620253164557,0.0748000954767872,0.026443161161536045,0.0002662079243720332,0.00014375131341475475,9.454654741890823e-05,0.3203125,0.3203125,0.25,2.4847300658150324,2.4847300658150324,0.36921183410144987,0.47284167626547435,0.09523809523809523,0.08333333333333333,0.014492753623188406,0.00011359320746527778,1.4774383060515873e-05,0.0,0.578125,0.8046875,1.0
cls_only,11,0.0,0.0,2,2.468387410610537,2.468387410610537,0.38949867818928974,0.4769242922716503,0.11550632911392406,0.10913532348477469,0.06489967956537561,0.00028455710109276107,0.00018117397646360758,0.00014138523536392405,0.3125,0.28125,0.21875,2.4814126945677257,2.4814126945677257,0.3693139146244715,0.4728053812942808,0.10317460317460317,0.09027777777777778,0.027526395173454,0.00014895484561011906,3.3181811135912696e-05,9.688120039682539e-06,0.5859375,0.640625,0.796875
cls_only,11,0.0,0.0,3,2.4343920870672298,2.4343920870672298,0.39665173503417,0.48380046630207496,0.12025316455696203,0.1155750598429759,0.10379980789262096,0.00036345856099189084,0.00038021425657634494,0.0005417835863330697,0.3125,0.2734375,0.1875,2.468024689053732,2.468024689053732,0.3704645761421749,0.47282562274781487,0.1111111111111111,0.09722222222222222,0.037259816207184625,0.0001957000248015873,8.065359933035714e-05,7.605174231150794e-05,0.578125,0.5859375,0.53125
cls_only,11,0.0,0.0,4,2.390695070918602,2.390695070918602,0.40773373653617084,0.49576681324198274,0.14556962025316456,0.13975137063567553,0.11065618805556637,0.0004396076443829114,0.0006206367589250396,0.0012417563909216773,0.296875,0.234375,0.125,2.468515978919135,2.468515978919135,0.3710244231753879,0.47327057236716863,0.10317460317460317,0.09027777777777778,0.026495726495726495,0.00022936624193948413,0.00012909419952876984,0.00014629061259920634,0.5703125,0.546875,0.390625
cls_only,11,0.0,0.0,5,2.3269629357736323,2.3269629357736323,0.41653887078731877,0.5050757942320425,0.16455696202531644,0.15790643581485564,0.13496994708748775,0.0004931582680231408,0.0008222845536244067,0.0017249191863627374,0.2421875,0.203125,0.109375,2.4558100662534197,2.4558100662534197,0.37404529773999773,0.47776785776728675,0.11904761904761904,0.10555555555555557,0.049914008755472174,0.00029887850322420637,0.00022985064794146825,0.0003444126674107143,0.5390625,0.46875,0.25
cls_only,11,0.0,0.0,6,2.259510999993433,2.259510999993433,0.4467409758628169,0.5366489592986771,0.20411392405063292,0.19612602516115074,0.18888577399199333,0.0006229062623615507,0.0013834796374357198,0.0033675568013251584,0.203125,0.15625,0.09375,2.4345773704468257,2.4345773704468257,0.38573328133613344,0.4893809760373736,0.14285714285714285,0.13125,0.08815721315721316,0.0004049634176587302,0.0004916720920138889,0.0010196746341765873,0.53125,0.375,0.1875
cls_only,11,0.0,0.0,7,2.176357432256771,2.176357432256771,0.48682337018507943,0.577415817900549,0.24367088607594936,0.23375304413340925,0.23269518267343206,0.0007485981228985363,0.002019713196573378,0.005360470542424842,0.1953125,0.1484375,0.03125,2.431970104338631,2.431970104338631,0.3925692585725633,0.49401337570614284,0.16666666666666666,0.1564814814814815,0.1250641305687177,0.0004543728298611111,0.0006168910435267857,0.0012710813492063492,0.53125,0.296875,0.109375
cls_only,11,0.0,0.0,8,2.092027896567236,2.092027896567236,0.49071542522575284,0.5789047638072243,0.24525316455696203,0.23559049929301853,0.24631674214739438,0.0008093918426127373,0.0022806095171578325,0.005423340616346915,0.1875,0.1328125,0.0,2.3895516584789944,2.3895516584789944,0.4058176383139595,0.5094257593154907,0.1746031746031746,0.16550925925925927,0.1316198566805363,0.0005243694971478175,0.0008922758556547619,0.0019211542038690475,0.484375,0.2734375,0.078125
cls_only,11,0.0,0.0,9,1.997910378854486,1.997910378854486,0.521902958803539,0.6100947532472731,0.2911392405063291,0.27897110805789077,0.28440140476748876,0.0009246536448032041,0.002926114239270174,0.007087417795688291,0.1875,0.1328125,0.0,2.3801524374220104,2.3801524374220104,0.4329382493382409,0.5331032030166142,0.18253968253968253,0.1738425925925926,0.14666180295975692,0.0006188286675347222,0.001304989769345238,0.0031520298549107145,0.4921875,0.21875,0.046875
cls_only,11,0.0,0.0,10,1.906275118453593,1.906275118453593,0.5727327413196805,0.6575807431076146,0.3291139240506329,0.31681448766894543,0.33993349685832547,0.0010720747935621044,0.003907746906521954,0.009565812122972705,0.1875,0.125,0.0,2.406578203988454,2.406578203988454,0.4621766701577202,0.5709544240482269,0.19047619047619047,0.1814814814814815,0.15927835780776955,0.0007382347470238095,0.0018773154606894842,0.004631890190972222,0.4765625,0.2109375,0.015625
