epoch,train_objective_loss,train_loss,train_balanced_accuracy,train_accuracy,train_macro_f1,val_loss,val_balanced_accuracy,val_accuracy,val_macro_f1,train_output_firing_rate,val_output_firing_rate,train_hidden1_firing_rate,val_hidden1_firing_rate
1,2.4849068583864153,2.4848143808769456,0.08527131782945736,0.07474747474747474,0.01510863350485992,2.4849068420368003,0.08333333333333333,0.08839779005524862,0.01353637901861252,2.1043771043771045e-05,0.0,8.680555555555556e-05,5.395372928176795e-06
2,2.4848124080234104,2.4843918203103423,0.08897685142629531,0.07878787878787878,0.022401318145998998,2.4849068420368003,0.08333333333333333,0.08839779005524862,0.01353637901861252,7.365319865319865e-05,0.0,0.0001893939393939394,2.427917817679558e-05
3,2.48417308017461,2.4832025633917914,0.08879878874823265,0.07878787878787878,0.02612389801321099,2.4849068420368003,0.08333333333333333,0.08839779005524862,0.01353637901861252,0.0002840909090909091,0.0,0.0004389599116161616,9.711671270718232e-05
4,2.482768041918976,2.4813756624857586,0.09423591191791393,0.08484848484848485,0.04005368743545428,2.4849068420368003,0.08333333333333333,0.08839779005524862,0.01353637901861252,0.0008207070707070707,0.0,0.0008720012626262626,0.0002427917817679558
5,2.4794489489661324,2.474923551925505,0.13587030175756162,0.12727272727272726,0.09502684484717365,2.484511118567451,0.078125,0.08287292817679558,0.012820512820512822,0.0024726430976430977,0.00020142725598526704,0.0018525094696969697,0.0006069794544198895
6,2.4715097783791897,2.4616838440750586,0.16120838024275838,0.15555555555555556,0.12615636368213687,2.480943689030178,0.09930555555555555,0.10497237569060773,0.045500045500045494,0.007102272727272727,0.001899171270718232,0.00390329071969697,0.0016617748618784531
7,2.4550964461432563,2.440263034839823,0.19026402248090823,0.18585858585858586,0.13759456065589862,2.4622169739633635,0.18402777777777776,0.19337016574585636,0.12923108473996237,0.01748737373737374,0.008028314917127072,0.007799676452020202,0.0038576916436464086
8,2.4334936469492288,2.421020332972209,0.2177561699806391,0.21414141414141413,0.15016285753065825,2.4460772322027724,0.17326388888888888,0.18232044198895028,0.11141260526002117,0.03172348484848485,0.017955801104972375,0.012635140467171718,0.006941147272099447
9,2.4151882826679887,2.4018282095591226,0.24139334806675553,0.2383838383838384,0.16603560291866515,2.4354578447605366,0.16319444444444445,0.1712707182320442,0.10414347123766804,0.04198232323232323,0.02592656537753223,0.017020793876262628,0.009924788501381215
10,2.3945423694572066,2.3775454328517722,0.2790856276068612,0.2787878787878788,0.19159556582784262,2.431374823849504,0.17855392156862746,0.1878453038674033,0.13169079598773237,0.04532828282828283,0.028832872928176795,0.021083885732323233,0.012789731526243095
11,2.367984831453574,2.3483753979808153,0.3403333147174981,0.3474747474747475,0.256072158498899,2.424780127751893,0.19325980392156863,0.20441988950276244,0.1477345322454018,0.048032407407407406,0.03300529465930018,0.025987413194444444,0.01619690953038674
