epoch,train_objective_loss,train_loss,train_balanced_accuracy,train_accuracy,train_macro_f1,val_loss,val_balanced_accuracy,val_accuracy,val_macro_f1,train_output_firing_rate,val_output_firing_rate,train_hidden1_firing_rate,train_hidden2_firing_rate,val_hidden1_firing_rate,val_hidden2_firing_rate
1,2.4849066734313965,2.4849066734313965,0.08333333333333333,0.0762081784386617,0.01180195739781232,2.484906716224475,0.08333333333333333,0.07051282051282051,0.010978043912175649,0.0,0.0,3.993378252788104e-05,0.0,0.0002222305689102564,9.390024038461539e-05
2,2.4849066734313965,2.4849066734313965,0.08333333333333333,0.0762081784386617,0.01180195739781232,2.4918095576457486,0.08333333333333333,0.07051282051282051,0.011178861788617886,0.0,0.00020032051282051281,0.00017334891960966542,1.2706203531598513e-05,0.0005133213141025641,0.0003223908253205128
3,2.485155408710352,2.4800766710898245,0.08843537414965986,0.08178438661710037,0.02147881054131054,2.5149146899198875,0.08974358974358974,0.07692307692307693,0.0205761316872428,2.904275092936803e-05,0.0009348290598290599,0.0003993378252788104,0.00012524686338289962,0.0010360326522435897,0.0009202223557692308
4,2.4680285808322155,2.4438351184462084,0.10170897627343621,0.09665427509293681,0.04354544177553027,2.541287599465786,0.11421911421911422,0.10256410256410256,0.04344374684275096,0.0003969175960346964,0.0020365918803418805,0.0008495004646840149,0.0005381984781598513,0.0018873948317307692,0.0025353064903846155
5,2.434949340430334,2.429220999040568,0.10793097726895635,0.10780669144981413,0.049277667329357185,2.6531417186443624,0.11072261072261073,0.10256410256410256,0.03660606060606061,0.0023427819083023543,0.00594284188034188,0.0018759801928438663,0.0026655799837360596,0.0035932491987179485,0.007130158253205128
6,2.419659459457965,2.379828866972799,0.11441505648822721,0.11338289962825279,0.060551704156297514,2.5434790330055432,0.14535464535464535,0.1346153846153846,0.0669293750127611,0.002081397149938042,0.005842681623931624,0.0016890174837360596,0.002277133190055762,0.003283378405448718,0.006022135416666667
7,2.370844529020742,2.3547895752364374,0.13064599453972278,0.12825278810408922,0.08556723077634439,2.469168180074447,0.1632117882117882,0.15384615384615385,0.09652374273692647,0.0022943773234200744,0.007244925213675214,0.0016999085153345725,0.002120120817843866,0.0032802483974358975,0.005649664463141026
8,2.3477794113655515,2.3183005059961936,0.13527761437169103,0.13382899628252787,0.08473164670598621,2.516281158496172,0.15563603063603063,0.14743589743589744,0.08783093461265103,0.004675882899628253,0.011919070512820512,0.0024277924605018587,0.0038899134526022305,0.004485301482371795,0.00903633313301282
9,2.3201739300582487,2.287480166410425,0.13739403743759146,0.13568773234200743,0.08300252688300612,2.530312574826754,0.1641275391275391,0.15384615384615385,0.09237588652482269,0.0060408921933085506,0.0124866452991453,0.003224652939126394,0.005672412290892193,0.005602714342948718,0.011709359975961538
10,2.285118959207074,2.2449513500951035,0.1563980867661181,0.15427509293680297,0.1082023714910445,2.4789494306613236,0.15777833277833278,0.14743589743589744,0.0880919366964313,0.004675882899628253,0.010216346153846154,0.0034197839219330855,0.005696009526022305,0.005884415064102564,0.011274288862179488
11,2.2467756891782398,2.2218832358108576,0.17192988960998037,0.17100371747211895,0.1249252835026523,2.4317076083941336,0.18714341214341212,0.1794871794871795,0.11427681419457736,0.004627478314745972,0.009581997863247864,0.003641234897769517,0.006214241112918215,0.006219325921474359,0.011681189903846154
