epoch,train_objective_loss,train_loss,train_balanced_accuracy,train_accuracy,train_macro_f1,val_loss,val_balanced_accuracy,val_accuracy,val_macro_f1,train_output_firing_rate,val_output_firing_rate,train_hidden1_firing_rate,val_hidden1_firing_rate
1,2.4851872176244325,2.4849066734313965,0.08333333333333333,0.07756813417190776,0.01199740596627756,2.4849066734313965,0.08333333333333333,0.07738095238095238,0.011970534069981583,0.0,0.0,4.606426886792453e-05,2.9064360119047617e-05
2,2.4849066734313965,2.477595314289789,0.08740079365079363,0.08176100628930817,0.019920760273249415,2.4849066734313965,0.08333333333333333,0.07738095238095238,0.011970534069981583,6.551362683438155e-05,0.0,0.00011720797300838574,0.00010099865141369047
3,2.477595314289789,2.450023351225463,0.10323668579482533,0.09853249475890985,0.04828960174292363,2.4806251298813593,0.08092948717948718,0.07738095238095238,0.027960526315789474,0.0004149196366177498,0.0008060515873015873,0.0003626281610324948,0.00030735560825892856
4,2.427347129245974,2.362168209107917,0.1354496693159484,0.13417190775681342,0.0955282296048006,2.5248721213567826,0.08493589743589743,0.08333333333333333,0.034553290963547374,0.002445842068483578,0.003224206349206349,0.0010927468225890985,0.0008065359933035714
5,2.321443585729699,2.2654745378834145,0.15263747400375308,0.15513626834381553,0.11594640431567564,2.5851819742293585,0.08373397435897435,0.08333333333333333,0.036375391316183475,0.007981743535988819,0.007502480158730159,0.0022238805359014674,0.0015549432663690475
6,2.2253195534712114,2.096318709275508,0.21770457787899647,0.22012578616352202,0.18330873434134307,2.4697034245445613,0.1127518315018315,0.1130952380952381,0.08228825740822644,0.013867051013277428,0.011284722222222222,0.003063273879716981,0.0020432245163690475
7,2.0643327716011672,1.9560249404087506,0.2671838026489189,0.27044025157232704,0.24538584697332802,2.4224088078453425,0.09655448717948718,0.09523809523809523,0.04423124148862545,0.02581236897274633,0.01788814484126984,0.004514554261661426,0.002898443312872024
8,1.9429020494285119,1.816964206955468,0.34227563980470954,0.350104821802935,0.3045937272041266,2.4316041128976003,0.14548992673992675,0.1488095238095238,0.11804570527974784,0.030289133473095736,0.020244295634920636,0.0057994914504716985,0.003737676711309524
9,1.7773079172370319,1.66268607105599,0.3782063247179526,0.38784067085953877,0.3476696634438033,2.468245472226824,0.15813873626373626,0.16071428571428573,0.1241540164452878,0.029590321453529002,0.01922123015873016,0.006733572458071279,0.004316784086681548
10,1.6217982101740327,1.4720147998078064,0.4606906872895245,0.4758909853249476,0.4539123772938815,2.465409664880662,0.15813873626373626,0.16071428571428573,0.13211348472038645,0.028880590496156534,0.018291170634920636,0.008115244611504193,0.005097888764880952
11,1.3964232883613314,1.2538647579197113,0.5850906011153104,0.5953878406708596,0.5714296856981896,2.4249551523299444,0.20129349816849818,0.20833333333333334,0.18823564855040842,0.03387054507337526,0.019035218253968252,0.010140792878668764,0.006283714657738095
12,1.2162322268296089,1.0889146285486921,0.6284850403673078,0.6415094339622641,0.6110142790837829,2.3993786630176364,0.26564407814407814,0.27976190476190477,0.2705815629870262,0.045237159329140464,0.02749875992063492,0.01244426223466981,0.007765270414806548
13,1.0537151178224031,0.9283152292609465,0.674197696072696,0.6918238993710691,0.656470581929902,2.4219306877681186,0.2640224358974359,0.27976190476190477,0.2686784701711712,0.05101327742837177,0.03146701388888889,0.014541210118579664,0.009153093610491072
14,0.8923665506284941,0.8075913840619773,0.722205414792624,0.7421383647798742,0.7092430220062949,2.5055772917611256,0.2803914835164835,0.2976190476190476,0.28322486236580663,0.05738993710691824,0.03552827380952381,0.01655626596894654,0.010434105282738096
15,0.7856253526745602,0.7125353115909504,0.7540786529885368,0.7756813417190775,0.7385804424763401,2.3624968982878185,0.32226800976800973,0.3392857142857143,0.3357107574779989,0.05888583158630328,0.03732638888888889,0.018312850088443397,0.011610485258556548
16,0.6910948542179052,0.609690083085366,0.7962041766547582,0.8176100628930818,0.7747831627848084,2.3165902637300038,0.33108592796092795,0.35119047619047616,0.3463821547461254,0.05931167016072676,0.03726438492063492,0.020038980607966456,0.012709118071056548
17,0.5709463360424561,0.48407649519058643,0.8474063336708685,0.8658280922431866,0.8408684912305965,2.30841326713562,0.3517704517704518,0.36904761904761907,0.371438037721535,0.05272755066387142,0.03351314484126984,0.021817573211477988,0.013823009672619048
18,0.4522333545629833,0.3932560604198424,0.8850471314860849,0.8909853249475891,0.8873931046476976,2.3146646590459916,0.39618818681318685,0.40476190476190477,0.42297866802113077,0.05039089797344514,0.031125992063492064,0.02353858547890461,0.014927455357142858
19,0.38646486620233245,0.3464115471022684,0.9030988472122193,0.9035639412997903,0.9021263181005178,2.373582192829677,0.3919108669108669,0.39880952380952384,0.41308701049162017,0.05617793501048218,0.03639632936507937,0.024933821000393083,0.015970865885416668
20,0.32270089891471704,0.2723818217370995,0.9221829970739854,0.9266247379454927,0.9253662211222866,2.3841995965866816,0.4191430097680098,0.42857142857142855,0.4376726285933446,0.06295859538784067,0.043092757936507936,0.025829003292059748,0.01660519554501488
21,0.2614811313977032,0.23205759846439403,0.9312279129139593,0.9371069182389937,0.9343400882669961,2.3530830088115873,0.4122748778998779,0.42857142857142855,0.4188760675499792,0.0677301712089448,0.048549107142857144,0.026792514249213837,0.017320905412946428
